CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
2,13160059,2024-01-01 02:32:00,Свердловская,"СВЕРД, ШЧ-2","2шт ч(к учету 1,15ч)",,"3шт ч(к учету 0,37)ч",Неисправность,CSH,2024,2.0,"1,15ч",,,3.0,"0,37ч"
2,13160084,2024-01-01 03:50:00,Московская,"МОСК, ШЧ-34","1шт ч(к учету 0,32ч)",,,Нарушение контакта штепсель/рельс,CSH,2024,1.0,"0,32ч",,,,
2,13160087,2024-01-01 04:16:00,Восточно-Сибирская,"В-СИБ, ШЧ-6 (Р)",,,"1шт ч(к учету 0,1)ч","Внутренний монтаж, обрыв",CSH,2024,,,,,1.0,"0,1ч"
2,13160086,2024-01-01 04:18:00,Западно-Сибирская,"З-СИБ, ШЧ-2","4шт (к учету 3) ч(к учету 1,97ч)",,,"Клеммная колодка резьб, излом штыря",CSH,2024,3.0,"1,97ч",,,,
3,13160110,2024-01-01 05:45:00,Октябрьская,"ОКТ, ШЧ-12",,,,Обрыв жил контрольного кабеля линий СЦБ,CSH,2024,,,,,,
3,13160146,2024-01-01 07:03:00,Западно-Сибирская,"З-СИБ, ШЧ-6",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,
2,13160143,2024-01-01 07:21:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,"1шт ч(к учету 0,2ч)",,"Основная обмотка, обрыв",CSH,2024,,,1.0,"0,2ч",,
3,13160869,2024-01-01 07:32:00,Восточно-Сибирская,"В-СИБ, ШЧ-5 ИРКУТСК-СОРТИРОВОЧНЫЙ",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,
2,13160284,2024-01-01 11:01:00,Забайкальская,"ЗАБ, ШЧ-2","8шт ч(к учету 2,17ч)","2шт (к учету 1) ч(к учету 0,5ч)",,Ослабление крепления,CSH,2024,8.0,"2,17ч",1.0,"0,5ч",,
2,13160290,2024-01-01 11:22:00,Северо-Кавказская,"С-КАВ, ШЧ-4 (Э)",,,"3шт (к учету 2) ч(к учету 0,37)ч","Нарушение контакта в разъемах блоков, неисправность контактных губок",CSH,2024,,,,,2.0,"0,37ч"
3,13160341,2024-01-01 14:29:00,Северная,"СЕВ, ШЧ-10",,,,Потеря контакта в дужке,CSH,2024,,,,,,
3,13160423,2024-01-01 19:27:00,Южно-Уральская,"Ю-УР, ИЧ Ю-УР Ш",,,,"Резистор, обрыв",CSH,2024,,,,,,
