CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,12657135,2023-01-01 07:15:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-14",,,,Прочая неисправность корпуса тягового редуктора,CT,2023,,,,,,
1,12648620,2023-01-02 11:05:00,Красноярская,"КРАС, ТЧЭ-2","6шт 6,13ч",,,Прочая неисправность контактной обмотки индуктивного шунта,CT,2023,6.0,"6,13ч",,,,
2,12648892,2023-01-03 00:11:00,Октябрьская,"ОКТ, ТЧЭ-1",,"1шт 0,23ч","2шт (к учету 1) 0,22ч",Пережог простой струны контактной сети,CT,2023,,,1.0,"0,23ч",1.0,"0,22ч"
3,12648915,2023-01-03 01:00:00,Октябрьская,"ОКТ, ТЧЭ-22",,,,Неисправность блока индикации БИЛ-У комплексного локомотивного устройства безопасности,CT,2023,,,,,,
3,12699213,2023-01-03 03:08:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-1",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
3,12649776,2023-01-04 02:18:00,Московская,"МОСК, ТЧЭ-2",,,,Прочая неисправность колеса вспомогательного вентилятора охлаждения дизеля,CT,2023,,,,,,
3,12699241,2023-01-04 02:36:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
3,12699214,2023-01-04 10:52:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
3,12699215,2023-01-04 21:35:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
2,12651530,2023-01-05 14:56:00,Свердловская,"СВЕРД, ТЧЭ-9","2шт 1,73ч",,,Отгорание электрического соединителя контактного медного провода,CT,2023,2.0,"1,73ч",,,,
3,12699239,2023-01-05 20:09:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-1",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
1,12651812,2023-01-06 00:20:00,Октябрьская,"ОКТ, ТЧЭ-8","3шт 5,12ч","2шт 3,58ч",,Отгорание шлейфа контактного медного провода,CT,2023,3.0,"5,12ч",2.0,"3,58ч",,
2,12652612,2023-01-06 01:25:00,Северная,"ОКТ, ТЧЭ-22","4шт (к учету 3) 2,33ч",,,Неисправность блока индикации БИЛ-У комплексного локомотивного устройства безопасности,CT,2023,3.0,"2,33ч",,,,
3,12652588,2023-01-06 12:50:00,Московская,"МОСК, ТЧЭ-36",,,,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",CT,2023,,,,,,
2,12652753,2023-01-06 14:44:00,Октябрьская,"ОКТ, ТЧЭ-4","2шт 0,65ч",,,Прочая неисправность всасывающей трубки топливного бака дизеля,CT,2023,2.0,"0,65ч",,,,
