CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
2,12647793,2023-01-01 01:29:00,Западно-Сибирская,"З-СИБ, ШЧ-6","2шт (к учету 1) 0,67ч",nan,nan,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,1.0,"0,67ч",,nan,,nan
2,12647839,2023-01-01 05:04:00,Красноярская,"КРАС, ШЧ-11 (Э)","1шт 0,33ч",nan,nan,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,1.0,"0,33ч",,nan,,nan
3,12647936,2023-01-01 05:59:00,Свердловская,"СВЕРД, ШЧ-17",nan,nan,nan,Асимметрия тягового тока,CSH,2023,,nan,,nan,,nan
3,12647876,2023-01-01 07:11:00,Северная,"СЕВ, ШЧ-18",nan,nan,nan,Неисправность элементов трансмиттеров аппаратуры рельсовых цепей,CSH,2023,,nan,,nan,,nan
3,12647885,2023-01-01 08:07:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",nan,nan,nan,Заклинивание деталей СП-6М,CSH,2023,,nan,,nan,,nan
3,12647915,2023-01-01 09:18:00,Восточно-Сибирская,"В-СИБ, ШЧ-7 СЛЮДЯНКА",nan,nan,nan,Неисправность приёмной капсулы напольной камеры,CSH,2023,,nan,,nan,,nan
3,12647925,2023-01-01 09:40:00,Красноярская,"КРАС, ШЧ-4 (Э)",nan,nan,nan,Удар посторонним предметом с проходящего поезда,CSH,2023,,nan,,nan,,nan
3,12647948,2023-01-01 11:27:00,Свердловская,"СВЕРД, ИЧ ЕГОРШИНСКАЯ Ш",nan,nan,nan,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,,nan,,nan,,nan
3,12647957,2023-01-01 11:55:00,Московская,"МОСК, ШЧ-34",nan,nan,nan,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,,nan,,nan,,nan
2,12647969,2023-01-01 12:22:00,Западно-Сибирская,"З-СИБ, ШЧ-2","4шт (к учету 3) 1,43ч","1шт 0,23ч",nan,Неисправность элементов дешифраторной ячейки аппаратуры АБ,CSH,2023,3.0,"1,43ч",1.0,"0,23ч",,nan
3,12648027,2023-01-01 14:18:00,Западно-Сибирская,"З-СИБ, ШЧ-14",nan,nan,nan,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,,nan,,nan,,nan
3,12648021,2023-01-01 14:25:00,Свердловская,"СВЕРД, ШЧ-16",nan,nan,nan,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,,nan,,nan,,nan
3,12648064,2023-01-01 15:20:00,Октябрьская,"ОКТ, ШЧ-14 (Р)",nan,nan,nan,Нарушение электрических характеристик реле аппаратуры рельсовых цепей,CSH,2023,,nan,,nan,,nan
2,12648139,2023-01-01 17:36:00,Московская,"МОСК, ШЧ-32",nan,"1шт 0,1ч","1шт 0,13ч",Обрыв жил сигнально-блокировочного металлического кабеля рельсовых цепей,CSH,2023,,nan,1.0,"0,1ч",1.0,"0,13ч"
2,12648132,2023-01-01 18:05:00,Октябрьская,"ОКТ, ШЧ-21","7шт 3,4ч","1шт 0,3ч","1шт 0,4ч",Неисправность элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,7.0,"3,4ч",1.0,"0,3ч",1.0,"0,4ч"
1,12648164,2023-01-01 19:38:00,Дальневосточная,"Д-ВОСТ, ШЧ-4 ДВОСТ","25шт (к учету 23) 10,37ч",nan,nan,Короткое замыкание секций СП-6,CSH,2023,23.0,"10,37ч",,nan,,nan
2,12648174,2023-01-01 20:08:00,Горьковская,"ГОРЬК, ШЧ-3","1шт 0,6ч","1шт 0,13ч","1шт 0,13ч",Нарушение временных характеристик реле аппаратуры АБ,CSH,2023,1.0,"0,6ч",1.0,"0,13ч",1.0,"0,13ч"
3,12648390,2023-01-01 20:56:00,Свердловская,"СВЕРД, ШЧ-16",nan,nan,nan,Обрыв соединителей,CSH,2023,,nan,,nan,,nan
2,12648213,2023-01-01 23:15:00,Московская,"МОСК, ШЧ-14",nan,nan,"9шт 3,02ч",Неисправность элементов панелей питания постовых устройств ЭЦ,CSH,2023,,nan,,nan,9.0,"3,02ч"
3,12648267,2023-01-02 01:30:00,Свердловская,"СВЕРД, ИЧ ЕГОРШИНСКАЯ Ш",nan,nan,nan,Перегорание лампы линзового светофора,CSH,2023,,nan,,nan,,nan
3,12650259,2023-01-02 02:00:00,Восточно-Сибирская,"В-СИБ, ШЧ-2 НИЖНЕУДИНСК",nan,nan,nan,Перегорание лампы линзового светофора,CSH,2023,,nan,,nan,,nan
2,12648317,2023-01-02 03:21:00,Московская,"МОСК, ШЧ-4",nan,nan,"1шт 0,12ч",Нарушение изоляции путевого ящика оборудования для размещения аппаратуры рельсовых цепей,CSH,2023,,nan,,nan,1.0,"0,12ч"
2,12648433,2023-01-02 05:26:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","1шт 0,82ч",nan,nan,Эрозия элементов реле аппаратуры АБ,CSH,2023,1.0,"0,82ч",,nan,,nan
2,12648394,2023-01-02 06:03:00,Восточно-Сибирская,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ","1шт 0,48ч",nan,nan,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,1.0,"0,48ч",,nan,,nan
