CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
3,12657135,2023-01-01 07:15:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-14",,,,Прочая неисправность корпуса тягового редуктора,CT,2023,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0
1,12648620,2023-01-02 11:05:00,Красноярская,"КРАС, ТЧЭ-2","6шт 6,13ч",,,Прочая неисправность контактной обмотки индуктивного шунта,CT,2023,6.0,"6,13ч",,,,,1 days 03:50:00,1670.0,1670.0,2,0.0017699115044247787
2,12648892,2023-01-03 00:11:00,Октябрьская,"ОКТ, ТЧЭ-1",,"1шт 0,23ч","2шт (к учету 1) 0,22ч",Пережог простой струны контактной сети,CT,2023,,,1.0,"0,23ч",1.0,"0,22ч",1 days 16:56:00,2456.0,786.0,3,0.0035398230088495575
3,12648915,2023-01-03 01:00:00,Октябрьская,"ОКТ, ТЧЭ-22",,,,Неисправность блока индикации БИЛ-У комплексного локомотивного устройства безопасности,CT,2023,,,,,,,1 days 17:45:00,2505.0,49.0,4,0.005309734513274336
3,12699213,2023-01-03 03:08:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-1",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,,1 days 19:53:00,2633.0,128.0,5,0.007079646017699115
3,12649776,2023-01-04 02:18:00,Московская,"МОСК, ТЧЭ-2",,,,Прочая неисправность колеса вспомогательного вентилятора охлаждения дизеля,CT,2023,,,,,,,2 days 19:03:00,4023.0,1390.0,6,0.008849557522123894
3,12699241,2023-01-04 02:36:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,,2 days 19:21:00,4041.0,18.0,7,0.010619469026548672
3,12699214,2023-01-04 10:52:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,,3 days 03:37:00,4537.0,496.0,8,0.012389380530973451
3,12699215,2023-01-04 21:35:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,,3 days 14:20:00,5180.0,643.0,9,0.01415929203539823
2,12651530,2023-01-05 14:56:00,Свердловская,"СВЕРД, ТЧЭ-9","2шт 1,73ч",,,Отгорание электрического соединителя контактного медного провода,CT,2023,2.0,"1,73ч",,,,,4 days 07:41:00,6221.0,1041.0,10,0.01592920353982301
