CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
2,13163577,2024-01-01 09:35:00,Забайкальская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","1шт ч(к учету 0,67ч)",,,Тонкий гребень колеса грузового вагона,CV,2024,0.0,"0,67ч",,,,,0 days 00:00:00,0.0,0.0,1,0.0
2,13163602,2024-01-01 16:03:00,Забайкальская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","2шт ч(к учету 1,28ч)",,,Выщербина на ободе колеса грузового вагона,CV,2024,1.0,"1,28ч",,,,,0 days 06:28:00,388.0,388.0,2,0.0006844626967830253
3,13189718,2024-01-01 21:55:00,Свердловская,"СВЕРД, ВЧДЭ-19","1шт ч(к учету 0,08ч)",,,Дефект прокладки между корпусом магистральной части и двухкамерным резервуаром усл. № 270.399-2,CV,2024,0.0,"0,08ч",,,,,0 days 12:20:00,740.0,352.0,3,0.0013689253935660506
2,13160567,2024-01-02 02:30:00,Восточно-Сибирская,"В-СИБ, ВЧДЭ-10 УЛАН-УДЭ","1шт ч(к учету 0,32ч)",,,Тонкий гребень колеса грузового вагона,CV,2024,0.0,"0,32ч",,,,,0 days 16:55:00,1015.0,275.0,4,0.002053388090349076
3,13160614,2024-01-02 04:49:00,Северо-Кавказская,"С-КАВ, ВЧДЭ-5 БАТАЙСК",,,,Другие причины,CV,2024,,,,,,,0 days 19:14:00,1154.0,139.0,5,0.0027378507871321013
2,13164843,2024-01-04 01:40:00,Забайкальская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ","1шт ч(к учету 0,67ч)",,,Выщербина на ободе колеса грузового вагона,CV,2024,0.0,"0,67ч",,,,,2 days 16:05:00,3845.0,2691.0,6,0.0034223134839151265
2,13164844,2024-01-04 02:26:00,Забайкальская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ","1шт ч(к учету 0,67ч)",,,Выщербина на ободе колеса грузового вагона,CV,2024,0.0,"0,67ч",,,,,2 days 16:51:00,3891.0,46.0,7,0.004106776180698152
3,13163203,2024-01-04 08:30:00,Западно-Сибирская,"З-СИБ, ВЧДЭ-25 НОВОКУЗНЕЦК",,,,Наличие зазора между колпаком и ответной частью скользуна постоянного контакта,CV,2024,,,,,,,2 days 22:55:00,4255.0,364.0,8,0.004791238877481177
2,13165910,2024-01-04 15:34:00,Восточно-Сибирская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","5шт ч(к учету 1,33ч)",,,Нарушение регулировки рычажной передачи,CV,2024,1.0,"1,33ч",,,,,3 days 05:59:00,4679.0,424.0,9,0.0054757015742642025
3,13168916,2024-01-06 04:20:00,Западно-Сибирская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",,,,Тонкий гребень колеса грузового вагона,CV,2024,,,,,,,4 days 18:45:00,6885.0,2206.0,10,0.006160164271047228
