CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
2,12683986,2023-01-01 06:41:00,Забайкальская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ","1шт 0,25ч",,,Выщербина на ободе колеса грузового вагона,CV,2023,1.0,"0,25ч",,,,,0 days 00:00:00,0.0,0.0,1,0.0
2,12683984,2023-01-01 07:40:00,Забайкальская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ","1шт 0,25ч",,,Тонкий гребень колеса грузового вагона,CV,2023,1.0,"0,25ч",,,,,0 days 00:59:00,59.0,59.0,2,0.0014749262536873156
2,12649749,2023-01-01 19:55:00,Забайкальская,"КРАС, ВЧДЭ-8 АБАКАН","1шт 0,58ч",,,Выщербина на ободе колеса грузового вагона,CV,2023,1.0,"0,58ч",,,,,0 days 13:14:00,794.0,735.0,3,0.0029498525073746312
1,12649750,2023-01-01 21:40:00,Забайкальская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","19шт 12,45ч",,,Выщербина на ободе колеса грузового вагона,CV,2023,19.0,"12,45ч",,,,,0 days 14:59:00,899.0,105.0,4,0.004424778761061947
2,12648433,2023-01-02 05:26:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","1шт 0,82ч",,,Эрозия элементов реле аппаратуры АБ,CSH,2023,1.0,"0,82ч",,,,,0 days 22:45:00,1365.0,466.0,5,0.0058997050147492625
2,12650982,2023-01-02 19:42:00,Забайкальская,"В-СИБ, ВЧДЭ-10 УЛАН-УДЭ","1шт 0,88ч",,,Выпадение валика подвески тормозного подвешивания грузового вагона,CV,2023,1.0,"0,88ч",,,,,1 days 13:01:00,2221.0,856.0,6,0.007374631268436578
1,12649034,2023-01-03 05:29:00,Забайкальская,"ЗАБ, ШЧ-14 (Э)","21шт (к учету 18) 12,28ч",,,"Обрыв жил сигнально-блокировочного металлического кабеля светофоров, указателей и полос",CSH,2023,18.0,"12,28ч",,,,,1 days 22:48:00,2808.0,587.0,7,0.008849557522123894
2,12649508,2023-01-03 14:40:00,Забайкальская,"ЗАБ, ШЧ-10","12шт 5,62ч",,,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,12.0,"5,62ч",,,,,2 days 07:59:00,3359.0,551.0,8,0.01032448377581121
1,12650263,2023-01-04 10:34:00,Забайкальская,"ЗАБ, ШЧ-7","19шт (к учету 18) 13,25ч",,,"Нарушение элетрического контакта в болтовых и паечных соединениях, штепсельных разъемах внешнего монтажа аппаратуры рельсовых цепей",CSH,2023,18.0,"13,25ч",,,,,3 days 03:53:00,4553.0,1194.0,9,0.011799410029498525
1,12651667,2023-01-05 17:01:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","23шт (к учету 22) 16,9ч","1шт 0,12ч",,Подгар контактов реле аппаратуры АБ,CSH,2023,22.0,"16,9ч",1.0,"0,12ч",,,4 days 10:20:00,6380.0,1827.0,10,0.01327433628318584
