CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
3,12684748,2023-01-22 17:40:00,Калининградская,"КЛГ, ШЧ-1",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0
3,12704759,2023-02-09 10:08:00,Калининградская,"КЛГ, ШЧ-1",,,,Неисправность элементов блока питания ГАЦ,CSH,2023,,,,,,,17 days 16:28:00,25468.0,25468.0,2,0.029411764705882353
2,12705316,2023-02-09 14:59:00,Калининградская,"КЛГ, ШЧ-1",,,"2шт 0,52ч",Неисправность элементов в щите питания постовых устройств ЭЦ,CSH,2023,,,,,2.0,"0,52ч",17 days 21:19:00,25759.0,291.0,3,0.058823529411764705
3,12708018,2023-02-11 18:57:00,Калининградская,"КЛГ, ШЧ-1",,,,Неисправность элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,,,,,,,20 days 01:17:00,28877.0,3118.0,4,0.08823529411764706
3,12730903,2023-03-05 03:00:00,Калининградская,"КЛГ, ШЧ-1",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,,41 days 09:20:00,59600.0,30723.0,5,0.11764705882352941
3,12737723,2023-03-09 16:00:00,Калининградская,"КЛГ, ШЧ-1",,,,"Нарушение электрических характеристик реле аппаратуры светофоров, указателей и полос",CSH,2023,,,,,,,45 days 22:20:00,66140.0,6540.0,6,0.14705882352941177
2,12744879,2023-03-14 20:38:00,Калининградская,"КЛГ, ШЧ-1",,,"1шт 0,22ч",Подгар контактов реле аппаратуры,CSH,2023,,,,,1.0,"0,22ч",51 days 02:58:00,73618.0,7478.0,7,0.17647058823529413
3,12746058,2023-03-15 12:20:00,Калининградская,"КЛГ, ШЧ-1",,,,Потеря контакта в ламподержателе линзового светофора,CSH,2023,,,,,,,51 days 18:40:00,74560.0,942.0,8,0.20588235294117646
3,12765899,2023-03-31 10:05:00,Калининградская,"КЛГ, ШЧ-1",,,,Обрыв жил сигнально-блокировочного металлического кабеля постовых устройств ЭЦ,CSH,2023,,,,,,,67 days 16:25:00,97465.0,22905.0,9,0.23529411764705882
3,12779680,2023-04-07 13:35:00,Калининградская,"КЛГ, ШЧ-1",,,,"Нарушение монтажа шкафов для размещения аппаратуры светофоров, указателей и полос",CSH,2023,,,,,,,74 days 19:55:00,107755.0,10290.0,10,0.2647058823529412
3,12791008,2023-04-11 19:33:00,Калининградская,"КЛГ, ШЧ-1",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,,79 days 01:53:00,113873.0,6118.0,11,0.29411764705882354
3,12795723,2023-04-16 19:28:00,Калининградская,"КЛГ, ШЧ-1",,,,Неисправность источника бесперебойного питания ИБП станционной аппаратуры ДК,CSH,2023,,,,,,,84 days 01:48:00,121068.0,7195.0,12,0.3235294117647059
3,12831362,2023-05-10 13:45:00,Калининградская,"КЛГ, ШЧ-1",,,,Износ элементов релейных блоков аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,,107 days 20:05:00,155285.0,34217.0,13,0.35294117647058826
2,12834546,2023-05-11 10:18:00,Калининградская,"КЛГ, ШЧ-1",,,"1шт 0,17ч",Подгар контактов реле аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,1.0,"0,17ч",108 days 16:38:00,156518.0,1233.0,14,0.38235294117647056
3,12835949,2023-05-11 14:58:00,Калининградская,"КЛГ, ШЧ-1",,,,Ослабление крепления СП-6,CSH,2023,,,,,,,108 days 21:18:00,156798.0,280.0,15,0.4117647058823529
3,12834824,2023-05-11 19:00:00,Калининградская,"КЛГ, ШЧ-1",,,,"Обрыв жил сигнально-блокировочного металлического кабеля светофоров, указателей и полос",CSH,2023,,,,,,,109 days 01:20:00,157040.0,242.0,16,0.4411764705882353
3,12837595,2023-05-12 17:10:00,Калининградская,"КЛГ, ШЧ-1",,,,Нарушение регулировки усилия перевода СП-6К,CSH,2023,,,,,,,109 days 23:30:00,158370.0,1330.0,17,0.47058823529411764
3,12844597,2023-05-18 06:38:00,Калининградская,"КЛГ, ШЧ-1",,,,Перегорание плавкой вставки (проволоки) предохранителей аппаратуры защиты схемы управления стрелкой,CSH,2023,,,,,,,115 days 12:58:00,166378.0,8008.0,18,0.5
3,12857395,2023-05-26 14:24:00,Калининградская,"КЛГ, ШЧ-1",,,,Нарушение контакта монтажа в ящиках для размещения схемы управления стрелкой,CSH,2023,,,,,,,123 days 20:44:00,178364.0,11986.0,19,0.5294117647058824
3,12862910,2023-05-31 14:50:00,Калининградская,"КЛГ, ШЧ-1",,,,Обрыв жил сигнально-блокировочного металлического кабеля рельсовых цепей,CSH,2023,,,,,,,128 days 21:10:00,185590.0,7226.0,20,0.5588235294117647
3,12900540,2023-06-24 15:55:00,Калининградская,"КЛГ, ШЧ-1",,,,Обрыв соединителей,CSH,2023,,,,,,,152 days 22:15:00,220215.0,34625.0,21,0.5882352941176471
3,12919212,2023-07-06 21:59:00,Калининградская,"КЛГ, ШЧ-1",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,,165 days 04:19:00,237859.0,17644.0,22,0.6176470588235294
2,12938424,2023-07-22 14:37:00,Калининградская,"КЛГ, ШЧ-1",,"1шт 0,48ч",,Износ элементов генератора аппаратуры рельсовых цепей,CSH,2023,,,1.0,"0,48ч",,,180 days 20:57:00,260457.0,22598.0,23,0.6470588235294118
