CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
3,12647957,2023-01-01 11:55:00,Московская,"МОСК, ШЧ-34",,,,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0
2,12648139,2023-01-01 17:36:00,Московская,"МОСК, ШЧ-32",,"1шт 0,1ч","1шт 0,13ч",Обрыв жил сигнально-блокировочного металлического кабеля рельсовых цепей,CSH,2023,,,1.0,"0,1ч",1.0,"0,13ч",0 days 05:41:00,341.0,341.0,2,0.0012254901960784314
2,12648213,2023-01-01 23:15:00,Московская,"МОСК, ШЧ-14",,,"9шт 3,02ч",Неисправность элементов панелей питания постовых устройств ЭЦ,CSH,2023,,,,,9.0,"3,02ч",0 days 11:20:00,680.0,339.0,3,0.0024509803921568627
2,12648317,2023-01-02 03:21:00,Московская,"МОСК, ШЧ-4",,,"1шт 0,12ч",Нарушение изоляции путевого ящика оборудования для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,1.0,"0,12ч",0 days 15:26:00,926.0,246.0,4,0.003676470588235294
3,12648419,2023-01-02 06:59:00,Московская,"МОСК, ИЧ-2 ЛЬГОВСКАЯ Ш",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,,0 days 19:04:00,1144.0,218.0,5,0.004901960784313725
1,12648593,2023-01-02 10:56:00,Московская,"МОСК, ШЧ-5","2шт 1,95ч",,"1шт 0,12ч",Разрегулировка контактов автопереключателя СП-6М,CSH,2023,2.0,"1,95ч",,,1.0,"0,12ч",0 days 23:01:00,1381.0,237.0,6,0.006127450980392157
3,12648594,2023-01-02 12:21:00,Московская,"МОСК, ШЧ-17",,,,"Неисправность элементов трансформаторов аппаратуры светофоров, указателей и полос",CSH,2023,,,,,,,1 days 00:26:00,1466.0,85.0,7,0.007352941176470588
3,12648872,2023-01-02 22:59:00,Московская,"МОСК, ИЧ МОСКВА Ш",,,,Неисправность элементов генератора аппаратуры рельсовых цепей,CSH,2023,,,,,,,1 days 11:04:00,2104.0,638.0,8,0.00857843137254902
2,12649583,2023-01-03 17:27:00,Московская,"МОСК, ШЧ-24",,,"1шт 0,1ч",Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,1.0,"0,1ч",2 days 05:32:00,3212.0,1108.0,9,0.00980392156862745
3,12649776,2023-01-04 02:18:00,Московская,"МОСК, ТЧЭ-2",,,,Прочая неисправность колеса вспомогательного вентилятора охлаждения дизеля,CT,2023,,,,,,,2 days 14:23:00,3743.0,531.0,10,0.011029411764705883
2,12650226,2023-01-04 10:43:00,Московская,"МОСК, ШЧ-8","3шт 0,98ч","1шт 0,2ч",,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,3.0,"0,98ч",1.0,"0,2ч",,,2 days 22:48:00,4248.0,505.0,11,0.012254901960784314
3,12651058,2023-01-05 07:30:00,Московская,"МОСК, ШЧ-33",,,,Обрыв провода (троса) перемычки,CSH,2023,,,,,,,3 days 19:35:00,5495.0,1247.0,12,0.013480392156862746
1,12651870,2023-01-06 02:32:00,Московская,"МОСК, ИЧ-2 ЛЬГОВСКАЯ Ш","3шт 2,83ч","3шт 1,27ч","1шт 0,38ч",Обрыв жил сигнально-блокировочного металлического кабеля схемы управления стрелкой,CSH,2023,3.0,"2,83ч",3.0,"1,27ч",1.0,"0,38ч",4 days 14:37:00,6637.0,1142.0,13,0.014705882352941176
3,12652033,2023-01-06 06:20:00,Московская,"МОСК, ШЧ-35",,,,Короткое замыкание монтажа путевого ящика для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,,4 days 18:25:00,6865.0,228.0,14,0.015931372549019607
2,12652113,2023-01-06 07:43:00,Московская,"МОСК, ШЧ-32","1шт 0,47ч",,,Сваривание контактов реле аппаратуры АБ,CSH,2023,1.0,"0,47ч",,,,,4 days 19:48:00,6948.0,83.0,15,0.01715686274509804
2,12673470,2023-01-06 10:00:00,Московская,"МОСК, ШЧ-5",,,"1шт 0,33ч",Разрегулировка контактов автопереключателя СП-6М,CSH,2023,,,,,1.0,"0,33ч",4 days 22:05:00,7085.0,137.0,16,0.01838235294117647
2,12652405,2023-01-06 10:08:00,Московская,"МОСК, ШЧ-33",,,"1шт 0,28ч",Замерзание деталей СП-6М,CSH,2023,,,,,1.0,"0,28ч",4 days 22:13:00,7093.0,8.0,17,0.0196078431372549
2,12652423,2023-01-06 10:16:00,Московская,"МОСК, ШЧ-15",,,"1шт 0,18ч",Короткое замыкание внешнего монтажа аппаратуры АБ,CSH,2023,,,,,1.0,"0,18ч",4 days 22:21:00,7101.0,8.0,18,0.020833333333333332
3,12652588,2023-01-06 12:50:00,Московская,"МОСК, ТЧЭ-36",,,,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",CT,2023,,,,,,,5 days 00:55:00,7255.0,154.0,19,0.022058823529411766
3,12652933,2023-01-06 17:38:00,Московская,"МОСК, ШЧ-35",,,,Окисление жил сигнально-блокировочного металлического кабеля кабельной сети АБ,CSH,2023,,,,,,,5 days 05:43:00,7543.0,288.0,20,0.023284313725490197
