CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
2,12648582,2023-01-02 12:16:00,Приволжская,"ПРИВ, ШЧ-6 (Э)",,"1шт 0,15ч",,"Обрыв в электрических цепях элементов релейных блоков ЭЦ, ГАЦ, АБ, ПАБ аппаратуры светофоров, указателей и полос",CSH,2023,,,1.0,"0,15ч",,,0 days 00:00:00,0.0,0.0,1,0.0
3,12650463,2023-01-03 02:34:00,Приволжская,"ПРИВ, ШЧ-8",,,,Неисправность светодиодного модуля светофора,CSH,2023,,,,,,,0 days 14:18:00,858.0,858.0,2,0.002770083102493075
3,12649603,2023-01-03 18:47:00,Приволжская,"ПРИВ, ШЧ-2",,,,Короткое замыкание аккумуляторов  электропитания рельсовых цепей,CSH,2023,,,,,,,1 days 06:31:00,1831.0,973.0,3,0.00554016620498615
3,12653318,2023-01-07 04:34:00,Приволжская,"ПРИВ, ШЧ-14",,,,Обрыв стыкового соединителя,CSH,2023,,,,,,,4 days 16:18:00,6738.0,4907.0,4,0.008310249307479225
3,12653713,2023-01-07 10:34:00,Приволжская,"ПРИВ, ШЧ-7 (Э)",,,,Неисправность элементов дешифраторной ячейки аппаратуры АБ,CSH,2023,,,,,,,4 days 22:18:00,7098.0,360.0,5,0.0110803324099723
3,12653787,2023-01-07 11:46:00,Приволжская,"ПРИВ, ШЧ-3 (Э)",,,,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,,,,,,,4 days 23:30:00,7170.0,72.0,6,0.013850415512465374
3,12655608,2023-01-08 11:43:00,Приволжская,"ПРИВ, ШЧ-8",,,,Обрыв обмотки реле аппаратуры схемы управления стрелкой,CSH,2023,,,,,,,5 days 23:27:00,8607.0,1437.0,7,0.01662049861495845
3,12656280,2023-01-09 02:00:00,Приволжская,"ПРИВ, ШЧ-8",,,,Нарушение электрических характеристик реле аппаратуры АБ,CSH,2023,,,,,,,6 days 13:44:00,9464.0,857.0,8,0.019390581717451522
3,12666447,2023-01-09 15:45:00,Приволжская,"ПРИВ, ШЧ-7 (Э)",,,,Нарушение контакта монтажа муфты кабельной сети,CSH,2023,,,,,,,7 days 03:29:00,10289.0,825.0,9,0.0221606648199446
3,12660370,2023-01-10 08:18:00,Приволжская,"ПРИВ, ШЧ-14",,,,Потеря контакта в бегунке регулируемого сопротивления аппаратуры рельсовых цепей,CSH,2023,,,,,,,7 days 20:02:00,11282.0,993.0,10,0.024930747922437674
2,12662311,2023-01-10 15:15:00,Приволжская,"ПРИВ, ШЧ-3 (Э)","4шт (к учету 3) 2,62ч",,,Нарушение монтажа стативов для размещения устройств АБ,CSH,2023,3.0,"2,62ч",,,,,8 days 02:59:00,11699.0,417.0,11,0.027700831024930747
3,12666419,2023-01-10 15:49:00,Приволжская,"ПРИВ, ШЧ-7 (Э)",,,,Нарушение контакта монтажа муфты кабельной сети,CSH,2023,,,,,,,8 days 03:33:00,11733.0,34.0,12,0.030470914127423823
3,12670870,2023-01-11 01:22:00,Приволжская,"ПРИВ, ШЧ-6 (Э)",,,,Короткое замыкание (электрический пробой) элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,,,,,,,8 days 13:06:00,12306.0,573.0,13,0.0332409972299169
2,12662967,2023-01-11 06:05:00,Приволжская,"ПРИВ, ШЧ-2",,"1шт 0,17ч",,Нарушение контакта в навесном монтаже аппаратуры постовых устройств ЭЦ,CSH,2023,,,1.0,"0,17ч",,,8 days 17:49:00,12589.0,283.0,14,0.036011080332409975
2,12663877,2023-01-11 10:41:00,Приволжская,"ПРИВ, ШЧ-7 (Э)","1шт 0,37ч","1шт 0,15ч",,Разрегулировка контактов элементов пульта-табло постовых устройств ЭЦ,CSH,2023,1.0,"0,37ч",1.0,"0,15ч",,,8 days 22:25:00,12865.0,276.0,15,0.038781163434903045
3,12669200,2023-01-13 08:05:00,Приволжская,"ПРИВ, ШЧ-7 (Э)",,,,Электрический пробой выравнивателей (ограничителей) аппаратуры защиты рельсовых цепей,CSH,2023,,,,,,,10 days 19:49:00,15589.0,2724.0,16,0.04155124653739612
2,12669251,2023-01-13 08:14:00,Приволжская,"ПРИВ, ШЧ-7 (Э)","4шт 1,28ч",,,Сверхнормативное переходное сопротивление контактов АВМ рельсовых цепей,CSH,2023,4.0,"1,28ч",,,,,10 days 19:58:00,15598.0,9.0,17,0.0443213296398892
3,12673294,2023-01-13 15:31:00,Приволжская,"ПРИВ, ШЧ-14",,,,"Перегорание плавкой вставки (проволоки) предохранителей аппаратуры защиты светофоров, указателей и полос",CSH,2023,,,,,,,11 days 03:15:00,16035.0,437.0,18,0.04709141274238227
3,12670802,2023-01-13 18:52:00,Приволжская,"ПРИВ, ШЧ-6 (Э)",,,,Другие неисправности предохранителей аппаратуры защиты постовых устройств ЭЦ,CSH,2023,,,,,,,11 days 06:36:00,16236.0,201.0,19,0.04986149584487535
3,12673624,2023-01-16 23:28:00,Приволжская,"ПРИВ, ШЧ-14",,,,Нарушение временных характеристик реле аппаратуры АБ,CSH,2023,,,,,,,14 days 11:12:00,20832.0,4596.0,20,0.05263157894736842
3,12674914,2023-01-17 21:57:00,Приволжская,"ПРИВ, ШЧ-6 (Э)",,,,Обрыв жил сигнально-блокировочного металлического кабеля рельсовых цепей,CSH,2023,,,,,,,15 days 09:41:00,22181.0,1349.0,21,0.055401662049861494
2,12676462,2023-01-18 23:08:00,Приволжская,"ПРИВ, ШЧ-2","1шт 0,97ч",,,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,1.0,"0,97ч",,,,,16 days 10:52:00,23692.0,1511.0,22,0.05817174515235457
2,12677054,2023-01-19 10:27:00,Приволжская,"ПРИВ, ШЧ-13 (Р)","3шт 2,12ч",,,Заклинивание деталей СП-6,CSH,2023,3.0,"2,12ч",,,,,16 days 22:11:00,24371.0,679.0,23,0.060941828254847646
2,12677756,2023-01-19 22:05:00,Приволжская,"ПРИВ, ШЧ-10","1шт 0,53ч",,,Обрыв электрической цепи элементов дешифраторной ячейки аппаратуры АБ,CSH,2023,1.0,"0,53ч",,,,,17 days 09:49:00,25069.0,698.0,24,0.06371191135734072
2,12679997,2023-01-21 23:52:00,Приволжская,"ПРИВ, ШЧ-14","1шт 0,82ч",,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,1.0,"0,82ч",,,,,19 days 11:36:00,28056.0,2987.0,25,0.0664819944598338
3,12681566,2023-01-23 12:15:00,Приволжская,"ПРИВ, ШЧ-3 (Э)",,,,Короткое замыкание аккумуляторов  электропитания рельсовых цепей,CSH,2023,,,,,,,20 days 23:59:00,30239.0,2183.0,26,0.06925207756232687
3,12685554,2023-01-24 05:20:00,Приволжская,"ПРИВ, ШЧ-6 (Э)",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,,21 days 17:04:00,31264.0,1025.0,27,0.07202216066481995
2,12683326,2023-01-24 18:30:00,Приволжская,"ПРИВ, ШЧ-1",,,"1шт 0,12ч",Нарушение электрических характеристик реле аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,1.0,"0,12ч",22 days 06:14:00,32054.0,790.0,28,0.07479224376731301
2,12686111,2023-01-26 15:59:00,Приволжская,"ПРИВ, ШЧ-6 (Э)","3шт 1,2ч",,,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,3.0,"1,2ч",,,,,24 days 03:43:00,34783.0,2729.0,29,0.07756232686980609
2,12699455,2023-01-27 18:56:00,Приволжская,"ПРИВ, ШЧ-7 (Э)","1шт 0,25ч",,,Нарушение контакта монтажа муфты кабельной сети,CSH,2023,1.0,"0,25ч",,,,,25 days 06:40:00,36400.0,1617.0,30,0.08033240997229917
3,12687599,2023-01-28 04:30:00,Приволжская,"ПРИВ, ШЧ-8",,,,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,,,,,,,25 days 16:14:00,36974.0,574.0,31,0.08310249307479224
3,12687716,2023-01-28 08:28:00,Приволжская,"ПРИВ, ШЧ-13 (Р)","1шт 0,05ч",,,Излом деталей СП-6,CSH,2023,1.0,"0,05ч",,,,,25 days 20:12:00,37212.0,238.0,32,0.08587257617728532
3,12688282,2023-01-29 03:02:00,Приволжская,"ПРИВ, ШЧ-14",,,,Неисправность элементов крепления приборов на стативах для размещения постовых устройств ЭЦ,CSH,2023,,,,,,,26 days 14:46:00,38326.0,1114.0,33,0.0886426592797784
2,12688431,2023-01-29 03:11:00,Приволжская,"С-КАВ, ШЧ-18",,"1шт 0,63ч",,Неисправность контактной системы реле аппаратуры АБ,CSH,2023,,,1.0,"0,63ч",,,26 days 14:55:00,38335.0,9.0,34,0.09141274238227147
3,12688869,2023-01-30 00:35:00,Приволжская,"ПРИВ, ШЧ-6 (Э)",,,,Обрыв соединителей,CSH,2023,,,,,,,27 days 12:19:00,39619.0,1284.0,35,0.09418282548476455
3,12689856,2023-01-30 23:45:00,Приволжская,"ПРИВ, ШЧ-2",,,,Обрыв монтажа линзового светофора,CSH,2023,,,,,,,28 days 11:29:00,41009.0,1390.0,36,0.09695290858725762
2,12690591,2023-01-31 14:10:00,Приволжская,"ПРИВ, ШЧ-8","1шт 0,45ч","1шт 0,58ч",,Нарушение монтажа стативов для размещения устройств АБ,CSH,2023,1.0,"0,45ч",1.0,"0,58ч",,,29 days 01:54:00,41874.0,865.0,37,0.0997229916897507
3,12690818,2023-01-31 18:01:00,Приволжская,"ПРИВ, ШЧ-3 (Э)",,,,Обрыв кабеля сигнально-блокировочного металлического,CSH,2023,,,,,,,29 days 05:45:00,42105.0,231.0,38,0.10249307479224377
3,12693281,2023-02-01 13:29:00,Приволжская,"ПРИВ, ШЧ-14",,,,Неисправность светодиодного модуля светофора,CSH,2023,,,,,,,30 days 01:13:00,43273.0,1168.0,39,0.10526315789473684
3,12692744,2023-02-02 03:55:00,Приволжская,"ПРИВ, ШЧ-3 (Э)",,,,Обрыв металлического сигнально-блокировочного кабеля,CSH,2023,,,,,,,30 days 15:39:00,44139.0,866.0,40,0.10803324099722991
