CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
3,12651179,2023-01-03 06:10:00,Северо-Кавказская,"С-КАВ, ШЧ-8 (Р)",,,,Неисправность светодиодного модуля светофора,CSH,2023,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0
2,12649616,2023-01-03 19:01:00,Северо-Кавказская,"С-КАВ, ШЧ-4 (Э)","9шт 2,13ч",,,Пробой деталей блока элементов аппаратуры схемы управления стрелкой,CSH,2023,9.0,"2,13ч",,,,,0 days 12:51:00,771.0,771.0,2,0.0015723270440251573
3,12651141,2023-01-05 09:20:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Нарушение монтажа шкафов для размещения аппаратуры светофоров, указателей и полос",CSH,2023,,,,,,,2 days 03:10:00,3070.0,2299.0,3,0.0031446540880503146
1,12651228,2023-01-05 10:07:00,Северо-Кавказская,"С-КАВ, ШЧ-10","6шт 3,68ч","4шт 0,83ч",,Сбой в работе исполнительных блоков АБТЦ-М (Ш),CSH,2023,6.0,"3,68ч",4.0,"0,83ч",,,2 days 03:57:00,3117.0,47.0,4,0.0047169811320754715
3,12652978,2023-01-05 23:55:00,Северо-Кавказская,"С-КАВ, ШЧ-8 (Р)",,,,"Нарушение электрических характеристик реле аппаратуры светофоров, указателей и полос",CSH,2023,,,,,,,2 days 17:45:00,3945.0,828.0,5,0.006289308176100629
3,12652746,2023-01-06 08:00:00,Северо-Кавказская,"С-КАВ, ИЧ-2 ТАГАНРОГ Ш",,,,Ослабление затяжки болтов перемычки,CSH,2023,,,,,,,3 days 01:50:00,4430.0,485.0,6,0.007861635220125786
3,12655629,2023-01-06 09:38:00,Северо-Кавказская,"С-КАВ, ШЧ-10",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,,3 days 03:28:00,4528.0,98.0,7,0.009433962264150943
3,12655318,2023-01-06 14:58:00,Северо-Кавказская,"С-КАВ, ШЧ-10",,,,Потеря контакта в ламподержателе линзового светофора,CSH,2023,,,,,,,3 days 08:48:00,4848.0,320.0,8,0.0110062893081761
3,12652882,2023-01-06 15:59:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Обрыв плавкой вставки (проволоки) предохранителей аппаратуры защиты АБ,CSH,2023,,,,,,,3 days 09:49:00,4909.0,61.0,9,0.012578616352201259
3,12654533,2023-01-07 09:00:00,Северо-Кавказская,"С-КАВ, ИЧ-2 ТАГАНРОГ Ш",,,,Потеря контакта в ламподержателе линзового светофора устройств ПАБ,CSH,2023,,,,,,,4 days 02:50:00,5930.0,1021.0,10,0.014150943396226415
3,12654198,2023-01-07 17:52:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,,4 days 11:42:00,6462.0,532.0,11,0.015723270440251572
3,12665618,2023-01-07 21:45:00,Северо-Кавказская,"С-КАВ, ШЧ-10",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,,4 days 15:35:00,6695.0,233.0,12,0.01729559748427673
3,12654966,2023-01-08 05:37:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Короткое замыкание (электрический пробой) элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,,,,,,,4 days 23:27:00,7167.0,472.0,13,0.018867924528301886
3,12655021,2023-01-08 06:00:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Неисправность элементов фильтров аппаратуры рельсовых цепей,CSH,2023,,,,,,,4 days 23:50:00,7190.0,23.0,14,0.020440251572327043
2,12655837,2023-01-08 15:22:00,Северо-Кавказская,"С-КАВ, ШЧ-19",,"1шт 0,17ч",,Замерзание деталей СП-6М,CSH,2023,,,1.0,"0,17ч",,,5 days 09:12:00,7752.0,562.0,15,0.0220125786163522
1,12656125,2023-01-08 20:03:00,Северо-Кавказская,"С-КАВ, ТЧЭ-16","2шт 2,43ч","25шт 29,18ч","13шт 3,45ч",Прочая неисправность синхронизирующей тяги токоприемника,CT,2023,2.0,"2,43ч",25.0,"29,18ч",13.0,"3,45ч",5 days 13:53:00,8033.0,281.0,16,0.02358490566037736
1,12694804,2023-01-09 05:40:00,Северо-Кавказская,"С-КАВ, ТЧЭ-12","1шт 0,17ч","1шт 0,25ч",,"Прочая неисправность оси колесной пары локомотива, МВПС",CT,2023,1.0,"0,17ч",1.0,"0,25ч",,,5 days 23:30:00,8610.0,577.0,17,0.025157232704402517
3,12661115,2023-01-09 23:50:00,Северо-Кавказская,"С-КАВ, ТЧЭ-12",,,,Неисправность фильтра скоростемера,CT,2023,,,,,,,6 days 17:40:00,9700.0,1090.0,18,0.026729559748427674
3,12660579,2023-01-10 08:20:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,,7 days 02:10:00,10210.0,510.0,19,0.02830188679245283
3,12668467,2023-01-10 08:21:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,"Сбой в работе блока, модуля УВК РА",CSH,2023,,,,,,,7 days 02:11:00,10211.0,1.0,20,0.029874213836477988
