CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
2,13160086,2024-01-01 04:18:00,Западно-Сибирская,"З-СИБ, ШЧ-2","4шт (к учету 3) ч(к учету 1,97ч)",,,"Клеммная колодка резьб, излом штыря",CSH,2024,3.0,"1,97ч",,,,,0 days 00:00:00,0.0,0.0,1,0.0
3,13160146,2024-01-01 07:03:00,Западно-Сибирская,"З-СИБ, ШЧ-6",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,,0 days 02:45:00,165.0,165.0,2,0.0009276437847866419
2,13160659,2024-01-02 06:48:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)","4шт ч(к учету 0,88ч)",,,"Контактная система, увеличенное сопротивление",CSH,2024,4.0,"0,88ч",,,,,1 days 02:30:00,1590.0,1425.0,3,0.0018552875695732839
2,13160838,2024-01-02 09:47:00,Западно-Сибирская,"З-СИБ, ШЧ-14","4шт ч(к учету 2,68ч)","1шт ч(к учету 0,27ч)",,"Внутренний монтаж, короткое замыкание монтажа",CSH,2024,4.0,"2,68ч",1.0,"0,27ч",,,1 days 05:29:00,1769.0,179.0,4,0.0027829313543599257
3,13162008,2024-01-03 10:59:00,Западно-Сибирская,"З-СИБ, ТЧЭ-14",,,,Прочая неисправность пружины предохранительного клапана,CT,2024,,,,,,,2 days 06:41:00,3281.0,1512.0,5,0.0037105751391465678
3,13163203,2024-01-04 08:30:00,Западно-Сибирская,"З-СИБ, ВЧДЭ-25 НОВОКУЗНЕЦК",,,,Наличие зазора между колпаком и ответной частью скользуна постоянного контакта,CV,2024,,,,,,,3 days 04:12:00,4572.0,1291.0,6,0.00463821892393321
3,13163932,2024-01-04 17:40:00,Западно-Сибирская,"З-СИБ, ШЧ-17",,,,"Внутренний монтаж, короткое замыкание",CSH,2024,,,,,,,3 days 13:22:00,5122.0,550.0,7,0.0055658627087198514
2,13165079,2024-01-05 14:04:00,Западно-Сибирская,"З-СИБ, ШЧ-14","3шт ч(к учету 1,58ч)",,,Необеспечение электропитания подзаряда,CSH,2024,3.0,"1,58ч",,,,,4 days 09:46:00,6346.0,1224.0,8,0.006493506493506494
3,13165187,2024-01-05 15:15:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)",,,,"Обмотка, короткое замыкание",CSH,2024,,,,,,,4 days 10:57:00,6417.0,71.0,9,0.0074211502782931356
2,13165292,2024-01-05 17:56:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)",,"1шт ч(к учету 0,13ч)",,"Обмотка, короткое замыкание",CSH,2024,,,1.0,"0,13ч",,,4 days 13:38:00,6578.0,161.0,10,0.008348794063079777
