CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
2,13160059,2024-01-01 02:32:00,Свердловская,"СВЕРД, ШЧ-2","2шт ч(к учету 1,15ч)",,"3шт ч(к учету 0,37)ч",Неисправность,CSH,2024,2.0,"1,15ч",,,3.0,"0,37ч",0 days 00:00:00,0.0,0.0,1,0.0
3,13189718,2024-01-01 21:55:00,Свердловская,"СВЕРД, ВЧДЭ-19","1шт ч(к учету 0,08ч)",,,Дефект прокладки между корпусом магистральной части и двухкамерным резервуаром усл. № 270.399-2,CV,2024,1.0,"0,08ч",,,,,0 days 19:23:00,1163.0,1163.0,2,0.001176470588235294
3,13161106,2024-01-02 17:50:00,Свердловская,"СВЕРД, ШЧ-20",,,,"Контактная система, потеря контакта",CSH,2024,,,,,,,1 days 15:18:00,2358.0,1195.0,3,0.002352941176470588
3,13161313,2024-01-03 00:55:00,Свердловская,"СВЕРД, ШЧ-9",,,,Неисправность устройств электроснабжения,CSH,2024,,,,,,,1 days 22:23:00,2783.0,425.0,4,0.0035294117647058825
2,13161357,2024-01-03 03:27:00,Свердловская,"СВЕРД, ШЧ-13",,,"1шт ч(к учету 0,35)ч","Контактная система, увеличенное сопротивление контакта",CSH,2024,,,,,1.0,"0,35ч",2 days 00:55:00,2935.0,152.0,5,0.004705882352941176
1,13161743,2024-01-03 07:05:00,Свердловская,"СВЕРД, ТЧЭ-5","27шт (к учету 21) ч(к учету 49,9ч)","1шт ч(к учету 0,12ч)","1шт ч(к учету 0,17)ч","Код 14.2 Пробоксовки в виде местного износа и выкрашивания металла в местах термомеханических повреждений головки рельса из-за боксования, юза колес подвижного состава или нарушения режимов шлифования рельсошлифовальными поездами",CT,2024,21.0,"49,9ч",1.0,"0,12ч",1.0,"0,17ч",2 days 04:33:00,3153.0,218.0,6,0.0058823529411764705
3,13161782,2024-01-03 07:15:00,Свердловская,"СВЕРД, ИЧ ЕГОРШИНСКАЯ Ш",,,,"Нарушение контакта в штепсельных розетках, излом розеток",CSH,2024,,,,,,,2 days 04:43:00,3163.0,10.0,7,0.007058823529411765
2,13161744,2024-01-03 09:11:00,Свердловская,"СВЕРД, ШЧ-7","5шт ч(к учету 1,17ч)","1шт ч(к учету 0,37ч)",,Нарушение контакта,CSH,2024,5.0,"1,17ч",1.0,"0,37ч",,,2 days 06:39:00,3279.0,116.0,8,0.00823529411764706
1,13162718,2024-01-03 18:43:00,Свердловская,"СВЕРД, ТЧЭ-12",,,,Прочая неисправность вкладыша опоры кузова локомотива,CT,2024,,,,,,,2 days 16:11:00,3851.0,572.0,9,0.009411764705882352
2,13164235,2024-01-04 23:41:00,Свердловская,"СВЕРД, ШЧ-18",,"2шт ч(к учету 0,3ч)",,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,2.0,"0,3ч",,,3 days 21:09:00,5589.0,1738.0,10,0.010588235294117647
3,13164658,2024-01-05 08:01:00,Свердловская,"СВЕРД, ШЧ-5",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,4 days 05:29:00,6089.0,500.0,11,0.011764705882352941
2,13165350,2024-01-05 19:22:00,Свердловская,"СВЕРД, ШЧ-5","1шт ч(к учету 0,23ч)",,"2шт ч(к учету 0,3)ч","Контактная система, подгар контактов",CSH,2024,1.0,"0,23ч",,,2.0,"0,3ч",4 days 16:50:00,6770.0,681.0,12,0.012941176470588235
2,13166106,2024-01-06 09:28:00,Свердловская,"СВЕРД, ШЧ-16","1шт ч(к учету 0,97ч)","4шт (к учету 2) ч(к учету 0,68ч)","3шт (к учету 1) ч(к учету 0,42)ч","Контактная система, увеличенное сопротивление контакта",CSH,2024,1.0,"0,97ч",2.0,"0,68ч",1.0,"0,42ч",5 days 06:56:00,7616.0,846.0,13,0.01411764705882353
3,13166255,2024-01-06 13:04:00,Свердловская,"СВЕРД, ШЧ-8 (Р)",,,,"Электродвигатель, постоянного тока (МСП, ДСП), неисправность коллектора",CSH,2024,,,,,,,5 days 10:32:00,7832.0,216.0,14,0.015294117647058824
2,13166751,2024-01-07 02:41:00,Свердловская,"СВЕРД, ШЧ-5","1шт ч(к учету 0,33ч)","1шт ч(к учету 0,17ч)","3шт (к учету 2) ч(к учету 0,38)ч",Излом наконечника,CSH,2024,1.0,"0,33ч",1.0,"0,17ч",2.0,"0,38ч",6 days 00:09:00,8649.0,817.0,15,0.01647058823529412
2,13166787,2024-01-07 04:30:00,Свердловская,"СВЕРД, ШЧ-2","3шт (к учету 2) ч(к учету 1,35ч)","3шт (к учету 2) ч(к учету 0,78ч)","2шт ч(к учету 0,32)ч",Нарушение контакта,CSH,2024,2.0,"1,35ч",2.0,"0,78ч",2.0,"0,32ч",6 days 01:58:00,8758.0,109.0,16,0.01764705882352941
2,13167713,2024-01-08 03:53:00,Свердловская,"СВЕРД, ШЧ-5",,,"1шт ч(к учету 0,27)ч",Ослабление затяжки болтов,CSH,2024,,,,,1.0,"0,27ч",7 days 01:21:00,10161.0,1403.0,17,0.018823529411764704
3,13168443,2024-01-08 20:22:00,Свердловская,"СВЕРД, ВЧДЭ-20",,,,Технологический нагрев буксового узла,CV,2024,,,,,,,7 days 17:50:00,11150.0,989.0,18,0.02
