CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
2,13160087,2024-01-01 04:16:00,Восточно-Сибирская,"В-СИБ, ШЧ-6 (Р)",,,"1шт ч(к учету 0,1)ч","Внутренний монтаж, обрыв",CSH,2024,,,,,0.0,,0 days 00:00:00,0.0,0.0,1,0.0
3,13160869,2024-01-01 07:32:00,Восточно-Сибирская,"В-СИБ, ШЧ-5 ИРКУТСК-СОРТИРОВОЧНЫЙ",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,,0 days 03:16:00,196.0,196.0,2,0.0007385524372230429
2,13160457,2024-01-01 19:52:00,Восточно-Сибирская,"В-СИБ, ШЧ-7 СЛЮДЯНКА","5шт ч(к учету 2,13ч)",,,"Лампы, перегорание основной нити",CSH,2024,2.0,"2,13ч",,,,,0 days 15:36:00,936.0,740.0,3,0.0014771048744460858
2,13160567,2024-01-02 02:30:00,Восточно-Сибирская,"В-СИБ, ВЧДЭ-10 УЛАН-УДЭ","1шт ч(к учету 0,32ч)",,,Тонкий гребень колеса грузового вагона,CV,2024,0.0,"0,32ч",,,,,0 days 22:14:00,1334.0,398.0,4,0.0022156573116691287
2,13161301,2024-01-03 01:14:00,Восточно-Сибирская,"В-СИБ, ШЧ-8 УЛАН-УДЭ","3шт ч(к учету 2,38ч)",,,"Контактная система, увеличенное сопротивление контакта",CSH,2024,2.0,"2,38ч",,,,,1 days 20:58:00,2698.0,1364.0,5,0.0029542097488921715
2,13165910,2024-01-04 15:34:00,Восточно-Сибирская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","5шт ч(к учету 1,33ч)",,,Нарушение регулировки рычажной передачи,CV,2024,1.0,"1,33ч",,,,,3 days 11:18:00,4998.0,2300.0,6,0.003692762186115214
3,13169240,2024-01-07 01:40:00,Восточно-Сибирская,"З-СИБ, ВЧДЭ-25 НОВОКУЗНЕЦК",,,,Перекос тележки грузового вагона,CV,2024,,,,,,,5 days 21:24:00,8484.0,3486.0,7,0.004431314623338257
2,13166734,2024-01-07 02:08:00,Восточно-Сибирская,"В-СИБ, ШЧ-1 ТАЙШЕТ","1шт ч(к учету 0,42ч)",,,"Конденсатор, снижение емкости",CSH,2024,0.0,"0,42ч",,,,,5 days 21:52:00,8512.0,28.0,8,0.0051698670605613
3,13173115,2024-01-07 09:05:00,Восточно-Сибирская,"В-СИБ, ШЧ-2 НИЖНЕУДИНСК",,,,"Выводные клеммы, сообщение",CSH,2024,,,,,,,6 days 04:49:00,8929.0,417.0,9,0.005908419497784343
3,13167313,2024-01-07 15:17:00,Восточно-Сибирская,"В-СИБ, ШЧ-14 ТАКСИМО",,,,Обрыв,CSH,2024,,,,,,,6 days 11:01:00,9301.0,372.0,10,0.0066469719350073855
3,13168914,2024-01-07 19:26:00,Восточно-Сибирская,"В-СИБ, ШЧ-5 ИРКУТСК-СОРТИРОВОЧНЫЙ",,,,"Релейный ОК, программное обеспечение, сбой",CSH,2024,,,,,,,6 days 15:10:00,9550.0,249.0,11,0.007385524372230428
3,13169155,2024-01-07 19:40:00,Восточно-Сибирская,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",,,,"Электродвигатель, постоянного тока (МСП, ДСП), заклинивание ротора",CSH,2024,,,,,,,6 days 15:24:00,9564.0,14.0,12,0.00812407680945347
3,13170400,2024-01-07 20:13:00,Восточно-Сибирская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ",,,,Несоответствие норм высоты автосцепки грузового вагона,CV,2024,,,,,,,6 days 15:57:00,9597.0,33.0,13,0.008862629246676515
2,13214128,2024-01-07 21:05:00,Восточно-Сибирская,"В-СИБ, ШЧ-2 НИЖНЕУДИНСК","6шт ч(к учету 2,37ч)",,,"Нарушение контакта в разъемах блоков, неисправность контактных губок",CSH,2024,2.0,"2,37ч",,,,,6 days 16:49:00,9649.0,52.0,14,0.009601181683899557
3,13167630,2024-01-08 01:50:00,Восточно-Сибирская,"В-СИБ, ШЧ-2 НИЖНЕУДИНСК",,,,"Нарушение контакта в разъемах блоков, сообщение",CSH,2024,,,,,,,6 days 21:34:00,9934.0,285.0,15,0.0103397341211226
3,13168821,2024-01-08 03:24:00,Восточно-Сибирская,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",,,,Некачественная пайка,CSH,2024,,,,,,,6 days 23:08:00,10028.0,94.0,16,0.011078286558345642
3,13173066,2024-01-08 05:00:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-14",,,,Прочая неисправность корпуса поездного компрессора,CT,2024,,,,,,,7 days 00:44:00,10124.0,96.0,17,0.011816838995568686
3,13167975,2024-01-08 09:32:00,Восточно-Сибирская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2024,,,,,,,7 days 05:16:00,10396.0,272.0,18,0.012555391432791729
3,13174085,2024-01-09 00:00:00,Восточно-Сибирская,"В-СИБ, ШЧ-3 ЗИМА",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,7 days 19:44:00,11264.0,868.0,19,0.013293943870014771
3,13177053,2024-01-09 01:05:00,Восточно-Сибирская,"В-СИБ, ШЧ-10 ВИХОРЕВКА",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,7 days 20:49:00,11329.0,65.0,20,0.014032496307237814
3,13170419,2024-01-09 15:00:00,Восточно-Сибирская,"В-СИБ, ШЧ-14 ТАКСИМО",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,,8 days 10:44:00,12164.0,835.0,21,0.014771048744460856
3,13170417,2024-01-09 15:59:00,Восточно-Сибирская,"В-СИБ, ШЧ-14 ТАКСИМО",,,,"Тиристор, потеря контакта",CSH,2024,,,,,,,8 days 11:43:00,12223.0,59.0,22,0.0155096011816839
3,13176321,2024-01-09 20:00:00,Восточно-Сибирская,"В-СИБ, ШЧ-3 ЗИМА",,,,"Заградительный брус, излом",CSH,2024,,,,,,,8 days 15:44:00,12464.0,241.0,23,0.01624815361890694
1,13170440,2024-01-10 00:54:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-9","4шт ч(к учету 9,88ч)",,,Прочая неисправность замка автосцепки локомотива,CT,2024,9.0,"9,88ч",,,,,8 days 20:38:00,12758.0,294.0,24,0.016986706056129987
3,13170424,2024-01-10 02:29:00,Восточно-Сибирская,"В-СИБ, ШЧ-7 СЛЮДЯНКА",,,,Неисправность устройств электроснабжения,CSH,2024,,,,,,,8 days 22:13:00,12853.0,95.0,25,0.01772525849335303
3,13174879,2024-01-10 13:47:00,Восточно-Сибирская,"В-СИБ, ШЧ-1 ТАЙШЕТ",,,,"Автопереключатель, разрегулировка контактов",CSH,2024,,,,,,,9 days 09:31:00,13531.0,678.0,26,0.01846381093057607
3,13178522,2024-01-10 17:25:00,Восточно-Сибирская,"В-СИБ, ШЧ-5 ИРКУТСК-СОРТИРОВОЧНЫЙ",,,,"Диод, обрыв диода",CSH,2024,,,,,,,9 days 13:09:00,13749.0,218.0,27,0.019202363367799114
2,13175939,2024-01-11 09:33:00,Восточно-Сибирская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","1шт ч(к учету 0,67ч)",,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2024,0.0,"0,67ч",,,,,10 days 05:17:00,14717.0,968.0,28,0.019940915805022157
3,13176868,2024-01-11 10:43:00,Восточно-Сибирская,"В-СИБ, ШЧ-2 НИЖНЕУДИНСК",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,10 days 06:27:00,14787.0,70.0,29,0.0206794682422452
3,13179929,2024-01-11 23:56:00,Восточно-Сибирская,"КРАС, ВЧДЭ-1 БОГОТОЛ",,,,Выщербина на ободе колеса грузового вагона,CV,2024,,,,,,,10 days 19:40:00,15580.0,793.0,30,0.02141802067946824
3,13180572,2024-01-12 02:16:00,Восточно-Сибирская,"В-СИБ, ШЧ-8 УЛАН-УДЭ",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,10 days 22:00:00,15720.0,140.0,31,0.022156573116691284
2,13177993,2024-01-12 19:10:00,Восточно-Сибирская,"В-СИБ, ШЧ-3 ЗИМА","11шт ч(к учету 5,4ч)",,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,5.0,"5,4ч",,,,,11 days 14:54:00,16734.0,1014.0,32,0.022895125553914326
2,13181900,2024-01-13 04:07:00,Восточно-Сибирская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","1шт ч(к учету 0,67ч)",,,Несоответствие зазоров скользуна грузового вагона,CV,2024,0.0,"0,67ч",,,,,11 days 23:51:00,17271.0,537.0,33,0.023633677991137372
2,13178811,2024-01-13 18:50:00,Восточно-Сибирская,"В-СИБ, ШЧ-13 СЕВЕРОБАЙКАЛЬСК","1шт ч(к учету 0,68ч)",,,Нарушение изоляции монтажных проводов,CSH,2024,0.0,"0,68ч",,,,,12 days 14:34:00,18154.0,883.0,34,0.024372230428360415
3,13182395,2024-01-14 16:10:00,Восточно-Сибирская,"В-СИБ, ШЧ-13 СЕВЕРОБАЙКАЛЬСК",,,,"Светодиоды, неисправность",CSH,2024,,,,,,,13 days 11:54:00,19434.0,1280.0,35,0.025110782865583457
3,13180088,2024-01-15 01:50:00,Восточно-Сибирская,"КРАС, ВЧДЭ-1 БОГОТОЛ",,,,Выщербина на ободе колеса грузового вагона,CV,2024,,,,,,,13 days 21:34:00,20014.0,580.0,36,0.0258493353028065
3,13182154,2024-01-16 08:44:00,Восточно-Сибирская,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",,,,"Обмотка, короткое замыкание",CSH,2024,,,,,,,15 days 04:28:00,21868.0,1854.0,37,0.026587887740029542
3,13182667,2024-01-16 13:56:00,Восточно-Сибирская,"В-СИБ, ШЧ-14 ТАКСИМО",,,,"Автопереключатель, разрегулировка контактов",CSH,2024,,,,,,,15 days 09:40:00,22180.0,312.0,38,0.027326440177252585
3,13182981,2024-01-16 15:54:00,Восточно-Сибирская,"В-СИБ, ШЧ-13 СЕВЕРОБАЙКАЛЬСК",,,,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,,,,,15 days 11:38:00,22298.0,118.0,39,0.028064992614475627
