CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
1,12650849,2023-01-01 13:33:00,Дальневосточная,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК","28шт (к учету 15) 11,58ч",,,Выпадение валика подвески тормозного подвешивания грузового вагона,CV,2023,15.0,"11,58ч",,,,,0 days 00:00:00,0.0,0.0,1,0.0
2,12654751,2023-01-01 16:42:00,Дальневосточная,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК","7шт 3,05ч",,,Обрыв маятниковой подвески грузового вагона,CV,2023,7.0,"3,05ч",,,,,0 days 03:09:00,189.0,189.0,2,0.001183431952662722
1,12654752,2023-01-01 17:22:00,Дальневосточная,"ЗАБ, ВЧДЭ-6 МОГОЧА","3шт 0,95ч",,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,3.0,"0,95ч",,,,,0 days 03:49:00,229.0,40.0,3,0.002366863905325444
1,12648164,2023-01-01 19:38:00,Дальневосточная,"Д-ВОСТ, ШЧ-4 ДВОСТ","25шт (к учету 23) 10,37ч",,,Короткое замыкание секций СП-6,CSH,2023,23.0,"10,37ч",,,,,0 days 06:05:00,365.0,136.0,4,0.0035502958579881655
3,12665805,2023-01-02 02:25:00,Дальневосточная,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,,,,,,,0 days 12:52:00,772.0,407.0,5,0.004733727810650888
1,12648625,2023-01-02 12:44:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 ДВОСТ","6шт (к учету 5) 5,8ч",,,Обрыв внешнего монтажа аппаратуры защиты рельсовых цепей,CSH,2023,5.0,"5,8ч",,,,,0 days 23:11:00,1391.0,619.0,6,0.005917159763313609
2,12648778,2023-01-02 15:30:00,Дальневосточная,"Д-ВОСТ, ШЧ-6 ДВОСТ","1шт 0,3ч","2шт (к учету 1) 0,25ч",,Повышенное переходное сопротивление между элементами,CSH,2023,1.0,"0,3ч",1.0,"0,25ч",,,1 days 01:57:00,1557.0,166.0,7,0.007100591715976331
1,12649439,2023-01-03 12:26:00,Дальневосточная,"Д-ВОСТ, ВЧДЭ-1 ХАБАРОВСК","7шт (к учету 6) 7,1ч",,,Неисправность тройника воздухопровода тормозной магистрали,CV,2023,6.0,"7,1ч",,,,,1 days 22:53:00,2813.0,1256.0,8,0.008284023668639054
3,12649501,2023-01-03 15:16:00,Дальневосточная,"Д-ВОСТ, ШЧ-4 ДВОСТ","1шт 0,12ч",,,Нарушение электрических характеристик реле аппаратуры рельсовых цепей,CSH,2023,1.0,"0,12ч",,,,,2 days 01:43:00,2983.0,170.0,9,0.009467455621301775
3,12649729,2023-01-04 00:21:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 ДВОСТ",,,,Другие неисправности элементов защитного блока аппаратуры АБ,CSH,2023,,,,,,,2 days 10:48:00,3528.0,545.0,10,0.010650887573964497
