CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
2,13166980,2024-01-07 09:30:00,Калининградская,"КЛГ, ШЧ-1",,,"1шт ч(к учету 0,12)ч","Конденсатор, снижение емкости",CSH,2024,,,,,0.0,,0 days 00:00:00,0.0,0.0,1,0.0
3,13177748,2024-01-12 13:07:00,Калининградская,"КЛГ, ШЧ-1",,,,"Контактная система, потеря контакта",CSH,2024,,,,,,,5 days 03:37:00,7417.0,7417.0,2,0.02127659574468085
3,13181964,2024-01-16 06:57:00,Калининградская,"КЛГ, ШЧ-1",,,,Неисправность,CSH,2024,,,,,,,8 days 21:27:00,12807.0,5390.0,3,0.0425531914893617
3,13232662,2024-02-22 09:16:00,Калининградская,"КЛГ, ШЧ-1",,,,"Остальные, неисправность",CSH,2024,,,,,,,45 days 23:46:00,66226.0,53419.0,4,0.06382978723404255
3,13265723,2024-03-18 13:51:00,Калининградская,"КЛГ, ШЧ-1",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,,71 days 04:21:00,102501.0,36275.0,5,0.0851063829787234
3,13277754,2024-03-28 01:56:00,Калининградская,"КЛГ, ШЧ-1",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,,80 days 16:26:00,116186.0,13685.0,6,0.10638297872340426
3,13278126,2024-03-28 08:32:00,Калининградская,"КЛГ, ШЧ-1",,,,"Обмотка, обрыв обмотки",CSH,2024,,,,,,,80 days 23:02:00,116582.0,396.0,7,0.1276595744680851
2,13287829,2024-04-03 14:35:00,Калининградская,"КЛГ, ШЧ-1",,"1шт ч(к учету 0,12ч)",,"Контактная система, подгар контактов",CSH,2024,,,0.0,"0,12ч",,,87 days 05:05:00,125585.0,9003.0,8,0.14893617021276595
3,13300012,2024-04-09 14:36:00,Калининградская,"КЛГ, ШЧ-1",,,,"Нарушение контакта в клеммных колодках (резьб), плохой контакт",CSH,2024,,,,,,,93 days 05:06:00,134226.0,8641.0,9,0.1702127659574468
3,13302957,2024-04-10 18:41:00,Калининградская,"КЛГ, ШЧ-1",,,,"Ключ-жезл в т.ч. с электрозащелкой, износ механических частей ключа-жезла",CSH,2024,,,,,,,94 days 09:11:00,135911.0,1685.0,10,0.19148936170212766
3,13308266,2024-04-13 14:08:00,Калининградская,"КЛГ, ШЧ-1",,,,"Нарушение контакта в штепсельных розетках, замятие контакта",CSH,2024,,,,,,,97 days 04:38:00,139958.0,4047.0,11,0.2127659574468085
3,13318861,2024-04-20 08:55:00,Калининградская,"КЛГ, ШЧ-1",,,,"Контактная система, подгар контактов",CSH,2024,,,,,,,103 days 23:25:00,149725.0,9767.0,12,0.23404255319148937
3,13341844,2024-05-04 18:10:00,Калининградская,"КЛГ, ШЧ-1",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,,118 days 08:40:00,170440.0,20715.0,13,0.2553191489361702
3,13341843,2024-05-04 19:08:00,Калининградская,"КЛГ, ШЧ-1",,,,Повреждение изоляции,CSH,2024,,,,,,,118 days 09:38:00,170498.0,58.0,14,0.2765957446808511
3,13351333,2024-05-09 12:48:00,Калининградская,"КЛГ, ШЧ-1",,,,"Жилы, обрыв",CSH,2024,,,,,,,123 days 03:18:00,177318.0,6820.0,15,0.2978723404255319
3,13365514,2024-05-19 08:52:00,Калининградская,"КЛГ, ШЧ-1",,,,Зависание ПО,CSH,2024,,,,,,,132 days 23:22:00,191482.0,14164.0,16,0.3191489361702128
3,13367600,2024-05-20 12:15:00,Калининградская,"КЛГ, ШЧ-1",,,,"Редуктор, неисправность",CSH,2024,,,,,,,134 days 02:45:00,193125.0,1643.0,17,0.3404255319148936
3,13368509,2024-05-20 16:41:00,Калининградская,"КЛГ, ШЧ-1",,,,"Резистор, обрыв",CSH,2024,,,,,,,134 days 07:11:00,193391.0,266.0,18,0.3617021276595745
3,13368832,2024-05-21 12:05:00,Калининградская,"КЛГ, ШЧ-1",,,,"Фрикционное сцепление, нарушение регулировки усилия перевода",CSH,2024,,,,,,,135 days 02:35:00,194555.0,1164.0,19,0.3829787234042553
3,13371932,2024-05-23 07:23:00,Калининградская,"КЛГ, ШЧ-1",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,136 days 21:53:00,197153.0,2598.0,20,0.40425531914893614
3,13408882,2024-06-17 11:26:00,Калининградская,"КЛГ, ШЧ-1",,,,"Нарушение контакта в клеммных колодках (резьб), плохой контакт",CSH,2024,,,,,,,162 days 01:56:00,233396.0,36243.0,21,0.425531914893617
3,13415079,2024-06-22 00:48:00,Калининградская,"КЛГ, ШЧ-1",,,,"Контактная система, подгар контактов",CSH,2024,,,,,,,166 days 15:18:00,239958.0,6562.0,22,0.44680851063829785
3,13422796,2024-06-27 19:43:00,Калининградская,"КЛГ, ШЧ-1",,,,"Кнопки, подгар, сваривание контактов",CSH,2024,,,,,,,172 days 10:13:00,248293.0,8335.0,23,0.46808510638297873
2,13444678,2024-07-10 16:37:00,Калининградская,"КЛГ, ШЧ-1",,,"4шт ч(к учету 0,5)ч","Контактная система, увеличенное сопротивление контакта",CSH,2024,,,,,0.0,,185 days 07:07:00,266827.0,18534.0,24,0.48936170212765956
3,13446560,2024-07-11 14:50:00,Калининградская,"КЛГ, ШЧ-1",,,,"Конденсаторы, снижение емкости конденсатора",CSH,2024,,,,,,,186 days 05:20:00,268160.0,1333.0,25,0.5106382978723404
2,13450425,2024-07-14 23:34:00,Калининградская,"КЛГ, ШЧ-1",,,"1шт ч(к учету 0,22)ч","Транзистор, пробой",CSH,2024,,,,,0.0,,189 days 14:04:00,273004.0,4844.0,26,0.5319148936170213
3,13453896,2024-07-17 10:45:00,Калининградская,"КЛГ, ШЧ-1",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,,192 days 01:15:00,276555.0,3551.0,27,0.5531914893617021
3,13456485,2024-07-19 07:44:00,Калининградская,"КЛГ, ШЧ-1",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,193 days 22:14:00,279254.0,2699.0,28,0.574468085106383
3,13467265,2024-07-28 10:20:00,Калининградская,"КЛГ, ШЧ-1",,,,Неисправность блока питания,CSH,2024,,,,,,,203 days 00:50:00,292370.0,13116.0,29,0.5957446808510638
2,13470312,2024-07-30 22:02:00,Калининградская,"КЛГ, ШЧ-1",,,"1шт ч(к учету 0,17)ч","Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,0.0,,205 days 12:32:00,295952.0,3582.0,30,0.6170212765957447
3,13477857,2024-08-05 17:26:00,Калининградская,"КЛГ, ШЧ-1",,,,"Микропереключатель, повреждение",CSH,2024,,,,,,,211 days 07:56:00,304316.0,8364.0,31,0.6382978723404256
3,13479957,2024-08-06 17:38:00,Калининградская,"КЛГ, ШЧ-1",,,,Нарушение контакта трос/штепсель,CSH,2024,,,,,,,212 days 08:08:00,305768.0,1452.0,32,0.6595744680851063
3,13488862,2024-08-12 08:45:00,Калининградская,"КЛГ, ШЧ-1",,,,"Жилы, обрыв",CSH,2024,,,,,,,217 days 23:15:00,313875.0,8107.0,33,0.6808510638297872
3,13506243,2024-08-26 00:02:00,Калининградская,"КЛГ, ШЧ-1",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,231 days 14:32:00,333512.0,19637.0,34,0.7021276595744681
3,13508562,2024-08-27 19:15:00,Калининградская,"КЛГ, ШЧ-1",,,,Неисправность монтажа,CSH,2024,,,,,,,233 days 09:45:00,336105.0,2593.0,35,0.723404255319149
2,13521058,2024-09-05 10:18:00,Калининградская,"КЛГ, ТЧЭ-1","1шт ч(к учету 0,53ч)",,,Прочая неисправность подводящей трубки топливного коллектора,CT,2024,0.0,"0,53ч",,,,,242 days 00:48:00,348528.0,12423.0,36,0.7446808510638298
3,13527898,2024-09-09 19:59:00,Калининградская,"КЛГ, ШЧ-1",,,,"Не срабатывание (не перегорание), несоответствие номинала",CSH,2024,,,,,,,246 days 10:29:00,354869.0,6341.0,37,0.7659574468085106
2,13538603,2024-09-15 20:22:00,Калининградская,"КЛГ, ШЧ-1",,,"1шт ч(к учету 0,1)ч","Срабатывание (перегорание), коммутационные перенапряжения",CSH,2024,,,,,0.0,,252 days 10:52:00,363532.0,8663.0,38,0.7872340425531915
3,13542068,2024-09-18 02:30:00,Калининградская,"КЛГ, ШЧ-1",,,,"Автопереключатель, разрегулировка контактов",CSH,2024,,,,,,,254 days 17:00:00,366780.0,3248.0,39,0.8085106382978723
2,13546089,2024-09-20 12:59:00,Калининградская,"КЛГ, ШЧ-1",,,"1шт ч(к учету 0,1)ч","Жилы, обрыв",CSH,2024,,,,,0.0,,257 days 03:29:00,370289.0,3509.0,40,0.8297872340425532
2,13585240,2024-10-16 19:11:00,Калининградская,"КЛГ, ШЧ-1",,,"2шт ч(к учету 0,52)ч","Контактная система, подгар контактов",CSH,2024,,,,,0.0,,283 days 09:41:00,408101.0,37812.0,41,0.851063829787234
