CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
2,12647839,2023-01-01 05:04:00,Красноярская,"КРАС, ШЧ-11 (Э)","1шт 0,33ч",,,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,1.0,"0,33ч",,,,,0 days 00:00:00,0.0,0.0,1,0.0
3,12647925,2023-01-01 09:40:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Удар посторонним предметом с проходящего поезда,CSH,2023,,,,,,,0 days 04:36:00,276.0,276.0,2,0.0016286644951140066
3,12649015,2023-01-01 17:05:00,Красноярская,"З-СИБ, ВЧДЭ-6 ИНСКАЯ",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,,0 days 12:01:00,721.0,445.0,3,0.003257328990228013
1,12648620,2023-01-02 11:05:00,Красноярская,"КРАС, ТЧЭ-2","6шт 6,13ч",,,Прочая неисправность контактной обмотки индуктивного шунта,CT,2023,6.0,"6,13ч",,,,,1 days 06:01:00,1801.0,1080.0,4,0.004885993485342019
3,12648974,2023-01-03 04:07:00,Красноярская,"КРАС, ШЧ-1 (Э)",,,,Повышенное переходное сопротивление между элементами,CSH,2023,,,,,,,1 days 23:03:00,2823.0,1022.0,5,0.006514657980456026
2,12650076,2023-01-04 08:48:00,Красноярская,"КРАС, ШЧ-7 (Э)","1шт 0,33ч",,,Другие неисправности элементов защитного блока аппаратуры рельсовых цепей,CSH,2023,1.0,"0,33ч",,,,,3 days 03:44:00,4544.0,1721.0,6,0.008143322475570033
3,12653704,2023-01-05 07:09:00,Красноярская,"КРАС, ШЧ-12 (Э)",,,,Неисправность схемы управления и контроля стрелкой,CSH,2023,,,,,,,4 days 02:05:00,5885.0,1341.0,7,0.009771986970684038
3,12651132,2023-01-05 08:30:00,Красноярская,"КРАС, ВЧДЭ-8 АБАКАН",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,,,,,,,4 days 03:26:00,5966.0,81.0,8,0.011400651465798045
2,12659727,2023-01-06 11:27:00,Красноярская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ","4шт 1,12ч",,,Изгиб или излом триангеля грузового вагона,CV,2023,4.0,"1,12ч",,,,,5 days 06:23:00,7583.0,1617.0,9,0.013029315960912053
2,12653277,2023-01-07 03:07:00,Красноярская,"КРАС, ШЧ-4 (Э)","13шт 6,63ч",,,Обрыв внешнего монтажа аппаратуры защиты рельсовых цепей,CSH,2023,13.0,"6,63ч",,,,,5 days 22:03:00,8523.0,940.0,10,0.014657980456026058
