CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
3,13160106,2024-01-01 03:45:00,Октябрьская,"ОКТ, ТЧЭ-14",,,,Прочая неисправность аккумуляторной батареи,CT,2024,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0
3,13160110,2024-01-01 05:45:00,Октябрьская,"ОКТ, ШЧ-12",,,,Обрыв жил контрольного кабеля линий СЦБ,CSH,2024,,,,,,,0 days 02:00:00,120.0,120.0,2,0.0004987531172069825
1,13160147,2024-01-01 06:11:00,Октябрьская,"ОКТ, ТЧЭ-14","6шт ч(к учету 5,65ч)",,,Неисправность микросхемы,CT,2024,5.0,"5,65ч",,,,,0 days 02:26:00,146.0,26.0,3,0.000997506234413965
2,13160319,2024-01-01 13:59:00,Октябрьская,"ОКТ, ТЧЭ-14",,"2шт ч(к учету 0,3ч)","1шт ч(к учету 0,17)ч",Прочая неисправность уплотнения секции холодильника,CT,2024,,,0.0,"0,3ч",0.0,,0 days 10:14:00,614.0,468.0,4,0.0014962593516209476
2,13202322,2024-01-01 21:14:00,Октябрьская,"ОКТ, ШЧ-5 (Э)",,"1шт ч(к учету 0,1ч)",,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,0.0,"0,1ч",,,0 days 17:29:00,1049.0,435.0,5,0.00199501246882793
3,13160600,2024-01-02 04:00:00,Октябрьская,"ОКТ, ТЧЭ-21",,,,Не качественное изготовление програмного обеспечения,CT,2024,,,,,,,1 days 00:15:00,1455.0,406.0,6,0.0024937655860349127
2,13160621,2024-01-02 05:24:00,Октябрьская,"ОКТ, ШЧ-12","2шт ч(к учету 0,87ч)",,,"Кнопки, механическое заедание кнопки",CSH,2024,0.0,"0,87ч",,,,,1 days 01:39:00,1539.0,84.0,7,0.0029925187032418953
2,13160654,2024-01-02 06:55:00,Октябрьская,"ОКТ, ШЧ-12",,,"1шт ч(к учету 0,45)ч","Контактная система, увеличенное сопротивление",CSH,2024,,,,,0.0,,1 days 03:10:00,1630.0,91.0,8,0.003491271820448878
2,13160700,2024-01-02 08:06:00,Октябрьская,"ОКТ, ШЧ-12",,,"2шт ч(к учету 0,38)ч","Контактная система, потеря контакта",CSH,2024,,,,,0.0,,1 days 04:21:00,1701.0,71.0,9,0.00399002493765586
3,13160810,2024-01-02 10:29:00,Октябрьская,"ОКТ, ШЧ-10",,,,"Транзистор, пробой",CSH,2024,,,,,,,1 days 06:44:00,1844.0,143.0,10,0.004488778054862843
3,13160967,2024-01-02 13:57:00,Октябрьская,"ОКТ, ТЧЭ-14",,,,Течь воды в соединении с резиновым патрубком крышки цилиндров дизеля,CT,2024,,,,,,,1 days 10:12:00,2052.0,208.0,11,0.004987531172069825
2,13170209,2024-01-02 14:36:00,Октябрьская,"ОКТ, ТЧЭ-4",,,"1шт ч(к учету 0,1)ч",Прочая неисправность диафрагмы крана машиниста,CT,2024,,,,,0.0,,1 days 10:51:00,2091.0,39.0,12,0.005486284289276808
3,13161162,2024-01-02 18:47:00,Октябрьская,"ОКТ, ТЧЭ-12",,,,Прочая неисправность пружины токоприемника,CT,2024,,,,,,,1 days 15:02:00,2342.0,251.0,13,0.0059850374064837905
2,13161327,2024-01-03 02:09:00,Октябрьская,"ОКТ, ШЧ-20","7шт ч(к учету 3,3ч)",,,"Контактная система, потеря контакта",CSH,2024,3.0,"3,3ч",,,,,1 days 22:24:00,2784.0,442.0,14,0.006483790523690773
3,13161326,2024-01-03 02:22:00,Октябрьская,"ОКТ, ШЧ-8",,,,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,,,,,1 days 22:37:00,2797.0,13.0,15,0.006982543640897756
2,13161337,2024-01-03 02:37:00,Октябрьская,"ОКТ, ШЧ-12",,"1шт ч(к учету 0,48ч)",,"Цугальты, излом",CSH,2024,,,0.0,"0,48ч",,,1 days 22:52:00,2812.0,15.0,16,0.007481296758104738
2,13161385,2024-01-03 03:14:00,Октябрьская,"ОКТ, ШЧ-5 (Э)",,"2шт ч(к учету 0,85ч)",,Неперевод стрелочного перевода по причине напрессовки снега или обледенения остряка и рамного рельса,CSH,2024,,,0.0,"0,85ч",,,1 days 23:29:00,2849.0,37.0,17,0.00798004987531172
2,13161444,2024-01-03 03:37:00,Октябрьская,"ОКТ, ТЧЭ-12","4шт ч(к учету 1,22ч)",,,"Пропил полоза, скол вставки полоза",CT,2024,1.0,"1,22ч",,,,,1 days 23:52:00,2872.0,23.0,18,0.008478802992518703
3,13161399,2024-01-03 04:50:00,Октябрьская,"ОКТ, ШЧ-15 (Э)",,,,Загрязнение головок рельса,CSH,2024,,,,,,,2 days 01:05:00,2945.0,73.0,19,0.008977556109725686
3,13161423,2024-01-03 05:40:00,Октябрьская,"ОКТ, ШЧ-4 (Э)",,,,Неперевод стрелочного перевода по причине несвоевременной очистке и смазки,CSH,2024,,,,,,,2 days 01:55:00,2995.0,50.0,20,0.009476309226932668
2,13161470,2024-01-03 06:07:00,Октябрьская,"ОКТ, ШЧ-14 (Р)","1шт ч(к учету 0,3ч)",,"7шт (к учету 6) ч(к учету 3,35)ч","Электродвигатель, постоянного тока (МСП, ДСП), обрыв обмотки якоря",CSH,2024,0.0,"0,3ч",,,6.0,,2 days 02:22:00,3022.0,27.0,21,0.00997506234413965
