CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
2,13162340,2024-01-03 17:40:00,Приволжская,"ПРИВ, ШЧ-7 (Э)","1шт ч(к учету 0,98ч)","1шт ч(к учету 0,15ч)","1шт ч(к учету 0,37)ч","Муфты подземные, неисправность корпуса",CSH,2024,0.0,"0,98ч",0.0,"0,15ч",0.0,,0 days 00:00:00,0.0,0.0,1,0.0
1,13163296,2024-01-04 09:17:00,Приволжская,"ПРИВ, ШЧ-6 (Э)","1шт ч(к учету 1,67ч)","1шт ч(к учету 0,48ч)",,"Внутренний монтаж, короткое замыкание",CSH,2024,1.0,"1,67ч",0.0,"0,48ч",,,0 days 15:37:00,937.0,937.0,2,0.002145922746781116
3,13164915,2024-01-05 11:40:00,Приволжская,"ПРИВ, ШЧ-6 (Э)",,,,"Системный блок, сбой программного обеспечения",CSH,2024,,,,,,,1 days 18:00:00,2520.0,1583.0,3,0.004291845493562232
3,13166637,2024-01-06 22:19:00,Приволжская,"ПРИВ, ШЧ-14",,,,Нарушение контакта трос/контактный болт,CSH,2024,,,,,,,3 days 04:39:00,4599.0,2079.0,4,0.006437768240343348
2,13167419,2024-01-07 19:29:00,Приволжская,"ПРИВ, ШЧ-1",,"1шт ч(к учету 0,17ч)",,Потеря контакта в манжете,CSH,2024,,,0.0,"0,17ч",,,4 days 01:49:00,5869.0,1270.0,5,0.008583690987124463
3,13169355,2024-01-09 10:58:00,Приволжская,"ПРИВ, ШЧ-2",,,,"Не срабатывание (не перегорание), воздействие тягового тока",CSH,2024,,,,,,,5 days 17:18:00,8238.0,2369.0,6,0.01072961373390558
3,13169875,2024-01-09 14:35:00,Приволжская,"ПРИВ, ШЧ-14",,,,Неисправность приёмной капсулы,CSH,2024,,,,,,,5 days 20:55:00,8455.0,217.0,7,0.012875536480686695
3,13169907,2024-01-09 14:45:00,Приволжская,"ПРИВ, ШЧ-7 (Э)",,,,"Контакторы, перекос подвижного контакта",CSH,2024,,,,,,,5 days 21:05:00,8465.0,10.0,8,0.015021459227467811
3,13173428,2024-01-09 19:18:00,Приволжская,"ПРИВ, ИЧ ПАЛЛАСОВКА Ш",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,6 days 01:38:00,8738.0,273.0,9,0.017167381974248927
3,13170275,2024-01-09 22:19:00,Приволжская,"ПРИВ, ШЧ-8",,,,"Дроссели (реакторы), обрыв",CSH,2024,,,,,,,6 days 04:39:00,8919.0,181.0,10,0.019313304721030045
3,13172906,2024-01-10 22:17:00,Приволжская,"ПРИВ, ШЧ-14",,,,Нарушение регулировки,CSH,2024,,,,,,,7 days 04:37:00,10357.0,1438.0,11,0.02145922746781116
