CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
3,12647829,2023-01-01 03:30:00,Свердловская,"СВЕРД, ВЧДЭ-4",,,,Обводнение смазки в буксе грузового вагона,CV,2023,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0
3,12647936,2023-01-01 05:59:00,Свердловская,"СВЕРД, ШЧ-17",,,,Асимметрия тягового тока,CSH,2023,,,,,,,0 days 02:29:00,149.0,149.0,2,0.001303780964797914
3,12647894,2023-01-01 08:46:00,Свердловская,"СВЕРД, ВЧДЭ-4",,,,Неисправность магистральной части воздухораспределителя,CV,2023,,,,,,,0 days 05:16:00,316.0,167.0,3,0.002607561929595828
3,12647948,2023-01-01 11:27:00,Свердловская,"СВЕРД, ИЧ ЕГОРШИНСКАЯ Ш",,,,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,,,,,,,0 days 07:57:00,477.0,161.0,4,0.003911342894393742
3,12648021,2023-01-01 14:25:00,Свердловская,"СВЕРД, ШЧ-16",,,,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,,0 days 10:55:00,655.0,178.0,5,0.005215123859191656
3,12648390,2023-01-01 20:56:00,Свердловская,"СВЕРД, ШЧ-16",,,,Обрыв соединителей,CSH,2023,,,,,,,0 days 17:26:00,1046.0,391.0,6,0.00651890482398957
3,12648267,2023-01-02 01:30:00,Свердловская,"СВЕРД, ИЧ ЕГОРШИНСКАЯ Ш",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,,0 days 22:00:00,1320.0,274.0,7,0.007822685788787484
3,12648556,2023-01-02 11:22:00,Свердловская,"СВЕРД, ВЧДЭ-4",,,,Подтверждённые неисправности кассетных подшипников,CV,2023,,,,,,,1 days 07:52:00,1912.0,592.0,8,0.009126466753585397
3,12652383,2023-01-02 13:49:00,Свердловская,"З-СИБ, ВЧДЭ-23 БЕЛОВО",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,,,,,,,1 days 10:19:00,2059.0,147.0,9,0.010430247718383311
1,12648888,2023-01-03 00:10:00,Свердловская,"СВЕРД, ШЧ-18","11шт (к учету 8) 10,18ч","2шт (к учету 1) 0,25ч",,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,8.0,"10,18ч",1.0,"0,25ч",,,1 days 20:40:00,2680.0,621.0,10,0.011734028683181226
