CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
3,12647876,2023-01-01 07:11:00,Северная,"СЕВ, ШЧ-18",,,,Неисправность элементов трансмиттеров аппаратуры рельсовых цепей,CSH,2023,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0
3,12649559,2023-01-03 15:10:00,Северная,"СЕВ, ШЧ-18",,,,Обрыв жил сигнально-блокировочного металлического кабеля кабельной сети АБ,CSH,2023,,,,,,,2 days 07:59:00,3359.0,3359.0,2,0.002688172043010753
3,12649767,2023-01-04 02:31:00,Северная,"СЕВ, ШЧ-4",,,,Другие неисправности элементов защитного блока аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,,2 days 19:20:00,4040.0,681.0,3,0.005376344086021506
2,12651769,2023-01-05 22:41:00,Северная,"СЕВ, ШЧ-4","1шт 0,27ч",,,Другие неисправности элементов защитного блока аппаратуры АБ,CSH,2023,1.0,"0,27ч",,,,,4 days 15:30:00,6690.0,2650.0,4,0.008064516129032258
3,12651827,2023-01-06 01:12:00,Северная,"СЕВ, ИЧ ИВАНОВО Ш",,,,Пробой элементов блока выпрямителей сопряжения БВС 4Л аппаратуры устройств АБ,CSH,2023,,,,,,,4 days 18:01:00,6841.0,151.0,5,0.010752688172043012
2,12652612,2023-01-06 01:25:00,Северная,"ОКТ, ТЧЭ-22","4шт (к учету 3) 2,33ч",,,Неисправность блока индикации БИЛ-У комплексного локомотивного устройства безопасности,CT,2023,3.0,"2,33ч",,,,,4 days 18:14:00,6854.0,13.0,6,0.013440860215053764
2,12652056,2023-01-06 02:40:00,Северная,"СЕВ, ШЧ-15","1шт 0,93ч",,,Излом штепселя (контактного болта) перемычек,CSH,2023,1.0,"0,93ч",,,,,4 days 19:29:00,6929.0,75.0,7,0.016129032258064516
2,12651947,2023-01-06 04:42:00,Северная,"СЕВ, ШЧ-5 (Р)","2шт 0,6ч",,,Заклинивание подвижных частей трансмиттеров аппаратуры рельсовых цепей,CSH,2023,2.0,"0,6ч",,,,,4 days 21:31:00,7051.0,122.0,8,0.01881720430107527
2,12653992,2023-01-07 14:16:00,Северная,"СЕВ, ШЧ-3","4шт 2,38ч",,,Нарушение изоляции путевого ящика оборудования для размещения аппаратуры рельсовых цепей,CSH,2023,4.0,"2,38ч",,,,,6 days 07:05:00,9065.0,2014.0,9,0.021505376344086023
3,12654356,2023-01-07 19:55:00,Северная,"СЕВ, ШЧ-15",,,,Неисправность контактной системы реле аппаратуры рельсовых цепей,CSH,2023,,,,,,,6 days 12:44:00,9404.0,339.0,10,0.024193548387096774
