CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
3,12648845,2023-01-02 21:30:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-9",,,,Короткое замыкание монтажа путевого ящика для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0
2,12649622,2023-01-03 19:10:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15",,"1шт 0,12ч",,"Загрязнение элементов реле аппаратуры светофоров, указателей и полос",CSH,2023,,,1.0,"0,12ч",,,0 days 21:40:00,1300.0,1300.0,2,0.006896551724137931
2,12650184,2023-01-04 09:10:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)","1шт 0,47ч",,,Механические повреждения сигнально-блокировочного металлического кабеля рельсовых цепей,CSH,2023,1.0,"0,47ч",,,,,1 days 11:40:00,2140.0,840.0,3,0.013793103448275862
2,12655839,2023-01-08 15:10:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)",,"1шт 0,23ч",,Межвитковое замыкание обмотки реле аппаратуры схемы управления стрелкой,CSH,2023,,,1.0,"0,23ч",,,5 days 17:40:00,8260.0,6120.0,4,0.020689655172413793
1,12655979,2023-01-08 16:42:00,Юго-Восточная,"Ю-ВОСТ, ТЧЭ-12",,"2шт 2,53ч","1шт 0,23ч",Прочая неисправность вентиля системы циркуляции воды,CT,2023,,,2.0,"2,53ч",1.0,"0,23ч",5 days 19:12:00,8352.0,92.0,5,0.027586206896551724
3,12657512,2023-01-09 12:12:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-16",,,,Обрыв обмотки реле аппаратуры схемы управления стрелкой,CSH,2023,,,,,,,6 days 14:42:00,9522.0,1170.0,6,0.034482758620689655
2,12659943,2023-01-10 06:20:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)",,,"1шт 0,1ч",Перегорание плавкой вставки (проволоки) предохранителей аппаратуры защиты рельсовых цепей,CSH,2023,,,,,1.0,"0,1ч",7 days 08:50:00,10610.0,1088.0,7,0.041379310344827586
3,12661466,2023-01-10 12:06:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15",,,,Нарушение контакта во внутреннем монтаже СП-6М,CSH,2023,,,,,,,7 days 14:36:00,10956.0,346.0,8,0.04827586206896552
3,12674067,2023-01-15 02:04:00,Юго-Восточная,"С-КАВ, ВЧДЭ-5 БАТАЙСК",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,,12 days 04:34:00,17554.0,6598.0,9,0.05517241379310345
2,12672289,2023-01-15 19:52:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)","1шт 0,52ч",,,Выгорание секций СП-6М,CSH,2023,1.0,"0,52ч",,,,,12 days 22:22:00,18622.0,1068.0,10,0.06206896551724138
2,12673843,2023-01-17 06:20:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-11","1шт 0,33ч",,"1шт 0,13ч",Короткое замыкание (электрический пробой) элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,1.0,"0,33ч",,,1.0,"0,13ч",14 days 08:50:00,20690.0,2068.0,11,0.06896551724137931
2,12675206,2023-01-18 06:58:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15","1шт 0,37ч",,,Залипание якоря реле аппаратуры рельсовых цепей,CSH,2023,1.0,"0,37ч",,,,,15 days 09:28:00,22168.0,1478.0,12,0.07586206896551724
3,12676635,2023-01-19 05:58:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-16",,,,Закорачивание РЦ,CSH,2023,,,,,,,16 days 08:28:00,23548.0,1380.0,13,0.08275862068965517
3,12676913,2023-01-19 08:56:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)",,,,Обрыв плавкой вставки (проволоки) предохранителей аппаратуры защиты постовых устройств ЭЦ,CSH,2023,,,,,,,16 days 11:26:00,23726.0,178.0,14,0.0896551724137931
3,12683256,2023-01-24 16:15:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-11",,,,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,,,,,,,21 days 18:45:00,31365.0,7639.0,15,0.09655172413793103
2,12683447,2023-01-24 23:57:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-7",,"2шт 0,38ч",,Обрыв жил сигнально-блокировочного металлического кабеля кабельной сети АБ,CSH,2023,,,2.0,"0,38ч",,,22 days 02:27:00,31827.0,462.0,16,0.10344827586206896
3,12684895,2023-01-25 16:18:00,Юго-Восточная,"МОСК, ТЧЭ-36",,,,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",CT,2023,,,,,,,22 days 18:48:00,32808.0,981.0,17,0.1103448275862069
3,12694696,2023-01-30 13:10:00,Юго-Восточная,"Ю-ВОСТ, ВЧДЭ-6 КОЧЕТОВКА",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,,27 days 15:40:00,39820.0,7012.0,18,0.11724137931034483
2,12694211,2023-02-03 01:32:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15",,"2шт 0,37ч",,Нарушение контакта в штепсельном разъеме реле аппаратуры рельсовых цепей,CSH,2023,,,2.0,"0,37ч",,,31 days 04:02:00,44882.0,5062.0,19,0.12413793103448276
3,12699393,2023-02-04 06:00:00,Юго-Восточная,"С-КАВ, ВЧДЭ-5 БАТАЙСК",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,,32 days 08:30:00,46590.0,1708.0,20,0.1310344827586207
3,12699242,2023-02-07 06:05:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)",,,,Механическое заедание элементов пульта-табло постовых устройств ЭЦ,CSH,2023,,,,,,,35 days 08:35:00,50915.0,4325.0,21,0.13793103448275862
3,12703801,2023-02-09 01:59:00,Юго-Восточная,"Ю-ВОСТ, ВЧДЭ-6 КОЧЕТОВКА",,,,Неисправность поглощающего аппарата автосцепки грузового вагона,CV,2023,,,,,,,37 days 04:29:00,53549.0,2634.0,22,0.14482758620689656
2,12708040,2023-02-11 19:55:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)","1шт 0,2ч","1шт 0,18ч",,Сваривание контактов реле аппаратуры АБ,CSH,2023,1.0,"0,2ч",1.0,"0,18ч",,,39 days 22:25:00,57505.0,3956.0,23,0.15172413793103448
3,12708983,2023-02-13 05:52:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-16",,,,Нарушение контакта в разъеме блока элементов аппаратуры АБ,CSH,2023,,,,,,,41 days 08:22:00,59542.0,2037.0,24,0.15862068965517243
3,12713623,2023-02-16 02:09:00,Юго-Восточная,"МОСК, ТЧЭ-36",,,,"Прочая неисправность провода, кабеля низковольтных цепей и цепей управления",CT,2023,,,,,,,44 days 04:39:00,63639.0,4097.0,25,0.16551724137931034
2,12713993,2023-02-16 12:55:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15","2шт 1,08ч",,,Нарушение электрического контакта в штепсельных разъемах релейных блоков аппаратуры постовых устройств ЭЦ,CSH,2023,2.0,"1,08ч",,,,,44 days 15:25:00,64285.0,646.0,26,0.1724137931034483
3,12714423,2023-02-17 01:11:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,,45 days 03:41:00,65021.0,736.0,27,0.1793103448275862
2,12716610,2023-02-19 15:19:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)",,"1шт 0,1ч",,Разрегулировка контактов элементов пульта-табло постовых устройств ЭЦ,CSH,2023,,,1.0,"0,1ч",,,47 days 17:49:00,68749.0,3728.0,28,0.18620689655172415
3,12720499,2023-02-23 06:30:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-9",,,,Короткое замыкание секций СП-6М,CSH,2023,,,,,,,51 days 09:00:00,73980.0,5231.0,29,0.19310344827586207
2,12720639,2023-02-23 08:34:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)",,,"1шт 0,2ч",Повреждение контактной системы реле дешифраторной ячейки аппаратуры АБ,CSH,2023,,,,,1.0,"0,2ч",51 days 11:04:00,74104.0,124.0,30,0.2
3,12721291,2023-02-23 18:26:00,Юго-Восточная,"Ю-ВОСТ, ВЧДЭ-2 ЛИСКИ",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,,51 days 20:56:00,74696.0,592.0,31,0.20689655172413793
2,12721285,2023-02-24 08:57:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)","2шт 0,83ч",,,Излом элементов реле аппаратуры АБ,CSH,2023,2.0,"0,83ч",,,,,52 days 11:27:00,75567.0,871.0,32,0.21379310344827587
3,12726272,2023-02-27 11:15:00,Юго-Восточная,"Ю-ВОСТ, ВЧДЭ-3 СТОЙЛЕНСКАЯ",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,,55 days 13:45:00,80025.0,4458.0,33,0.2206896551724138
2,12724249,2023-02-28 07:30:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)",,,"2шт 0,35ч",Неисправность элементов выпрямительных устройств аппаратуры электропитания рельсовых цепей,CSH,2023,,,,,2.0,"0,35ч",56 days 10:00:00,81240.0,1215.0,34,0.22758620689655173
3,12730414,2023-02-28 13:15:00,Юго-Восточная,"Ю-ВОСТ, ВЧДЭ-6 КОЧЕТОВКА",,,,Выщербина на ободе колеса грузового вагона,CV,2023,,,,,,,56 days 15:45:00,81585.0,345.0,35,0.23448275862068965
3,12773410,2023-03-01 07:32:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)","1шт 0,08ч",,,Перегорание лампы линзового светофора,CSH,2023,1.0,"0,08ч",,,,,57 days 10:02:00,82682.0,1097.0,36,0.2413793103448276
3,12729034,2023-03-01 20:57:00,Юго-Восточная,"ПРИВ, ШЧ-7 (Э)",,,,Неисправность светодиодного модуля светофора,CSH,2023,,,,,,,57 days 23:27:00,83487.0,805.0,37,0.2482758620689655
2,12730156,2023-03-04 02:40:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)","2шт 0,37ч","6шт 1,75ч","2шт 0,23ч",Заедание элементов реле аппаратуры схемы управления стрелкой,CSH,2023,2.0,"0,37ч",6.0,"1,75ч",2.0,"0,23ч",60 days 05:10:00,86710.0,3223.0,38,0.25517241379310346
2,12732652,2023-03-06 13:47:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-7","2шт 0,9ч","1шт 0,18ч",,Неисправность УКСПС из-за потери контакта в соединениях датчика,CSH,2023,2.0,"0,9ч",1.0,"0,18ч",,,62 days 16:17:00,90257.0,3547.0,39,0.2620689655172414
