CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
3,12647885,2023-01-01 08:07:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,,Заклинивание деталей СП-6М,CSH,2023,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0
3,12648451,2023-01-01 13:21:00,Южно-Уральская,"С-КАВ, ВЧДЭ-5 БАТАЙСК",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,,0 days 05:14:00,314.0,314.0,2,0.0027247956403269754
3,12650965,2023-01-04 04:11:00,Южно-Уральская,"З-СИБ, ВЧДЭ-12 ВХОДНАЯ",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,,2 days 20:04:00,4084.0,3770.0,3,0.005449591280653951
3,12657581,2023-01-06 13:00:00,Южно-Уральская,"Ю-УР, ИЧ Ю-УР Ш",,,,Перегорание лампы линзового светофора устройств ПАБ,CSH,2023,,,,,,,5 days 04:53:00,7493.0,3409.0,4,0.008174386920980926
3,12658197,2023-01-06 16:40:00,Южно-Уральская,"Ю-УР, ШЧ-4 (Э)",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,,5 days 08:33:00,7713.0,220.0,5,0.010899182561307902
3,12655545,2023-01-07 22:15:00,Южно-Уральская,"С-КАВ, ВЧДЗ-13 КРАСНОДАР",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,,,,,,,6 days 14:08:00,9488.0,1775.0,6,0.013623978201634877
3,12655353,2023-01-08 09:17:00,Южно-Уральская,"Ю-УР, ИЧ Ю-УР Ш",,,,Нарушение изоляции шкафов для размещения устройств ПАБ,CSH,2023,,,,,,,7 days 01:10:00,10150.0,662.0,7,0.01634877384196185
3,12660435,2023-01-08 14:10:00,Южно-Уральская,"З-СИБ, ВЧДЭ-6 ИНСКАЯ",,,,Выщербина на ободе колеса грузового вагона,CV,2023,,,,,,,7 days 06:03:00,10443.0,293.0,8,0.01907356948228883
2,12657522,2023-01-09 11:26:00,Южно-Уральская,"Ю-УР, ВЧДЭ-2 ОРЕНБУРГ","1шт 0,75ч",,,Неисправность воздухораспределителя грузового вагона,CV,2023,1.0,"0,75ч",,,,,8 days 03:19:00,11719.0,1276.0,9,0.021798365122615803
3,12663407,2023-01-11 09:18:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,,Другие неисправности элементов релейных блоков аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,,10 days 01:11:00,14471.0,2752.0,10,0.02452316076294278
