CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
1,2023-01-01 19:38:00,Дальневосточная,CSH,2023,0 days 00:00:00,0.0,0.0,0.0
1,2023-01-02 16:10:00,Дальневосточная,CSH,2023,0 days 20:32:00,1232.0,1232.0,0.002457002457002457
1,2023-01-02 18:09:00,Забайкальская,CSH,2023,0 days 22:31:00,1351.0,119.0,0.004914004914004914
1,2023-01-04 15:10:00,Октябрьская,CSH,2023,2 days 19:32:00,4052.0,2701.0,0.007371007371007371
1,2023-01-06 06:45:00,Забайкальская,CSH,2023,4 days 11:07:00,6427.0,2375.0,0.009828009828009828
1,2023-01-06 15:17:00,Свердловская,CSH,2023,4 days 19:39:00,6939.0,512.0,0.012285012285012284
1,2023-01-07 04:04:00,Восточно-Сибирская,CSH,2023,5 days 08:26:00,7706.0,767.0,0.014742014742014743
1,2023-01-08 07:28:00,Забайкальская,CSH,2023,6 days 11:50:00,9350.0,1644.0,0.0171990171990172
1,2023-01-08 19:05:00,Красноярская,CSH,2023,6 days 23:27:00,10047.0,697.0,0.019656019656019656
1,2023-01-08 21:40:00,Северная,CSH,2023,7 days 02:02:00,10202.0,155.0,0.022113022113022112
1,2023-01-09 01:26:00,Красноярская,CSH,2023,7 days 05:48:00,10428.0,226.0,0.02457002457002457
1,2023-01-10 20:25:00,Московская,CSH,2023,9 days 00:47:00,13007.0,2579.0,0.02702702702702703
1,2023-01-14 18:12:00,Северная,CSH,2023,12 days 22:34:00,18634.0,5627.0,0.029484029484029485
1,2023-01-15 18:34:00,Московская,CSH,2023,13 days 22:56:00,20096.0,1462.0,0.03194103194103194
1,2023-01-17 17:50:00,Московская,CSH,2023,15 days 22:12:00,22932.0,2836.0,0.0343980343980344
1,2023-01-18 02:31:00,Московская,CSH,2023,16 days 06:53:00,23453.0,521.0,0.036855036855036855
1,2023-01-19 21:10:00,Забайкальская,CSH,2023,18 days 01:32:00,26012.0,2559.0,0.03931203931203931
1,2023-01-19 21:19:00,Западно-Сибирская,CSH,2023,18 days 01:41:00,26021.0,9.0,0.04176904176904177
1,2023-01-22 19:50:00,Дальневосточная,CSH,2023,21 days 00:12:00,30252.0,4231.0,0.044226044226044224
