CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
3,2024-01-01 05:45:00,Октябрьская,CSH,2024,0 days 00:00:00,0.0,0.0,0.0
2,2024-01-01 21:14:00,Октябрьская,CSH,2024,0 days 15:29:00,929.0,929.0,0.0006451612903225806
2,2024-01-02 07:27:00,Октябрьская,CSH,2024,1 days 01:42:00,1542.0,613.0,0.0012903225806451613
3,2024-01-02 15:45:00,Октябрьская,CSH,2024,1 days 10:00:00,2040.0,498.0,0.001935483870967742
2,2024-01-02 17:27:00,Октябрьская,CSH,2024,1 days 11:42:00,2142.0,102.0,0.0025806451612903226
3,2024-01-02 21:40:00,Октябрьская,CSH,2024,1 days 15:55:00,2395.0,253.0,0.0032258064516129032
3,2024-01-03 08:59:00,Октябрьская,CSH,2024,2 days 03:14:00,3074.0,679.0,0.003870967741935484
3,2024-01-03 16:45:00,Октябрьская,CSH,2024,2 days 11:00:00,3540.0,466.0,0.004516129032258065
2,2024-01-04 11:39:00,Октябрьская,CSH,2024,3 days 05:54:00,4674.0,1134.0,0.005161290322580645
3,2024-01-04 14:20:00,Октябрьская,CSH,2024,3 days 08:35:00,4835.0,161.0,0.005806451612903226
2,2024-01-04 16:32:00,Октябрьская,CSH,2024,3 days 10:47:00,4967.0,132.0,0.0064516129032258064
3,2024-01-04 16:50:00,Октябрьская,CSH,2024,3 days 11:05:00,4985.0,18.0,0.0070967741935483875
3,2024-01-04 17:40:00,Октябрьская,CSH,2024,3 days 11:55:00,5035.0,50.0,0.007741935483870968
3,2024-01-05 04:05:00,Октябрьская,CSH,2024,3 days 22:20:00,5660.0,625.0,0.008387096774193548
3,2024-01-05 07:00:00,Октябрьская,CSH,2024,4 days 01:15:00,5835.0,175.0,0.00903225806451613
3,2024-01-06 01:12:00,Октябрьская,CSH,2024,4 days 19:27:00,6927.0,1092.0,0.00967741935483871
3,2024-01-06 04:33:00,Октябрьская,CSH,2024,4 days 22:48:00,7128.0,201.0,0.01032258064516129
3,2024-01-06 06:24:00,Октябрьская,CSH,2024,5 days 00:39:00,7239.0,111.0,0.01096774193548387
3,2024-01-06 14:57:00,Октябрьская,CSH,2024,5 days 09:12:00,7752.0,513.0,0.011612903225806452
2,2024-01-06 15:55:00,Октябрьская,CSH,2024,5 days 10:10:00,7810.0,58.0,0.012258064516129033
2,2024-01-06 17:10:00,Октябрьская,CSH,2024,5 days 11:25:00,7885.0,75.0,0.012903225806451613
3,2024-01-06 17:38:00,Октябрьская,CSH,2024,5 days 11:53:00,7913.0,28.0,0.013548387096774193
