CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
1,2023-01-02 18:00:00,Октябрьская,CT,2023,0 days 00:00:00,0.0,0.0,0.0
1,2023-01-13 05:25:00,Красноярская,CT,2023,10 days 11:25:00,15085.0,15085.0,0.0125
1,2023-01-19 23:01:00,Октябрьская,CT,2023,17 days 05:01:00,24781.0,9696.0,0.025
1,2023-01-20 00:33:00,Забайкальская,CT,2023,17 days 06:33:00,24873.0,92.0,0.0375
1,2023-01-21 03:52:00,Октябрьская,CT,2023,18 days 09:52:00,26512.0,1639.0,0.05
1,2023-01-21 22:14:00,Западно-Сибирская,CT,2023,19 days 04:14:00,27614.0,1102.0,0.0625
1,2023-01-24 18:50:00,Свердловская,CT,2023,22 days 00:50:00,31730.0,4116.0,0.075
1,2023-01-25 21:50:00,Северо-Кавказская,CT,2023,23 days 03:50:00,33350.0,1620.0,0.0875
1,2023-01-31 18:20:00,Октябрьская,CT,2023,29 days 00:20:00,41780.0,8430.0,0.1
1,2023-02-01 11:05:00,Красноярская,CT,2023,29 days 17:05:00,42785.0,1005.0,0.1125
1,2023-02-02 10:00:00,Восточно-Сибирская,CT,2023,30 days 16:00:00,44160.0,1375.0,0.125
1,2023-02-13 11:10:00,Октябрьская,CT,2023,41 days 17:10:00,60070.0,15910.0,0.1375
1,2023-02-14 04:46:00,Октябрьская,CT,2023,42 days 10:46:00,61126.0,1056.0,0.15
1,2023-02-17 04:05:00,Октябрьская,CT,2023,45 days 10:05:00,65405.0,4279.0,0.1625
1,2023-02-28 06:25:00,Октябрьская,CT,2023,56 days 12:25:00,81385.0,15980.0,0.175
1,2023-02-28 23:20:00,Октябрьская,CT,2023,57 days 05:20:00,82400.0,1015.0,0.1875
1,2023-03-05 21:10:00,Северо-Кавказская,CT,2023,62 days 03:10:00,89470.0,7070.0,0.2
1,2023-03-07 07:49:00,Восточно-Сибирская,CT,2023,63 days 13:49:00,91549.0,2079.0,0.2125
1,2023-03-08 23:41:00,Октябрьская,CT,2023,65 days 05:41:00,93941.0,2392.0,0.225
1,2023-03-17 00:27:00,Московская,CT,2023,73 days 06:27:00,105507.0,11566.0,0.2375
1,2023-03-24 09:00:00,Куйбышевская,CT,2023,80 days 15:00:00,116100.0,10593.0,0.25
1,2023-03-25 22:10:00,Западно-Сибирская,CT,2023,82 days 04:10:00,118330.0,2230.0,0.2625
1,2023-03-29 06:10:00,Северо-Кавказская,CT,2023,85 days 12:10:00,123130.0,4800.0,0.275
1,2023-03-30 17:56:00,Северо-Кавказская,CT,2023,86 days 23:56:00,125276.0,2146.0,0.2875
1,2023-04-04 09:40:00,Куйбышевская,CT,2023,91 days 15:40:00,131980.0,6704.0,0.3
1,2023-04-10 19:15:00,Забайкальская,CT,2023,98 days 01:15:00,141195.0,9215.0,0.3125
1,2023-05-03 05:26:00,Свердловская,CT,2023,120 days 11:26:00,173486.0,32291.0,0.325
1,2023-05-04 15:40:00,Северо-Кавказская,CT,2023,121 days 21:40:00,175540.0,2054.0,0.3375
1,2023-05-06 22:50:00,Северо-Кавказская,CT,2023,124 days 04:50:00,178850.0,3310.0,0.35
1,2023-05-07 00:34:00,Октябрьская,CT,2023,124 days 06:34:00,178954.0,104.0,0.3625
1,2023-05-29 18:53:00,Восточно-Сибирская,CT,2023,147 days 00:53:00,211733.0,32779.0,0.375
1,2023-05-31 17:22:00,Дальневосточная,CT,2023,148 days 23:22:00,214522.0,2789.0,0.3875
1,2023-06-01 00:20:00,Октябрьская,CT,2023,149 days 06:20:00,214940.0,418.0,0.4
1,2023-06-14 00:10:00,Северо-Кавказская,CT,2023,162 days 06:10:00,233650.0,18710.0,0.4125
1,2023-06-16 15:20:00,Красноярская,CT,2023,164 days 21:20:00,237440.0,3790.0,0.425
1,2023-06-19 20:27:00,Забайкальская,CT,2023,168 days 02:27:00,242067.0,4627.0,0.4375
1,2023-06-25 01:12:00,Красноярская,CT,2023,173 days 07:12:00,249552.0,7485.0,0.45
1,2023-06-25 20:08:00,Восточно-Сибирская,CT,2023,174 days 02:08:00,250688.0,1136.0,0.4625
1,2023-06-26 04:43:00,Северо-Кавказская,CT,2023,174 days 10:43:00,251203.0,515.0,0.475
1,2023-06-26 23:20:00,Северо-Кавказская,CT,2023,175 days 05:20:00,252320.0,1117.0,0.4875
1,2023-07-01 21:35:00,Октябрьская,CT,2023,180 days 03:35:00,259415.0,7095.0,0.5
1,2023-07-02 06:51:00,Северо-Кавказская,CT,2023,180 days 12:51:00,259971.0,556.0,0.5125
1,2023-07-02 10:50:00,Октябрьская,CT,2023,180 days 16:50:00,260210.0,239.0,0.525
1,2023-07-02 21:10:00,Красноярская,CT,2023,181 days 03:10:00,260830.0,620.0,0.5375
1,2023-07-15 04:25:00,Октябрьская,CT,2023,193 days 10:25:00,278545.0,17715.0,0.55
1,2023-07-20 09:14:00,Свердловская,CT,2023,198 days 15:14:00,286034.0,7489.0,0.5625
1,2023-07-20 10:42:00,Забайкальская,CT,2023,198 days 16:42:00,286122.0,88.0,0.575
1,2023-07-20 22:27:00,Октябрьская,CT,2023,199 days 04:27:00,286827.0,705.0,0.5875
1,2023-07-29 08:13:00,Октябрьская,CT,2023,207 days 14:13:00,298933.0,12106.0,0.6
1,2023-07-29 10:08:00,Октябрьская,CT,2023,207 days 16:08:00,299048.0,115.0,0.6125
1,2023-07-30 10:33:00,Забайкальская,CT,2023,208 days 16:33:00,300513.0,1465.0,0.625
1,2023-08-01 16:42:00,Юго-Восточная,CT,2023,210 days 22:42:00,303762.0,3249.0,0.6375
1,2023-08-01 20:03:00,Северо-Кавказская,CT,2023,211 days 02:03:00,303963.0,201.0,0.65
1,2023-08-03 09:10:00,Горьковская,CT,2023,212 days 15:10:00,306190.0,2227.0,0.6625
1,2023-08-09 06:50:00,Забайкальская,CT,2023,218 days 12:50:00,314690.0,8500.0,0.675
1,2023-08-14 13:58:00,Южно-Уральская,CT,2023,223 days 19:58:00,322318.0,7628.0,0.6875
1,2023-08-15 16:35:00,Октябрьская,CT,2023,224 days 22:35:00,323915.0,1597.0,0.7
1,2023-08-22 13:42:00,Забайкальская,CT,2023,231 days 19:42:00,333822.0,9907.0,0.7125
1,2023-08-22 20:50:00,Забайкальская,CT,2023,232 days 02:50:00,334250.0,428.0,0.725
1,2023-08-23 06:41:00,Северо-Кавказская,CT,2023,232 days 12:41:00,334841.0,591.0,0.7375
1,2023-09-01 05:40:00,Северо-Кавказская,CT,2023,241 days 11:40:00,347740.0,12899.0,0.75
1,2023-09-01 09:02:00,Дальневосточная,CT,2023,241 days 15:02:00,347942.0,202.0,0.7625
1,2023-09-06 22:51:00,Северо-Кавказская,CT,2023,247 days 04:51:00,355971.0,8029.0,0.775
1,2023-09-08 18:57:00,Красноярская,CT,2023,249 days 00:57:00,358617.0,2646.0,0.7875
1,2023-09-15 19:00:00,Восточно-Сибирская,CT,2023,256 days 01:00:00,368700.0,10083.0,0.8
1,2023-09-16 14:49:00,Горьковская,CT,2023,256 days 20:49:00,369889.0,1189.0,0.8125
1,2023-09-21 08:00:00,Свердловская,CT,2023,261 days 14:00:00,376680.0,6791.0,0.825
1,2023-09-27 21:06:00,Октябрьская,CT,2023,268 days 03:06:00,386106.0,9426.0,0.8375
1,2023-09-30 03:40:00,Западно-Сибирская,CT,2023,270 days 09:40:00,389380.0,3274.0,0.85
1,2023-09-30 07:32:00,Восточно-Сибирская,CT,2023,270 days 13:32:00,389612.0,232.0,0.8625
1,2023-10-01 23:20:00,Забайкальская,CT,2023,272 days 05:20:00,392000.0,2388.0,0.875
1,2023-10-03 08:47:00,Северо-Кавказская,CT,2023,273 days 14:47:00,394007.0,2007.0,0.8875
1,2023-10-09 14:50:00,Дальневосточная,CT,2023,279 days 20:50:00,403010.0,9003.0,0.9
1,2023-10-17 01:00:00,Горьковская,CT,2023,287 days 07:00:00,413700.0,10690.0,0.9125
1,2023-10-26 00:19:00,Дальневосточная,CT,2023,296 days 06:19:00,426619.0,12919.0,0.925
1,2023-10-30 16:00:00,Северо-Кавказская,CT,2023,300 days 22:00:00,433320.0,6701.0,0.9375
1,2023-11-03 20:35:00,Северо-Кавказская,CT,2023,305 days 02:35:00,439355.0,6035.0,0.95
1,2023-11-04 15:43:00,Октябрьская,CT,2023,305 days 21:43:00,440503.0,1148.0,0.9625
1,2023-12-02 03:30:00,Восточно-Сибирская,CT,2023,333 days 09:30:00,480090.0,39587.0,0.975
1,2023-12-07 09:50:00,Свердловская,CT,2023,338 days 15:50:00,487670.0,7580.0,0.9875
