CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
1,2024-01-03 04:11:00,Забайкальская,CV,2024,0 days 00:00:00,0.0,0.0,0.0
1,2024-01-08 11:05:00,Забайкальская,CV,2024,5 days 06:54:00,7614.0,7614.0,0.007042253521126761
1,2024-01-18 08:25:00,Октябрьская,CV,2024,15 days 04:14:00,21854.0,14240.0,0.014084507042253521
1,2024-01-30 17:37:00,Забайкальская,CV,2024,27 days 13:26:00,39686.0,17832.0,0.02112676056338028
1,2024-01-31 00:55:00,Восточно-Сибирская,CV,2024,27 days 20:44:00,40124.0,438.0,0.028169014084507043
1,2024-01-31 09:05:00,Дальневосточная,CV,2024,28 days 04:54:00,40614.0,490.0,0.035211267605633804
1,2024-01-31 13:01:00,Северная,CV,2024,28 days 08:50:00,40850.0,236.0,0.04225352112676056
1,2024-02-02 00:08:00,Свердловская,CV,2024,29 days 19:57:00,42957.0,2107.0,0.04929577464788732
1,2024-02-02 21:21:00,Дальневосточная,CV,2024,30 days 17:10:00,44230.0,1273.0,0.056338028169014086
1,2024-02-07 11:08:00,Западно-Сибирская,CV,2024,35 days 06:57:00,50817.0,6587.0,0.06338028169014084
1,2024-02-13 16:58:00,Забайкальская,CV,2024,41 days 12:47:00,59807.0,8990.0,0.07042253521126761
1,2024-02-15 04:55:00,Забайкальская,CV,2024,43 days 00:44:00,61964.0,2157.0,0.07746478873239436
1,2024-02-20 03:10:00,Дальневосточная,CV,2024,47 days 22:59:00,69059.0,7095.0,0.08450704225352113
1,2024-02-20 10:30:00,Дальневосточная,CV,2024,48 days 06:19:00,69499.0,440.0,0.09154929577464789
1,2024-02-22 00:41:00,Дальневосточная,CV,2024,49 days 20:30:00,71790.0,2291.0,0.09859154929577464
1,2024-02-22 22:14:00,Северная,CV,2024,50 days 18:03:00,73083.0,1293.0,0.1056338028169014
1,2024-02-23 00:07:00,Забайкальская,CV,2024,50 days 19:56:00,73196.0,113.0,0.11267605633802817
1,2024-02-24 01:30:00,Забайкальская,CV,2024,51 days 21:19:00,74719.0,1523.0,0.11971830985915492
1,2024-02-24 09:29:00,Западно-Сибирская,CV,2024,52 days 05:18:00,75198.0,479.0,0.1267605633802817
1,2024-02-24 12:59:00,Забайкальская,CV,2024,52 days 08:48:00,75408.0,210.0,0.13380281690140844
1,2024-02-25 16:28:00,Забайкальская,CV,2024,53 days 12:17:00,77057.0,1649.0,0.14084507042253522
1,2024-02-25 22:57:00,Забайкальская,CV,2024,53 days 18:46:00,77446.0,389.0,0.14788732394366197
1,2024-02-26 04:22:00,Октябрьская,CV,2024,54 days 00:11:00,77771.0,325.0,0.15492957746478872
1,2024-02-27 01:09:00,Забайкальская,CV,2024,54 days 20:58:00,79018.0,1247.0,0.1619718309859155
1,2024-02-27 22:55:00,Забайкальская,CV,2024,55 days 18:44:00,80324.0,1306.0,0.16901408450704225
1,2024-03-03 15:38:00,Забайкальская,CV,2024,60 days 11:27:00,87087.0,6763.0,0.176056338028169
1,2024-03-09 06:40:00,Западно-Сибирская,CV,2024,66 days 02:29:00,95189.0,8102.0,0.18309859154929578
1,2024-03-12 04:43:00,Восточно-Сибирская,CV,2024,69 days 00:32:00,99392.0,4203.0,0.19014084507042253
1,2024-03-14 05:03:00,Северная,CV,2024,71 days 00:52:00,102292.0,2900.0,0.19718309859154928
1,2024-03-16 20:06:00,Забайкальская,CV,2024,73 days 15:55:00,106075.0,3783.0,0.20422535211267606
1,2024-03-20 02:40:00,Забайкальская,CV,2024,76 days 22:29:00,110789.0,4714.0,0.2112676056338028
