CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
3,2023-01-01 15:20:00,Октябрьская,CSH,2023,0 days 00:00:00,0.0,0.0,0.0
2,2023-01-01 18:05:00,Октябрьская,CSH,2023,0 days 02:45:00,165.0,165.0,0.00037397157816005983
3,2023-01-02 07:14:00,Октябрьская,CSH,2023,0 days 15:54:00,954.0,789.0,0.0007479431563201197
3,2023-01-02 12:00:00,Октябрьская,CSH,2023,0 days 20:40:00,1240.0,286.0,0.0011219147344801795
3,2023-01-02 15:42:00,Октябрьская,CSH,2023,1 days 00:22:00,1462.0,222.0,0.0014958863126402393
3,2023-01-03 07:24:00,Октябрьская,CSH,2023,1 days 16:04:00,2404.0,942.0,0.0018698578908002991
2,2023-01-03 07:50:00,Октябрьская,CSH,2023,1 days 16:30:00,2430.0,26.0,0.002243829468960359
3,2023-01-03 08:32:00,Октябрьская,CSH,2023,1 days 17:12:00,2472.0,42.0,0.002617801047120419
3,2023-01-03 17:30:00,Октябрьская,CSH,2023,2 days 02:10:00,3010.0,538.0,0.0029917726252804786
3,2023-01-04 10:52:00,Октябрьская,CSH,2023,2 days 19:32:00,4052.0,1042.0,0.0033657442034405387
1,2023-01-04 15:10:00,Октябрьская,CSH,2023,2 days 23:50:00,4310.0,258.0,0.0037397157816005983
2,2023-01-05 03:22:00,Октябрьская,CSH,2023,3 days 12:02:00,5042.0,732.0,0.004113687359760658
3,2023-01-05 04:13:00,Октябрьская,CSH,2023,3 days 12:53:00,5093.0,51.0,0.004487658937920718
3,2023-01-05 05:02:00,Октябрьская,CSH,2023,3 days 13:42:00,5142.0,49.0,0.0048616305160807775
2,2023-01-05 08:05:00,Октябрьская,CSH,2023,3 days 16:45:00,5325.0,183.0,0.005235602094240838
2,2023-01-05 09:51:00,Октябрьская,CSH,2023,3 days 18:31:00,5431.0,106.0,0.005609573672400898
3,2023-01-06 05:40:00,Октябрьская,CSH,2023,4 days 14:20:00,6620.0,1189.0,0.005983545250560957
3,2023-01-06 12:13:00,Октябрьская,CSH,2023,4 days 20:53:00,7013.0,393.0,0.006357516828721017
3,2023-01-06 13:35:00,Октябрьская,CSH,2023,4 days 22:15:00,7095.0,82.0,0.006731488406881077
2,2023-01-06 15:01:00,Октябрьская,CSH,2023,4 days 23:41:00,7181.0,86.0,0.007105459985041137
3,2023-01-06 16:50:00,Октябрьская,CSH,2023,5 days 01:30:00,7290.0,109.0,0.0074794315632011965
3,2023-01-07 08:44:00,Октябрьская,CSH,2023,5 days 17:24:00,8244.0,954.0,0.007853403141361256
2,2023-01-07 15:01:00,Октябрьская,CSH,2023,5 days 23:41:00,8621.0,377.0,0.008227374719521317
2,2023-01-07 17:08:00,Октябрьская,CSH,2023,6 days 01:48:00,8748.0,127.0,0.008601346297681375
3,2023-01-07 18:40:00,Октябрьская,CSH,2023,6 days 03:20:00,8840.0,92.0,0.008975317875841436
3,2023-01-07 22:11:00,Октябрьская,CSH,2023,6 days 06:51:00,9051.0,211.0,0.009349289454001496
2,2023-01-08 02:35:00,Октябрьская,CSH,2023,6 days 11:15:00,9315.0,264.0,0.009723261032161555
2,2023-01-08 05:00:00,Октябрьская,CSH,2023,6 days 13:40:00,9460.0,145.0,0.010097232610321616
2,2023-01-08 07:14:00,Октябрьская,CSH,2023,6 days 15:54:00,9594.0,134.0,0.010471204188481676
3,2023-01-08 08:40:00,Октябрьская,CSH,2023,6 days 17:20:00,9680.0,86.0,0.010845175766641735
3,2023-01-08 10:50:00,Октябрьская,CSH,2023,6 days 19:30:00,9810.0,130.0,0.011219147344801795
3,2023-01-08 22:00:00,Октябрьская,CSH,2023,7 days 06:40:00,10480.0,670.0,0.011593118922961856
3,2023-01-09 05:00:00,Октябрьская,CSH,2023,7 days 13:40:00,10900.0,420.0,0.011967090501121914
2,2023-01-09 05:04:00,Октябрьская,CSH,2023,7 days 13:44:00,10904.0,4.0,0.012341062079281975
3,2023-01-09 08:55:00,Октябрьская,CSH,2023,7 days 17:35:00,11135.0,231.0,0.012715033657442034
2,2023-01-09 19:57:00,Октябрьская,CSH,2023,8 days 04:37:00,11797.0,662.0,0.013089005235602094
2,2023-01-13 14:30:00,Октябрьская,CSH,2023,11 days 23:10:00,17230.0,5433.0,0.013462976813762155
2,2023-01-13 15:08:00,Октябрьская,CSH,2023,11 days 23:48:00,17268.0,38.0,0.013836948391922213
3,2023-01-13 18:20:00,Октябрьская,CSH,2023,12 days 03:00:00,17460.0,192.0,0.014210919970082274
2,2023-01-13 21:34:00,Октябрьская,CSH,2023,12 days 06:14:00,17654.0,194.0,0.014584891548242334
2,2023-01-14 02:26:00,Октябрьская,CSH,2023,12 days 11:06:00,17946.0,292.0,0.014958863126402393
3,2023-01-15 16:44:00,Октябрьская,CSH,2023,14 days 01:24:00,20244.0,2298.0,0.015332834704562454
3,2023-01-15 18:05:00,Октябрьская,CSH,2023,14 days 02:45:00,20325.0,81.0,0.015706806282722512
2,2023-01-16 17:14:00,Октябрьская,CSH,2023,15 days 01:54:00,21714.0,1389.0,0.016080777860882575
3,2023-01-16 21:41:00,Октябрьская,CSH,2023,15 days 06:21:00,21981.0,267.0,0.016454749439042633
2,2023-01-17 00:11:00,Октябрьская,CSH,2023,15 days 08:51:00,22131.0,150.0,0.016828721017202692
2,2023-01-17 08:16:00,Октябрьская,CSH,2023,15 days 16:56:00,22616.0,485.0,0.01720269259536275
2,2023-01-18 06:12:00,Октябрьская,CSH,2023,16 days 14:52:00,23932.0,1316.0,0.017576664173522813
3,2023-01-18 15:20:00,Октябрьская,CSH,2023,17 days 00:00:00,24480.0,548.0,0.01795063575168287
3,2023-01-19 04:50:00,Октябрьская,CSH,2023,17 days 13:30:00,25290.0,810.0,0.01832460732984293
2,2023-01-19 05:48:00,Октябрьская,CSH,2023,17 days 14:28:00,25348.0,58.0,0.018698578908002993
2,2023-01-20 14:59:00,Октябрьская,CSH,2023,18 days 23:39:00,27339.0,1991.0,0.01907255048616305
3,2023-01-20 16:02:00,Октябрьская,CSH,2023,19 days 00:42:00,27402.0,63.0,0.01944652206432311
3,2023-01-20 18:03:00,Октябрьская,CSH,2023,19 days 02:43:00,27523.0,121.0,0.019820493642483172
2,2023-01-22 06:20:00,Октябрьская,CSH,2023,20 days 15:00:00,29700.0,2177.0,0.02019446522064323
3,2023-01-22 08:03:00,Октябрьская,CSH,2023,20 days 16:43:00,29803.0,103.0,0.02056843679880329
2,2023-01-23 02:38:00,Октябрьская,CSH,2023,21 days 11:18:00,30918.0,1115.0,0.020942408376963352
3,2023-01-23 14:49:00,Октябрьская,CSH,2023,21 days 23:29:00,31649.0,731.0,0.02131637995512341
3,2023-01-23 20:23:00,Октябрьская,CSH,2023,22 days 05:03:00,31983.0,334.0,0.02169035153328347
2,2023-01-24 01:00:00,Октябрьская,CSH,2023,22 days 09:40:00,32260.0,277.0,0.022064323111443532
3,2023-01-24 10:13:00,Октябрьская,CSH,2023,22 days 18:53:00,32813.0,553.0,0.02243829468960359
3,2023-01-25 02:18:00,Октябрьская,CSH,2023,23 days 10:58:00,33778.0,965.0,0.02281226626776365
3,2023-01-25 16:40:00,Октябрьская,CSH,2023,24 days 01:20:00,34640.0,862.0,0.02318623784592371
