CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
2,2023-01-01 06:41:00,Забайкальская,CV,2023,0 days 00:00:00,0.0,0.0,0.0
2,2023-01-01 07:40:00,Забайкальская,CV,2023,0 days 00:59:00,59.0,59.0,0.00088261253309797
2,2023-01-01 13:10:00,Восточно-Сибирская,CV,2023,0 days 06:29:00,389.0,330.0,0.00176522506619594
2,2023-01-01 16:42:00,Дальневосточная,CV,2023,0 days 10:01:00,601.0,212.0,0.00264783759929391
2,2023-01-01 19:55:00,Забайкальская,CV,2023,0 days 13:14:00,794.0,193.0,0.00353045013239188
2,2023-01-01 22:55:00,Восточно-Сибирская,CV,2023,0 days 16:14:00,974.0,180.0,0.00441306266548985
2,2023-01-02 03:44:00,Восточно-Сибирская,CV,2023,0 days 21:03:00,1263.0,289.0,0.00529567519858782
2,2023-01-02 05:20:00,Дальневосточная,CV,2023,0 days 22:39:00,1359.0,96.0,0.00617828773168579
2,2023-01-02 14:24:00,Восточно-Сибирская,CV,2023,1 days 07:43:00,1903.0,544.0,0.00706090026478376
2,2023-01-03 09:55:00,Восточно-Сибирская,CV,2023,2 days 03:14:00,3074.0,1171.0,0.00794351279788173
2,2023-01-03 20:09:00,Южно-Уральская,CV,2023,2 days 13:28:00,3688.0,614.0,0.0088261253309797
2,2023-01-04 11:21:00,Западно-Сибирская,CV,2023,3 days 04:40:00,4600.0,912.0,0.009708737864077669
2,2023-01-04 13:59:00,Восточно-Сибирская,CV,2023,3 days 07:18:00,4758.0,158.0,0.01059135039717564
2,2023-01-06 09:12:00,Восточно-Сибирская,CV,2023,5 days 02:31:00,7351.0,2593.0,0.01147396293027361
2,2023-01-09 01:00:00,Восточно-Сибирская,CV,2023,7 days 18:19:00,11179.0,3828.0,0.01235657546337158
2,2023-01-10 10:47:00,Восточно-Сибирская,CV,2023,9 days 04:06:00,13206.0,2027.0,0.01323918799646955
2,2023-01-13 02:39:00,Северная,CV,2023,11 days 19:58:00,17038.0,3832.0,0.01412180052956752
2,2023-01-13 04:05:00,Восточно-Сибирская,CV,2023,11 days 21:24:00,17124.0,86.0,0.01500441306266549
2,2023-01-13 05:54:00,Московская,CV,2023,11 days 23:13:00,17233.0,109.0,0.01588702559576346
2,2023-01-13 08:19:00,Восточно-Сибирская,CV,2023,12 days 01:38:00,17378.0,145.0,0.01676963812886143
2,2023-01-13 10:34:00,Дальневосточная,CV,2023,12 days 03:53:00,17513.0,135.0,0.0176522506619594
2,2023-01-13 21:10:00,Восточно-Сибирская,CV,2023,12 days 14:29:00,18149.0,636.0,0.018534863195057368
2,2023-01-14 07:11:00,Восточно-Сибирская,CV,2023,13 days 00:30:00,18750.0,601.0,0.019417475728155338
2,2023-01-14 13:46:00,Восточно-Сибирская,CV,2023,13 days 07:05:00,19145.0,395.0,0.02030008826125331
2,2023-01-14 16:35:00,Восточно-Сибирская,CV,2023,13 days 09:54:00,19314.0,169.0,0.02118270079435128
2,2023-01-15 07:01:00,Восточно-Сибирская,CV,2023,14 days 00:20:00,20180.0,866.0,0.02206531332744925
2,2023-01-15 14:06:00,Свердловская,CV,2023,14 days 07:25:00,20605.0,425.0,0.02294792586054722
2,2023-01-15 15:49:00,Восточно-Сибирская,CV,2023,14 days 09:08:00,20708.0,103.0,0.02383053839364519
2,2023-01-16 02:22:00,Свердловская,CV,2023,14 days 19:41:00,21341.0,633.0,0.02471315092674316
2,2023-01-16 05:55:00,Восточно-Сибирская,CV,2023,14 days 23:14:00,21554.0,213.0,0.02559576345984113
2,2023-01-17 10:38:00,Восточно-Сибирская,CV,2023,16 days 03:57:00,23277.0,1723.0,0.0264783759929391
2,2023-01-17 12:05:00,Дальневосточная,CV,2023,16 days 05:24:00,23364.0,87.0,0.02736098852603707
2,2023-01-18 00:31:00,Восточно-Сибирская,CV,2023,16 days 17:50:00,24110.0,746.0,0.02824360105913504
2,2023-01-18 02:45:00,Восточно-Сибирская,CV,2023,16 days 20:04:00,24244.0,134.0,0.02912621359223301
2,2023-01-18 04:25:00,Восточно-Сибирская,CV,2023,16 days 21:44:00,24344.0,100.0,0.03000882612533098
2,2023-01-18 08:00:00,Октябрьская,CV,2023,17 days 01:19:00,24559.0,215.0,0.03089143865842895
2,2023-01-18 11:36:00,Восточно-Сибирская,CV,2023,17 days 04:55:00,24775.0,216.0,0.03177405119152692
2,2023-01-18 18:25:00,Красноярская,CV,2023,17 days 11:44:00,25184.0,409.0,0.03265666372462489
