CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
3,2023-01-01 15:20:00,Октябрьская,CSH,2023,0 days 00:00:00,0.0,0.0,0.0
3,2023-01-02 07:14:00,Октябрьская,CSH,2023,0 days 15:54:00,954.0,954.0,0.0012300123001230013
3,2023-01-02 12:00:00,Октябрьская,CSH,2023,0 days 20:40:00,1240.0,286.0,0.0024600246002460025
3,2023-01-02 15:42:00,Октябрьская,CSH,2023,1 days 00:22:00,1462.0,222.0,0.0036900369003690036
3,2023-01-03 07:24:00,Октябрьская,CSH,2023,1 days 16:04:00,2404.0,942.0,0.004920049200492005
3,2023-01-03 08:32:00,Октябрьская,CSH,2023,1 days 17:12:00,2472.0,68.0,0.006150061500615006
3,2023-01-03 17:30:00,Октябрьская,CSH,2023,2 days 02:10:00,3010.0,538.0,0.007380073800738007
3,2023-01-04 10:52:00,Октябрьская,CSH,2023,2 days 19:32:00,4052.0,1042.0,0.008610086100861008
3,2023-01-05 04:13:00,Октябрьская,CSH,2023,3 days 12:53:00,5093.0,1041.0,0.00984009840098401
3,2023-01-05 05:02:00,Октябрьская,CSH,2023,3 days 13:42:00,5142.0,49.0,0.01107011070110701
3,2023-01-05 17:08:00,Октябрьская,CT,2023,4 days 01:48:00,5868.0,726.0,0.012300123001230012
3,2023-01-06 05:40:00,Октябрьская,CSH,2023,4 days 14:20:00,6620.0,752.0,0.013530135301353014
3,2023-01-06 12:13:00,Октябрьская,CSH,2023,4 days 20:53:00,7013.0,393.0,0.014760147601476014
3,2023-01-06 13:35:00,Октябрьская,CSH,2023,4 days 22:15:00,7095.0,82.0,0.015990159901599015
3,2023-01-06 16:50:00,Октябрьская,CSH,2023,5 days 01:30:00,7290.0,195.0,0.017220172201722016
3,2023-01-06 20:56:00,Октябрьская,CT,2023,5 days 05:36:00,7536.0,246.0,0.01845018450184502
3,2023-01-07 08:44:00,Октябрьская,CSH,2023,5 days 17:24:00,8244.0,708.0,0.01968019680196802
3,2023-01-07 18:40:00,Октябрьская,CSH,2023,6 days 03:20:00,8840.0,596.0,0.020910209102091022
3,2023-01-07 22:11:00,Октябрьская,CSH,2023,6 days 06:51:00,9051.0,211.0,0.02214022140221402
3,2023-01-08 08:40:00,Октябрьская,CSH,2023,6 days 17:20:00,9680.0,629.0,0.023370233702337023
3,2023-01-08 10:50:00,Октябрьская,CSH,2023,6 days 19:30:00,9810.0,130.0,0.024600246002460024
3,2023-01-08 13:37:00,Октябрьская,CT,2023,6 days 22:17:00,9977.0,167.0,0.025830258302583026
3,2023-01-08 22:00:00,Октябрьская,CSH,2023,7 days 06:40:00,10480.0,503.0,0.02706027060270603
3,2023-01-09 01:30:00,Октябрьская,CT,2023,7 days 10:10:00,10690.0,210.0,0.028290282902829027
3,2023-01-09 05:00:00,Октябрьская,CSH,2023,7 days 13:40:00,10900.0,210.0,0.02952029520295203
3,2023-01-09 08:55:00,Октябрьская,CSH,2023,7 days 17:35:00,11135.0,235.0,0.03075030750307503
3,2023-01-13 11:00:00,Октябрьская,CT,2023,11 days 19:40:00,17020.0,5885.0,0.03198031980319803
3,2023-01-13 18:20:00,Октябрьская,CSH,2023,12 days 03:00:00,17460.0,440.0,0.033210332103321034
3,2023-01-15 16:44:00,Октябрьская,CSH,2023,14 days 01:24:00,20244.0,2784.0,0.03444034440344403
3,2023-01-15 18:05:00,Октябрьская,CSH,2023,14 days 02:45:00,20325.0,81.0,0.03567035670356704
3,2023-01-16 21:41:00,Октябрьская,CSH,2023,15 days 06:21:00,21981.0,1656.0,0.03690036900369004
3,2023-01-18 02:30:00,Октябрьская,CV,2023,16 days 11:10:00,23710.0,1729.0,0.038130381303813035
3,2023-01-18 02:45:00,Октябрьская,CV,2023,16 days 11:25:00,23725.0,15.0,0.03936039360393604
3,2023-01-18 03:00:00,Октябрьская,CV,2023,16 days 11:40:00,23740.0,15.0,0.04059040590405904
3,2023-01-18 04:30:00,Октябрьская,CV,2023,16 days 13:10:00,23830.0,90.0,0.041820418204182044
3,2023-01-18 04:45:00,Октябрьская,CV,2023,16 days 13:25:00,23845.0,15.0,0.04305043050430504
3,2023-01-18 05:00:00,Октябрьская,CV,2023,16 days 13:40:00,23860.0,15.0,0.04428044280442804
3,2023-01-18 06:07:00,Октябрьская,CV,2023,16 days 14:47:00,23927.0,67.0,0.04551045510455105
3,2023-01-18 06:22:00,Октябрьская,CV,2023,16 days 15:02:00,23942.0,15.0,0.046740467404674045
3,2023-01-18 06:37:00,Октябрьская,CV,2023,16 days 15:17:00,23957.0,15.0,0.04797047970479705
3,2023-01-18 06:52:00,Октябрьская,CV,2023,16 days 15:32:00,23972.0,15.0,0.04920049200492005
3,2023-01-18 15:20:00,Октябрьская,CSH,2023,17 days 00:00:00,24480.0,508.0,0.05043050430504305
3,2023-01-19 04:50:00,Октябрьская,CSH,2023,17 days 13:30:00,25290.0,810.0,0.05166051660516605
3,2023-01-20 16:02:00,Октябрьская,CSH,2023,19 days 00:42:00,27402.0,2112.0,0.05289052890528905
3,2023-01-20 18:03:00,Октябрьская,CSH,2023,19 days 02:43:00,27523.0,121.0,0.05412054120541206
3,2023-01-20 19:28:00,Октябрьская,CV,2023,19 days 04:08:00,27608.0,85.0,0.055350553505535055
3,2023-01-22 08:03:00,Октябрьская,CSH,2023,20 days 16:43:00,29803.0,2195.0,0.056580565805658053
3,2023-01-22 20:40:00,Октябрьская,CV,2023,21 days 05:20:00,30560.0,757.0,0.05781057810578106
3,2023-01-22 21:00:00,Октябрьская,CV,2023,21 days 05:40:00,30580.0,20.0,0.05904059040590406
3,2023-01-22 21:20:00,Октябрьская,CV,2023,21 days 06:00:00,30600.0,20.0,0.06027060270602706
3,2023-01-23 00:26:00,Октябрьская,CT,2023,21 days 09:06:00,30786.0,186.0,0.06150061500615006
3,2023-01-23 14:49:00,Октябрьская,CSH,2023,21 days 23:29:00,31649.0,863.0,0.06273062730627306
3,2023-01-23 20:23:00,Октябрьская,CSH,2023,22 days 05:03:00,31983.0,334.0,0.06396063960639606
3,2023-01-24 10:13:00,Октябрьская,CSH,2023,22 days 18:53:00,32813.0,830.0,0.06519065190651907
3,2023-01-25 02:18:00,Октябрьская,CSH,2023,23 days 10:58:00,33778.0,965.0,0.06642066420664207
3,2023-01-25 16:40:00,Октябрьская,CSH,2023,24 days 01:20:00,34640.0,862.0,0.06765067650676507
3,2023-01-25 21:54:00,Октябрьская,CSH,2023,24 days 06:34:00,34954.0,314.0,0.06888068880688807
3,2023-01-26 09:49:00,Октябрьская,CT,2023,24 days 18:29:00,35669.0,715.0,0.07011070110701106
3,2023-01-26 23:45:00,Октябрьская,CSH,2023,25 days 08:25:00,36505.0,836.0,0.07134071340713408
3,2023-01-27 02:05:00,Октябрьская,CT,2023,25 days 10:45:00,36645.0,140.0,0.07257072570725707
3,2023-01-27 08:30:00,Октябрьская,CT,2023,25 days 17:10:00,37030.0,385.0,0.07380073800738007
3,2023-01-28 22:40:00,Октябрьская,CSH,2023,27 days 07:20:00,39320.0,2290.0,0.07503075030750307
3,2023-01-29 02:24:00,Октябрьская,CSH,2023,27 days 11:04:00,39544.0,224.0,0.07626076260762607
3,2023-01-30 12:34:00,Октябрьская,CSH,2023,28 days 21:14:00,41594.0,2050.0,0.07749077490774908
3,2023-01-31 05:53:00,Октябрьская,CSH,2023,29 days 14:33:00,42633.0,1039.0,0.07872078720787208
3,2023-01-31 15:50:00,Октябрьская,CT,2023,30 days 00:30:00,43230.0,597.0,0.07995079950799508
3,2023-02-01 19:20:00,Октябрьская,CSH,2023,31 days 04:00:00,44880.0,1650.0,0.08118081180811808
3,2023-02-02 09:31:00,Октябрьская,CSH,2023,31 days 18:11:00,45731.0,851.0,0.08241082410824108
3,2023-02-02 12:12:00,Октябрьская,CV,2023,31 days 20:52:00,45892.0,161.0,0.08364083640836409
3,2023-02-02 15:40:00,Октябрьская,CSH,2023,32 days 00:20:00,46100.0,208.0,0.08487084870848709
3,2023-02-02 17:27:00,Октябрьская,CSH,2023,32 days 02:07:00,46207.0,107.0,0.08610086100861009
3,2023-02-03 14:15:00,Октябрьская,CSH,2023,32 days 22:55:00,47455.0,1248.0,0.08733087330873308
3,2023-02-04 09:17:00,Октябрьская,CSH,2023,33 days 17:57:00,48597.0,1142.0,0.08856088560885608
3,2023-02-04 09:29:00,Октябрьская,CV,2023,33 days 18:09:00,48609.0,12.0,0.0897908979089791
3,2023-02-05 05:05:00,Октябрьская,CT,2023,34 days 13:45:00,49785.0,1176.0,0.0910209102091021
3,2023-02-05 08:15:00,Октябрьская,CV,2023,34 days 16:55:00,49975.0,190.0,0.09225092250922509
3,2023-02-05 12:34:00,Октябрьская,CSH,2023,34 days 21:14:00,50234.0,259.0,0.09348093480934809
3,2023-02-05 22:46:00,Октябрьская,CT,2023,35 days 07:26:00,50846.0,612.0,0.09471094710947109
3,2023-02-06 10:12:00,Октябрьская,CSH,2023,35 days 18:52:00,51532.0,686.0,0.0959409594095941
3,2023-02-06 17:50:00,Октябрьская,CSH,2023,36 days 02:30:00,51990.0,458.0,0.0971709717097171
3,2023-02-06 18:01:00,Октябрьская,CSH,2023,36 days 02:41:00,52001.0,11.0,0.0984009840098401
3,2023-02-07 02:06:00,Октябрьская,CSH,2023,36 days 10:46:00,52486.0,485.0,0.0996309963099631
3,2023-02-07 18:30:00,Октябрьская,CT,2023,37 days 03:10:00,53470.0,984.0,0.1008610086100861
3,2023-02-08 11:03:00,Октябрьская,CSH,2023,37 days 19:43:00,54463.0,993.0,0.10209102091020911
3,2023-02-08 11:31:00,Октябрьская,CSH,2023,37 days 20:11:00,54491.0,28.0,0.1033210332103321
3,2023-02-08 11:32:00,Октябрьская,CSH,2023,37 days 20:12:00,54492.0,1.0,0.1045510455104551
3,2023-02-08 18:55:00,Октябрьская,CSH,2023,38 days 03:35:00,54935.0,443.0,0.1057810578105781
3,2023-02-09 14:22:00,Октябрьская,CT,2023,38 days 23:02:00,56102.0,1167.0,0.1070110701107011
3,2023-02-09 16:00:00,Октябрьская,CSH,2023,39 days 00:40:00,56200.0,98.0,0.10824108241082411
3,2023-02-09 22:54:00,Октябрьская,CSH,2023,39 days 07:34:00,56614.0,414.0,0.10947109471094711
3,2023-02-10 06:05:00,Октябрьская,CSH,2023,39 days 14:45:00,57045.0,431.0,0.11070110701107011
3,2023-02-10 07:10:00,Октябрьская,CSH,2023,39 days 15:50:00,57110.0,65.0,0.11193111931119311
3,2023-02-10 12:50:00,Октябрьская,CSH,2023,39 days 21:30:00,57450.0,340.0,0.11316113161131611
3,2023-02-13 05:16:00,Октябрьская,CSH,2023,42 days 13:56:00,61316.0,3866.0,0.11439114391143912
3,2023-02-13 11:00:00,Октябрьская,CSH,2023,42 days 19:40:00,61660.0,344.0,0.11562115621156212
3,2023-02-14 12:00:00,Октябрьская,CSH,2023,43 days 20:40:00,63160.0,1500.0,0.11685116851168512
3,2023-02-14 13:57:00,Октябрьская,CSH,2023,43 days 22:37:00,63277.0,117.0,0.11808118081180811
3,2023-02-15 00:00:00,Октябрьская,CT,2023,44 days 08:40:00,63880.0,603.0,0.11931119311193111
3,2023-02-15 22:38:00,Октябрьская,CSH,2023,45 days 07:18:00,65238.0,1358.0,0.12054120541205413
3,2023-02-16 10:47:00,Октябрьская,CSH,2023,45 days 19:27:00,65967.0,729.0,0.12177121771217712
3,2023-02-18 05:42:00,Октябрьская,CSH,2023,47 days 14:22:00,68542.0,2575.0,0.12300123001230012
3,2023-02-18 09:47:00,Октябрьская,CV,2023,47 days 18:27:00,68787.0,245.0,0.12423124231242312
3,2023-02-18 13:52:00,Октябрьская,CSH,2023,47 days 22:32:00,69032.0,245.0,0.12546125461254612
3,2023-02-19 04:40:00,Октябрьская,CSH,2023,48 days 13:20:00,69920.0,888.0,0.12669126691266913
3,2023-02-19 07:30:00,Октябрьская,CSH,2023,48 days 16:10:00,70090.0,170.0,0.12792127921279212
3,2023-02-20 11:13:00,Октябрьская,CT,2023,49 days 19:53:00,71753.0,1663.0,0.12915129151291513
3,2023-02-20 13:24:00,Октябрьская,CT,2023,49 days 22:04:00,71884.0,131.0,0.13038130381303814
3,2023-02-20 15:56:00,Октябрьская,CSH,2023,50 days 00:36:00,72036.0,152.0,0.13161131611316113
3,2023-02-21 11:35:00,Октябрьская,CSH,2023,50 days 20:15:00,73215.0,1179.0,0.13284132841328414
3,2023-02-22 04:00:00,Октябрьская,CSH,2023,51 days 12:40:00,74200.0,985.0,0.13407134071340712
3,2023-02-22 06:44:00,Октябрьская,CSH,2023,51 days 15:24:00,74364.0,164.0,0.13530135301353013
3,2023-02-22 12:45:00,Октябрьская,CSH,2023,51 days 21:25:00,74725.0,361.0,0.13653136531365315
3,2023-02-22 18:46:00,Октябрьская,CSH,2023,52 days 03:26:00,75086.0,361.0,0.13776137761377613
3,2023-02-22 20:52:00,Октябрьская,CSH,2023,52 days 05:32:00,75212.0,126.0,0.13899138991389914
3,2023-02-23 08:57:00,Октябрьская,CT,2023,52 days 17:37:00,75937.0,725.0,0.14022140221402213
3,2023-02-23 13:27:00,Октябрьская,CSH,2023,52 days 22:07:00,76207.0,270.0,0.14145141451414514
3,2023-02-24 21:17:00,Октябрьская,CSH,2023,54 days 05:57:00,78117.0,1910.0,0.14268142681426815
3,2023-02-24 22:52:00,Октябрьская,CSH,2023,54 days 07:32:00,78212.0,95.0,0.14391143911439114
3,2023-02-25 11:10:00,Октябрьская,CSH,2023,54 days 19:50:00,78950.0,738.0,0.14514145141451415
3,2023-02-27 09:40:00,Октябрьская,CSH,2023,56 days 18:20:00,81740.0,2790.0,0.14637146371463713
3,2023-02-27 12:03:00,Октябрьская,CSH,2023,56 days 20:43:00,81883.0,143.0,0.14760147601476015
3,2023-02-27 21:15:00,Октябрьская,CSH,2023,57 days 05:55:00,82435.0,552.0,0.14883148831488316
3,2023-02-28 07:16:00,Октябрьская,CSH,2023,57 days 15:56:00,83036.0,601.0,0.15006150061500614
3,2023-02-28 07:35:00,Октябрьская,CSH,2023,57 days 16:15:00,83055.0,19.0,0.15129151291512916
3,2023-02-28 22:26:00,Октябрьская,CSH,2023,58 days 07:06:00,83946.0,891.0,0.15252152521525214
3,2023-03-01 01:00:00,Октябрьская,CT,2023,58 days 09:40:00,84100.0,154.0,0.15375153751537515
3,2023-03-01 04:14:00,Октябрьская,CSH,2023,58 days 12:54:00,84294.0,194.0,0.15498154981549817
3,2023-03-02 02:05:00,Октябрьская,CT,2023,59 days 10:45:00,85605.0,1311.0,0.15621156211562115
3,2023-03-02 10:15:00,Октябрьская,CSH,2023,59 days 18:55:00,86095.0,490.0,0.15744157441574416
3,2023-03-03 01:25:00,Октябрьская,CT,2023,60 days 10:05:00,87005.0,910.0,0.15867158671586715
3,2023-03-04 02:00:00,Октябрьская,CSH,2023,61 days 10:40:00,88480.0,1475.0,0.15990159901599016
3,2023-03-04 08:16:00,Октябрьская,CSH,2023,61 days 16:56:00,88856.0,376.0,0.16113161131611317
3,2023-03-04 17:54:00,Октябрьская,CSH,2023,62 days 02:34:00,89434.0,578.0,0.16236162361623616
3,2023-03-05 05:10:00,Октябрьская,CSH,2023,62 days 13:50:00,90110.0,676.0,0.16359163591635917
3,2023-03-05 10:48:00,Октябрьская,CSH,2023,62 days 19:28:00,90448.0,338.0,0.16482164821648215
3,2023-03-06 09:40:00,Октябрьская,CSH,2023,63 days 18:20:00,91820.0,1372.0,0.16605166051660517
3,2023-03-06 21:13:00,Октябрьская,CSH,2023,64 days 05:53:00,92513.0,693.0,0.16728167281672818
3,2023-03-06 22:00:00,Октябрьская,CSH,2023,64 days 06:40:00,92560.0,47.0,0.16851168511685116
3,2023-03-07 06:20:00,Октябрьская,CSH,2023,64 days 15:00:00,93060.0,500.0,0.16974169741697417
3,2023-03-07 08:30:00,Октябрьская,CSH,2023,64 days 17:10:00,93190.0,130.0,0.17097170971709716
3,2023-03-07 08:55:00,Октябрьская,CSH,2023,64 days 17:35:00,93215.0,25.0,0.17220172201722017
3,2023-03-07 09:02:00,Октябрьская,CSH,2023,64 days 17:42:00,93222.0,7.0,0.17343173431734318
3,2023-03-07 16:49:00,Октябрьская,CSH,2023,65 days 01:29:00,93689.0,467.0,0.17466174661746617
3,2023-03-07 18:16:00,Октябрьская,CSH,2023,65 days 02:56:00,93776.0,87.0,0.17589175891758918
3,2023-03-07 21:54:00,Октябрьская,CSH,2023,65 days 06:34:00,93994.0,218.0,0.17712177121771217
3,2023-03-07 23:25:00,Октябрьская,CSH,2023,65 days 08:05:00,94085.0,91.0,0.17835178351783518
