CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
2,2023-01-02 13:10:00,Северная,CSH,2023,0 days 00:00:00,0.0,0.0,0.0
2,2023-01-04 08:00:00,Северная,CSH,2023,1 days 18:50:00,2570.0,2570.0,0.006097560975609756
2,2023-01-06 09:55:00,Северная,CSH,2023,3 days 20:45:00,5565.0,2995.0,0.012195121951219513
2,2023-01-06 10:58:00,Северная,CSH,2023,3 days 21:48:00,5628.0,63.0,0.018292682926829267
2,2023-01-13 02:39:00,Северная,CV,2023,10 days 13:29:00,15209.0,9581.0,0.024390243902439025
2,2023-01-16 12:24:00,Северная,CSH,2023,13 days 23:14:00,20114.0,4905.0,0.03048780487804878
2,2023-01-21 10:20:00,Северная,CSH,2023,18 days 21:10:00,27190.0,7076.0,0.036585365853658534
2,2023-01-25 10:40:00,Северная,CSH,2023,22 days 21:30:00,32970.0,5780.0,0.042682926829268296
2,2023-01-26 01:21:00,Северная,CSH,2023,23 days 12:11:00,33851.0,881.0,0.04878048780487805
2,2023-01-28 02:12:00,Северная,CSH,2023,25 days 13:02:00,36782.0,2931.0,0.054878048780487805
2,2023-01-29 04:28:00,Северная,CV,2023,26 days 15:18:00,38358.0,1576.0,0.06097560975609756
2,2023-02-02 17:40:00,Северная,CSH,2023,31 days 04:30:00,44910.0,6552.0,0.06707317073170732
2,2023-02-03 01:58:00,Северная,CSH,2023,31 days 12:48:00,45408.0,498.0,0.07317073170731707
2,2023-02-06 11:01:00,Северная,CSH,2023,34 days 21:51:00,50271.0,4863.0,0.07926829268292683
2,2023-02-06 11:50:00,Северная,CSH,2023,34 days 22:40:00,50320.0,49.0,0.08536585365853659
2,2023-02-07 15:30:00,Северная,CSH,2023,36 days 02:20:00,51980.0,1660.0,0.09146341463414634
2,2023-02-09 09:40:00,Северная,CSH,2023,37 days 20:30:00,54510.0,2530.0,0.0975609756097561
2,2023-02-13 14:28:00,Северная,CSH,2023,42 days 01:18:00,60558.0,6048.0,0.10365853658536585
2,2023-02-16 00:30:00,Северная,CSH,2023,44 days 11:20:00,64040.0,3482.0,0.10975609756097561
2,2023-02-18 05:54:00,Северная,CV,2023,46 days 16:44:00,67244.0,3204.0,0.11585365853658537
