CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
1,2024-01-06 21:06:00,Восточно-Сибирская,CT,2024,0 days 00:00:00,0.0,0.0,0.0
1,2024-01-07 22:47:00,Восточно-Сибирская,CSH,2024,1 days 01:41:00,1541.0,1541.0,0.016666666666666666
1,2024-01-10 20:31:00,Восточно-Сибирская,CSH,2024,3 days 23:25:00,5725.0,4184.0,0.03333333333333333
1,2024-01-11 00:30:00,Восточно-Сибирская,CT,2024,4 days 03:24:00,5964.0,239.0,0.05
1,2024-01-31 00:55:00,Восточно-Сибирская,CV,2024,24 days 03:49:00,34789.0,28825.0,0.06666666666666667
1,2024-01-31 22:11:00,Восточно-Сибирская,CSH,2024,25 days 01:05:00,36065.0,1276.0,0.08333333333333333
1,2024-02-13 17:40:00,Восточно-Сибирская,CSH,2024,37 days 20:34:00,54514.0,18449.0,0.1
1,2024-02-24 01:29:00,Восточно-Сибирская,CSH,2024,48 days 04:23:00,69383.0,14869.0,0.11666666666666667
1,2024-02-28 00:00:00,Восточно-Сибирская,CT,2024,52 days 02:54:00,75054.0,5671.0,0.13333333333333333
1,2024-03-07 16:59:00,Восточно-Сибирская,CSH,2024,60 days 19:53:00,87593.0,12539.0,0.15
1,2024-03-12 04:43:00,Восточно-Сибирская,CV,2024,65 days 07:37:00,94057.0,6464.0,0.16666666666666666
1,2024-04-02 06:56:00,Восточно-Сибирская,CV,2024,86 days 09:50:00,124430.0,30373.0,0.18333333333333332
1,2024-04-08 01:00:00,Восточно-Сибирская,CSH,2024,92 days 03:54:00,132714.0,8284.0,0.2
1,2024-04-12 09:32:00,Восточно-Сибирская,CSH,2024,96 days 12:26:00,138986.0,6272.0,0.21666666666666667
1,2024-05-07 12:35:00,Восточно-Сибирская,CSH,2024,121 days 15:29:00,175169.0,36183.0,0.23333333333333334
1,2024-05-07 21:25:00,Восточно-Сибирская,CT,2024,122 days 00:19:00,175699.0,530.0,0.25
1,2024-05-14 16:26:00,Восточно-Сибирская,CV,2024,128 days 19:20:00,185480.0,9781.0,0.26666666666666666
1,2024-05-17 10:25:00,Восточно-Сибирская,CSH,2024,131 days 13:19:00,189439.0,3959.0,0.2833333333333333
1,2024-05-31 18:10:00,Восточно-Сибирская,CSH,2024,145 days 21:04:00,210064.0,20625.0,0.3
1,2024-06-06 11:44:00,Восточно-Сибирская,CSH,2024,151 days 14:38:00,218318.0,8254.0,0.31666666666666665
1,2024-06-20 10:57:00,Восточно-Сибирская,CSH,2024,165 days 13:51:00,238431.0,20113.0,0.3333333333333333
1,2024-06-21 12:39:00,Восточно-Сибирская,CSH,2024,166 days 15:33:00,239973.0,1542.0,0.35
1,2024-06-26 15:56:00,Восточно-Сибирская,CSH,2024,171 days 18:50:00,247370.0,7397.0,0.36666666666666664
1,2024-06-29 13:35:00,Восточно-Сибирская,CSH,2024,174 days 16:29:00,251549.0,4179.0,0.38333333333333336
1,2024-06-30 12:08:00,Восточно-Сибирская,CSH,2024,175 days 15:02:00,252902.0,1353.0,0.4
1,2024-07-06 11:57:00,Восточно-Сибирская,CSH,2024,181 days 14:51:00,261531.0,8629.0,0.4166666666666667
1,2024-07-22 18:05:00,Восточно-Сибирская,CSH,2024,197 days 20:59:00,284939.0,23408.0,0.43333333333333335
1,2024-08-06 07:22:00,Восточно-Сибирская,CSH,2024,212 days 10:16:00,305896.0,20957.0,0.45
1,2024-08-12 18:18:00,Восточно-Сибирская,CSH,2024,218 days 21:12:00,315192.0,9296.0,0.4666666666666667
1,2024-08-20 05:03:00,Восточно-Сибирская,CSH,2024,226 days 07:57:00,325917.0,10725.0,0.48333333333333334
1,2024-08-20 05:58:00,Восточно-Сибирская,CSH,2024,226 days 08:52:00,325972.0,55.0,0.5
1,2024-09-05 23:46:00,Восточно-Сибирская,CT,2024,243 days 02:40:00,350080.0,24108.0,0.5166666666666667
1,2024-09-17 09:09:00,Восточно-Сибирская,CT,2024,254 days 12:03:00,366483.0,16403.0,0.5333333333333333
1,2024-09-20 22:10:00,Восточно-Сибирская,CSH,2024,258 days 01:04:00,371584.0,5101.0,0.55
1,2024-09-21 12:23:00,Восточно-Сибирская,CT,2024,258 days 15:17:00,372437.0,853.0,0.5666666666666667
1,2024-09-27 17:09:00,Восточно-Сибирская,CSH,2024,264 days 20:03:00,381363.0,8926.0,0.5833333333333334
1,2024-10-01 00:54:00,Восточно-Сибирская,CT,2024,268 days 03:48:00,386148.0,4785.0,0.6
1,2024-10-04 22:30:00,Восточно-Сибирская,CT,2024,272 days 01:24:00,391764.0,5616.0,0.6166666666666667
1,2024-10-10 10:13:00,Восточно-Сибирская,CSH,2024,277 days 13:07:00,399667.0,7903.0,0.6333333333333333
1,2024-10-12 06:25:00,Восточно-Сибирская,CSH,2024,279 days 09:19:00,402319.0,2652.0,0.65
1,2024-10-18 16:00:00,Восточно-Сибирская,CT,2024,285 days 18:54:00,411534.0,9215.0,0.6666666666666666
1,2024-10-24 18:34:00,Восточно-Сибирская,CSH,2024,291 days 21:28:00,420328.0,8794.0,0.6833333333333333
1,2024-10-29 23:48:00,Восточно-Сибирская,CSH,2024,297 days 02:42:00,427842.0,7514.0,0.7
1,2024-10-31 19:26:00,Восточно-Сибирская,CSH,2024,298 days 22:20:00,430460.0,2618.0,0.7166666666666667
1,2024-10-31 21:26:00,Восточно-Сибирская,CSH,2024,299 days 00:20:00,430580.0,120.0,0.7333333333333333
1,2024-11-06 22:05:00,Восточно-Сибирская,CSH,2024,305 days 00:59:00,439259.0,8679.0,0.75
1,2024-11-08 11:11:00,Восточно-Сибирская,CSH,2024,306 days 14:05:00,441485.0,2226.0,0.7666666666666667
1,2024-11-09 22:37:00,Восточно-Сибирская,CT,2024,308 days 01:31:00,443611.0,2126.0,0.7833333333333333
1,2024-11-15 17:32:00,Восточно-Сибирская,CSH,2024,313 days 20:26:00,451946.0,8335.0,0.8
1,2024-11-21 19:07:00,Восточно-Сибирская,CT,2024,319 days 22:01:00,460681.0,8735.0,0.8166666666666667
1,2024-11-21 23:10:00,Восточно-Сибирская,CT,2024,320 days 02:04:00,460924.0,243.0,0.8333333333333334
1,2024-11-22 01:07:00,Восточно-Сибирская,CT,2024,320 days 04:01:00,461041.0,117.0,0.85
1,2024-11-24 19:18:00,Восточно-Сибирская,CT,2024,322 days 22:12:00,465012.0,3971.0,0.8666666666666667
1,2024-11-27 21:21:00,Восточно-Сибирская,CSH,2024,326 days 00:15:00,469455.0,4443.0,0.8833333333333333
1,2024-11-30 05:44:00,Восточно-Сибирская,CSH,2024,328 days 08:38:00,472838.0,3383.0,0.9
1,2024-12-04 12:38:00,Восточно-Сибирская,CSH,2024,332 days 15:32:00,479012.0,6174.0,0.9166666666666666
1,2024-12-10 14:36:00,Восточно-Сибирская,CSH,2024,338 days 17:30:00,487770.0,8758.0,0.9333333333333333
1,2024-12-21 11:08:00,Восточно-Сибирская,CV,2024,349 days 14:02:00,503402.0,15632.0,0.95
1,2024-12-26 04:58:00,Восточно-Сибирская,CT,2024,354 days 07:52:00,510232.0,6830.0,0.9666666666666667
1,2024-12-29 15:31:00,Восточно-Сибирская,CSH,2024,357 days 18:25:00,515185.0,4953.0,0.9833333333333333
