CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
3,2024-01-11 02:00:00,Куйбышевская,CSH,2024,0 days 00:00:00,0.0,0.0,0.0
3,2024-01-11 04:08:00,Куйбышевская,CSH,2024,0 days 02:08:00,128.0,128.0,0.017857142857142856
3,2024-01-11 23:01:00,Куйбышевская,CSH,2024,0 days 21:01:00,1261.0,1133.0,0.03571428571428571
3,2024-01-16 00:30:00,Куйбышевская,CV,2024,4 days 22:30:00,7110.0,5849.0,0.05357142857142857
3,2024-01-16 15:03:00,Куйбышевская,CT,2024,5 days 13:03:00,7983.0,873.0,0.07142857142857142
3,2024-01-17 19:33:00,Куйбышевская,CV,2024,6 days 17:33:00,9693.0,1710.0,0.08928571428571429
3,2024-01-18 11:22:00,Куйбышевская,CT,2024,7 days 09:22:00,10642.0,949.0,0.10714285714285714
3,2024-01-18 23:59:00,Куйбышевская,CT,2024,7 days 21:59:00,11399.0,757.0,0.125
3,2024-01-23 13:14:00,Куйбышевская,CV,2024,12 days 11:14:00,17954.0,6555.0,0.14285714285714285
3,2024-01-28 19:00:00,Куйбышевская,CV,2024,17 days 17:00:00,25500.0,7546.0,0.16071428571428573
3,2024-02-04 14:00:00,Куйбышевская,CV,2024,24 days 12:00:00,35280.0,9780.0,0.17857142857142858
3,2024-02-07 14:50:00,Куйбышевская,CV,2024,27 days 12:50:00,39650.0,4370.0,0.19642857142857142
3,2024-02-29 20:17:00,Куйбышевская,CSH,2024,49 days 18:17:00,71657.0,32007.0,0.21428571428571427
3,2024-03-04 13:30:00,Куйбышевская,CV,2024,53 days 11:30:00,77010.0,5353.0,0.23214285714285715
3,2024-03-06 16:18:00,Куйбышевская,CV,2024,55 days 14:18:00,80058.0,3048.0,0.25
3,2024-03-26 11:58:00,Куйбышевская,CSH,2024,75 days 09:58:00,108598.0,28540.0,0.26785714285714285
3,2024-03-29 20:08:00,Куйбышевская,CSH,2024,78 days 18:08:00,113408.0,4810.0,0.2857142857142857
3,2024-03-31 11:15:00,Куйбышевская,CSH,2024,80 days 09:15:00,115755.0,2347.0,0.30357142857142855
3,2024-04-13 22:47:00,Куйбышевская,CV,2024,93 days 20:47:00,135167.0,19412.0,0.32142857142857145
3,2024-04-16 10:50:00,Куйбышевская,CSH,2024,96 days 08:50:00,138770.0,3603.0,0.3392857142857143
3,2024-04-17 13:05:00,Куйбышевская,CV,2024,97 days 11:05:00,140345.0,1575.0,0.35714285714285715
3,2024-05-21 11:09:00,Куйбышевская,CV,2024,131 days 09:09:00,189189.0,48844.0,0.375
3,2024-05-21 14:24:00,Куйбышевская,CSH,2024,131 days 12:24:00,189384.0,195.0,0.39285714285714285
3,2024-05-25 21:30:00,Куйбышевская,CV,2024,135 days 19:30:00,195570.0,6186.0,0.4107142857142857
3,2024-05-30 20:29:00,Куйбышевская,CV,2024,140 days 18:29:00,202709.0,7139.0,0.42857142857142855
3,2024-06-06 18:42:00,Куйбышевская,CV,2024,147 days 16:42:00,212682.0,9973.0,0.44642857142857145
3,2024-06-28 17:28:00,Куйбышевская,CSH,2024,169 days 15:28:00,244288.0,31606.0,0.4642857142857143
3,2024-06-29 08:45:00,Куйбышевская,CSH,2024,170 days 06:45:00,245205.0,917.0,0.48214285714285715
3,2024-06-30 10:36:00,Куйбышевская,CV,2024,171 days 08:36:00,246756.0,1551.0,0.5
3,2024-07-06 04:15:00,Куйбышевская,CSH,2024,177 days 02:15:00,255015.0,8259.0,0.5178571428571429
3,2024-07-12 07:26:00,Куйбышевская,CV,2024,183 days 05:26:00,263846.0,8831.0,0.5357142857142857
3,2024-07-20 18:20:00,Куйбышевская,CV,2024,191 days 16:20:00,276020.0,12174.0,0.5535714285714286
3,2024-07-30 20:00:00,Куйбышевская,CV,2024,201 days 18:00:00,290520.0,14500.0,0.5714285714285714
3,2024-08-03 19:06:00,Куйбышевская,CV,2024,205 days 17:06:00,296226.0,5706.0,0.5892857142857143
3,2024-08-14 22:13:00,Куйбышевская,CT,2024,216 days 20:13:00,312253.0,16027.0,0.6071428571428571
3,2024-08-27 14:20:00,Куйбышевская,CSH,2024,229 days 12:20:00,330500.0,18247.0,0.625
3,2024-08-27 21:51:00,Куйбышевская,CSH,2024,229 days 19:51:00,330951.0,451.0,0.6428571428571429
3,2024-09-06 02:07:00,Куйбышевская,CV,2024,239 days 00:07:00,344167.0,13216.0,0.6607142857142857
3,2024-10-04 09:12:00,Куйбышевская,CV,2024,267 days 07:12:00,384912.0,40745.0,0.6785714285714286
3,2024-10-04 15:40:00,Куйбышевская,CV,2024,267 days 13:40:00,385300.0,388.0,0.6964285714285714
3,2024-10-13 10:10:00,Куйбышевская,CV,2024,276 days 08:10:00,397930.0,12630.0,0.7142857142857143
3,2024-10-30 14:33:00,Куйбышевская,CSH,2024,293 days 12:33:00,422673.0,24743.0,0.7321428571428571
3,2024-10-30 18:03:00,Куйбышевская,CSH,2024,293 days 16:03:00,422883.0,210.0,0.75
3,2024-10-31 07:42:00,Куйбышевская,CSH,2024,294 days 05:42:00,423702.0,819.0,0.7678571428571429
3,2024-10-31 08:06:00,Куйбышевская,CSH,2024,294 days 06:06:00,423726.0,24.0,0.7857142857142857
3,2024-10-31 11:55:00,Куйбышевская,CSH,2024,294 days 09:55:00,423955.0,229.0,0.8035714285714286
3,2024-11-01 02:39:00,Куйбышевская,CV,2024,295 days 00:39:00,424839.0,884.0,0.8214285714285714
3,2024-11-01 04:11:00,Куйбышевская,CT,2024,295 days 02:11:00,424931.0,92.0,0.8392857142857143
3,2024-11-01 04:21:00,Куйбышевская,CV,2024,295 days 02:21:00,424941.0,10.0,0.8571428571428571
3,2024-11-02 23:40:00,Куйбышевская,CV,2024,296 days 21:40:00,427540.0,2599.0,0.875
3,2024-11-30 20:30:00,Куйбышевская,CT,2024,324 days 18:30:00,467670.0,40130.0,0.8928571428571429
3,2024-11-30 22:27:00,Куйбышевская,CSH,2024,324 days 20:27:00,467787.0,117.0,0.9107142857142857
3,2024-12-07 20:07:00,Куйбышевская,CT,2024,331 days 18:07:00,477727.0,9940.0,0.9285714285714286
3,2024-12-28 13:00:00,Куйбышевская,CT,2024,352 days 11:00:00,507540.0,29813.0,0.9464285714285714
3,2024-12-28 14:10:00,Куйбышевская,CSH,2024,352 days 12:10:00,507610.0,70.0,0.9642857142857143
3,2024-12-30 16:01:00,Куйбышевская,CV,2024,354 days 14:01:00,510601.0,2991.0,0.9821428571428571
