CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
2,2024-01-01 03:50:00,Московская,CSH,2024,0 days 00:00:00,0.0,0.0,0.0
2,2024-01-01 23:20:00,Московская,CSH,2024,0 days 19:30:00,1170.0,1170.0,0.002232142857142857
2,2024-01-04 19:00:00,Московская,CSH,2024,3 days 15:10:00,5230.0,4060.0,0.004464285714285714
2,2024-01-04 23:00:00,Московская,CSH,2024,3 days 19:10:00,5470.0,240.0,0.006696428571428571
2,2024-01-05 07:10:00,Московская,CSH,2024,4 days 03:20:00,5960.0,490.0,0.008928571428571428
2,2024-01-05 12:09:00,Московская,CSH,2024,4 days 08:19:00,6259.0,299.0,0.011160714285714286
2,2024-01-05 17:06:00,Московская,CSH,2024,4 days 13:16:00,6556.0,297.0,0.013392857142857142
2,2024-01-06 14:43:00,Московская,CSH,2024,5 days 10:53:00,7853.0,1297.0,0.015625
2,2024-01-07 19:37:00,Московская,CSH,2024,6 days 15:47:00,9587.0,1734.0,0.017857142857142856
2,2024-01-08 07:06:00,Московская,CSH,2024,7 days 03:16:00,10276.0,689.0,0.020089285714285716
2,2024-01-09 13:43:00,Московская,CSH,2024,8 days 09:53:00,12113.0,1837.0,0.022321428571428572
2,2024-01-11 09:34:00,Московская,CSH,2024,10 days 05:44:00,14744.0,2631.0,0.024553571428571428
2,2024-01-13 11:27:00,Московская,CSH,2024,12 days 07:37:00,17737.0,2993.0,0.026785714285714284
2,2024-01-13 12:35:00,Московская,CSH,2024,12 days 08:45:00,17805.0,68.0,0.029017857142857144
2,2024-01-14 07:49:00,Московская,CSH,2024,13 days 03:59:00,18959.0,1154.0,0.03125
2,2024-01-14 17:59:00,Московская,CSH,2024,13 days 14:09:00,19569.0,610.0,0.033482142857142856
2,2024-01-15 12:52:00,Московская,CSH,2024,14 days 09:02:00,20702.0,1133.0,0.03571428571428571
2,2024-01-15 15:41:00,Московская,CSH,2024,14 days 11:51:00,20871.0,169.0,0.03794642857142857
2,2024-01-15 21:20:00,Московская,CSH,2024,14 days 17:30:00,21210.0,339.0,0.04017857142857143
2,2024-01-16 17:44:00,Московская,CSH,2024,15 days 13:54:00,22434.0,1224.0,0.04241071428571429
2,2024-01-17 01:14:00,Московская,CSH,2024,15 days 21:24:00,22884.0,450.0,0.044642857142857144
2,2024-01-17 16:40:00,Московская,CSH,2024,16 days 12:50:00,23810.0,926.0,0.046875
2,2024-01-17 23:05:00,Московская,CSH,2024,16 days 19:15:00,24195.0,385.0,0.049107142857142856
2,2024-01-18 08:05:00,Московская,CSH,2024,17 days 04:15:00,24735.0,540.0,0.05133928571428571
2,2024-01-22 04:50:00,Московская,CSH,2024,21 days 01:00:00,30300.0,5565.0,0.05357142857142857
2,2024-01-22 10:46:00,Московская,CSH,2024,21 days 06:56:00,30656.0,356.0,0.05580357142857143
2,2024-01-23 04:31:00,Московская,CSH,2024,22 days 00:41:00,31721.0,1065.0,0.05803571428571429
2,2024-01-23 16:26:00,Московская,CSH,2024,22 days 12:36:00,32436.0,715.0,0.060267857142857144
2,2024-01-28 02:00:00,Московская,CSH,2024,26 days 22:10:00,38770.0,6334.0,0.0625
2,2024-01-28 13:20:00,Московская,CSH,2024,27 days 09:30:00,39450.0,680.0,0.06473214285714286
2,2024-01-29 16:05:00,Московская,CSH,2024,28 days 12:15:00,41055.0,1605.0,0.06696428571428571
2,2024-01-29 18:45:00,Московская,CSH,2024,28 days 14:55:00,41215.0,160.0,0.06919642857142858
2,2024-01-30 17:00:00,Московская,CSH,2024,29 days 13:10:00,42550.0,1335.0,0.07142857142857142
2,2024-01-31 14:55:00,Московская,CSH,2024,30 days 11:05:00,43865.0,1315.0,0.07366071428571429
2,2024-01-31 16:25:00,Московская,CSH,2024,30 days 12:35:00,43955.0,90.0,0.07589285714285714
2,2024-02-01 19:53:00,Московская,CSH,2024,31 days 16:03:00,45603.0,1648.0,0.078125
2,2024-02-01 20:12:00,Московская,CSH,2024,31 days 16:22:00,45622.0,19.0,0.08035714285714286
2,2024-02-01 20:51:00,Московская,CSH,2024,31 days 17:01:00,45661.0,39.0,0.08258928571428571
2,2024-02-02 05:43:00,Московская,CSH,2024,32 days 01:53:00,46193.0,532.0,0.08482142857142858
2,2024-02-02 08:41:00,Московская,CSH,2024,32 days 04:51:00,46371.0,178.0,0.08705357142857142
2,2024-02-02 15:29:00,Московская,CSH,2024,32 days 11:39:00,46779.0,408.0,0.08928571428571429
2,2024-02-02 17:54:00,Московская,CSH,2024,32 days 14:04:00,46924.0,145.0,0.09151785714285714
2,2024-02-02 22:27:00,Московская,CSH,2024,32 days 18:37:00,47197.0,273.0,0.09375
2,2024-02-03 13:42:00,Московская,CSH,2024,33 days 09:52:00,48112.0,915.0,0.09598214285714286
2,2024-02-07 22:07:00,Московская,CSH,2024,37 days 18:17:00,54377.0,6265.0,0.09821428571428571
2,2024-02-10 10:30:00,Московская,CSH,2024,40 days 06:40:00,58000.0,3623.0,0.10044642857142858
2,2024-02-12 01:13:00,Московская,CSH,2024,41 days 21:23:00,60323.0,2323.0,0.10267857142857142
2,2024-02-14 09:52:00,Московская,CSH,2024,44 days 06:02:00,63722.0,3399.0,0.10491071428571429
2,2024-02-14 15:55:00,Московская,CSH,2024,44 days 12:05:00,64085.0,363.0,0.10714285714285714
2,2024-02-15 05:45:00,Московская,CSH,2024,45 days 01:55:00,64915.0,830.0,0.109375
2,2024-02-15 13:15:00,Московская,CSH,2024,45 days 09:25:00,65365.0,450.0,0.11160714285714286
2,2024-02-19 14:54:00,Московская,CSH,2024,49 days 11:04:00,71224.0,5859.0,0.11383928571428571
2,2024-02-19 15:56:00,Московская,CSH,2024,49 days 12:06:00,71286.0,62.0,0.11607142857142858
2,2024-02-19 23:16:00,Московская,CSH,2024,49 days 19:26:00,71726.0,440.0,0.11830357142857142
2,2024-02-21 09:00:00,Московская,CT,2024,51 days 05:10:00,73750.0,2024.0,0.12053571428571429
2,2024-02-21 11:10:00,Московская,CSH,2024,51 days 07:20:00,73880.0,130.0,0.12276785714285714
2,2024-02-21 23:18:00,Московская,CT,2024,51 days 19:28:00,74608.0,728.0,0.125
2,2024-02-29 08:15:00,Московская,CSH,2024,59 days 04:25:00,85225.0,10617.0,0.12723214285714285
2,2024-02-29 14:25:00,Московская,CSH,2024,59 days 10:35:00,85595.0,370.0,0.12946428571428573
2,2024-03-01 04:45:00,Московская,CSH,2024,60 days 00:55:00,86455.0,860.0,0.13169642857142858
2,2024-03-01 06:14:00,Московская,CSH,2024,60 days 02:24:00,86544.0,89.0,0.13392857142857142
2,2024-03-03 07:58:00,Московская,CSH,2024,62 days 04:08:00,89528.0,2984.0,0.13616071428571427
2,2024-03-03 14:05:00,Московская,CSH,2024,62 days 10:15:00,89895.0,367.0,0.13839285714285715
2,2024-03-04 00:36:00,Московская,CSH,2024,62 days 20:46:00,90526.0,631.0,0.140625
2,2024-03-04 08:12:00,Московская,CSH,2024,63 days 04:22:00,90982.0,456.0,0.14285714285714285
2,2024-03-04 18:49:00,Московская,CSH,2024,63 days 14:59:00,91619.0,637.0,0.14508928571428573
2,2024-03-07 12:40:00,Московская,CSH,2024,66 days 08:50:00,95570.0,3951.0,0.14732142857142858
2,2024-03-07 12:51:00,Московская,CSH,2024,66 days 09:01:00,95581.0,11.0,0.14955357142857142
2,2024-03-10 06:18:00,Московская,CSH,2024,69 days 02:28:00,99508.0,3927.0,0.15178571428571427
2,2024-03-10 07:21:00,Московская,CSH,2024,69 days 03:31:00,99571.0,63.0,0.15401785714285715
2,2024-03-11 01:28:00,Московская,CSH,2024,69 days 21:38:00,100658.0,1087.0,0.15625
2,2024-03-12 03:05:00,Московская,CSH,2024,70 days 23:15:00,102195.0,1537.0,0.15848214285714285
2,2024-03-12 05:21:00,Московская,CSH,2024,71 days 01:31:00,102331.0,136.0,0.16071428571428573
2,2024-03-12 17:45:00,Московская,CSH,2024,71 days 13:55:00,103075.0,744.0,0.16294642857142858
2,2024-03-13 16:40:00,Московская,CSH,2024,72 days 12:50:00,104450.0,1375.0,0.16517857142857142
2,2024-03-14 08:50:00,Московская,CSH,2024,73 days 05:00:00,105420.0,970.0,0.16741071428571427
2,2024-03-14 14:40:00,Московская,CSH,2024,73 days 10:50:00,105770.0,350.0,0.16964285714285715
2,2024-03-15 05:29:00,Московская,CSH,2024,74 days 01:39:00,106659.0,889.0,0.171875
