CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
3,2024-01-03 13:01:00,Приволжская,CSH,2024,0 days 00:00:00,0.0,0.0,0.0
3,2024-01-04 16:10:00,Приволжская,CSH,2024,1 days 03:09:00,1629.0,1629.0,0.003115264797507788
3,2024-01-04 17:50:00,Приволжская,CSH,2024,1 days 04:49:00,1729.0,100.0,0.006230529595015576
3,2024-01-06 10:36:00,Приволжская,CSH,2024,2 days 21:35:00,4175.0,2446.0,0.009345794392523364
3,2024-01-06 12:05:00,Приволжская,CSH,2024,2 days 23:04:00,4264.0,89.0,0.012461059190031152
3,2024-01-06 13:30:00,Приволжская,CSH,2024,3 days 00:29:00,4349.0,85.0,0.01557632398753894
3,2024-01-06 18:25:00,Приволжская,CSH,2024,3 days 05:24:00,4644.0,295.0,0.018691588785046728
3,2024-01-07 03:24:00,Приволжская,CSH,2024,3 days 14:23:00,5183.0,539.0,0.021806853582554516
3,2024-01-09 03:20:00,Приволжская,CSH,2024,5 days 14:19:00,8059.0,2876.0,0.024922118380062305
3,2024-01-09 10:31:00,Приволжская,CSH,2024,5 days 21:30:00,8490.0,431.0,0.028037383177570093
3,2024-01-09 11:13:00,Приволжская,CSH,2024,5 days 22:12:00,8532.0,42.0,0.03115264797507788
3,2024-01-10 10:00:00,Приволжская,CSH,2024,6 days 20:59:00,9899.0,1367.0,0.03426791277258567
3,2024-01-10 21:11:00,Приволжская,CSH,2024,7 days 08:10:00,10570.0,671.0,0.037383177570093455
3,2024-01-11 07:14:00,Приволжская,CSH,2024,7 days 18:13:00,11173.0,603.0,0.040498442367601244
3,2024-01-11 22:22:00,Приволжская,CSH,2024,8 days 09:21:00,12081.0,908.0,0.04361370716510903
3,2024-01-12 16:27:00,Приволжская,CSH,2024,9 days 03:26:00,13166.0,1085.0,0.04672897196261682
3,2024-01-12 23:27:00,Приволжская,CSH,2024,9 days 10:26:00,13586.0,420.0,0.04984423676012461
3,2024-01-13 10:37:00,Приволжская,CSH,2024,9 days 21:36:00,14256.0,670.0,0.0529595015576324
3,2024-01-20 19:23:00,Приволжская,CSH,2024,17 days 06:22:00,24862.0,10606.0,0.056074766355140186
3,2024-01-22 00:09:00,Приволжская,CSH,2024,18 days 11:08:00,26588.0,1726.0,0.059190031152647975
3,2024-01-22 02:27:00,Приволжская,CSH,2024,18 days 13:26:00,26726.0,138.0,0.06230529595015576
3,2024-01-22 10:35:00,Приволжская,CSH,2024,18 days 21:34:00,27214.0,488.0,0.06542056074766354
3,2024-01-23 15:09:00,Приволжская,CSH,2024,20 days 02:08:00,28928.0,1714.0,0.06853582554517133
3,2024-01-24 00:55:00,Приволжская,CSH,2024,20 days 11:54:00,29514.0,586.0,0.07165109034267912
3,2024-01-24 14:23:00,Приволжская,CSH,2024,21 days 01:22:00,30322.0,808.0,0.07476635514018691
3,2024-01-28 20:05:00,Приволжская,CSH,2024,25 days 07:04:00,36424.0,6102.0,0.0778816199376947
3,2024-01-29 11:27:00,Приволжская,CSH,2024,25 days 22:26:00,37346.0,922.0,0.08099688473520249
3,2024-01-30 07:50:00,Приволжская,CSH,2024,26 days 18:49:00,38569.0,1223.0,0.08411214953271028
3,2024-01-31 18:16:00,Приволжская,CSH,2024,28 days 05:15:00,40635.0,2066.0,0.08722741433021806
3,2024-02-02 16:30:00,Приволжская,CSH,2024,30 days 03:29:00,43409.0,2774.0,0.09034267912772585
3,2024-02-04 03:54:00,Приволжская,CSH,2024,31 days 14:53:00,45533.0,2124.0,0.09345794392523364
3,2024-02-04 08:05:00,Приволжская,CSH,2024,31 days 19:04:00,45784.0,251.0,0.09657320872274143
3,2024-02-04 17:55:00,Приволжская,CSH,2024,32 days 04:54:00,46374.0,590.0,0.09968847352024922
3,2024-02-04 19:06:00,Приволжская,CSH,2024,32 days 06:05:00,46445.0,71.0,0.102803738317757
3,2024-02-05 20:44:00,Приволжская,CSH,2024,33 days 07:43:00,47983.0,1538.0,0.1059190031152648
3,2024-02-07 15:20:00,Приволжская,CSH,2024,35 days 02:19:00,50539.0,2556.0,0.10903426791277258
3,2024-02-07 20:06:00,Приволжская,CSH,2024,35 days 07:05:00,50825.0,286.0,0.11214953271028037
3,2024-02-08 18:15:00,Приволжская,CSH,2024,36 days 05:14:00,52154.0,1329.0,0.11526479750778816
3,2024-02-10 02:43:00,Приволжская,CSH,2024,37 days 13:42:00,54102.0,1948.0,0.11838006230529595
3,2024-02-10 11:00:00,Приволжская,CSH,2024,37 days 21:59:00,54599.0,497.0,0.12149532710280374
3,2024-02-15 02:26:00,Приволжская,CSH,2024,42 days 13:25:00,61285.0,6686.0,0.12461059190031153
3,2024-02-17 04:48:00,Приволжская,CSH,2024,44 days 15:47:00,64307.0,3022.0,0.1277258566978193
3,2024-02-18 02:40:00,Приволжская,CSH,2024,45 days 13:39:00,65619.0,1312.0,0.1308411214953271
3,2024-02-19 00:45:00,Приволжская,CSH,2024,46 days 11:44:00,66944.0,1325.0,0.13395638629283488
3,2024-02-20 18:55:00,Приволжская,CSH,2024,48 days 05:54:00,69474.0,2530.0,0.13707165109034267
3,2024-02-21 12:43:00,Приволжская,CSH,2024,48 days 23:42:00,70542.0,1068.0,0.14018691588785046
3,2024-02-25 12:30:00,Приволжская,CSH,2024,52 days 23:29:00,76289.0,5747.0,0.14330218068535824
3,2024-02-25 20:20:00,Приволжская,CSH,2024,53 days 07:19:00,76759.0,470.0,0.14641744548286603
3,2024-02-26 18:40:00,Приволжская,CSH,2024,54 days 05:39:00,78099.0,1340.0,0.14953271028037382
3,2024-02-26 19:48:00,Приволжская,CSH,2024,54 days 06:47:00,78167.0,68.0,0.1526479750778816
3,2024-02-27 20:20:00,Приволжская,CSH,2024,55 days 07:19:00,79639.0,1472.0,0.1557632398753894
3,2024-02-28 02:10:00,Приволжская,CSH,2024,55 days 13:09:00,79989.0,350.0,0.1588785046728972
3,2024-02-28 10:56:00,Приволжская,CSH,2024,55 days 21:55:00,80515.0,526.0,0.16199376947040497
3,2024-02-29 15:28:00,Приволжская,CSH,2024,57 days 02:27:00,82227.0,1712.0,0.16510903426791276
3,2024-03-02 12:31:00,Приволжская,CSH,2024,58 days 23:30:00,84930.0,2703.0,0.16822429906542055
3,2024-03-04 01:00:00,Приволжская,CSH,2024,60 days 11:59:00,87119.0,2189.0,0.17133956386292834
3,2024-03-05 11:22:00,Приволжская,CSH,2024,61 days 22:21:00,89181.0,2062.0,0.17445482866043613
3,2024-03-08 17:55:00,Приволжская,CSH,2024,65 days 04:54:00,93894.0,4713.0,0.17757009345794392
3,2024-03-10 13:50:00,Приволжская,CSH,2024,67 days 00:49:00,96529.0,2635.0,0.1806853582554517
3,2024-03-12 09:29:00,Приволжская,CSH,2024,68 days 20:28:00,99148.0,2619.0,0.1838006230529595
3,2024-03-12 12:55:00,Приволжская,CSH,2024,68 days 23:54:00,99354.0,206.0,0.18691588785046728
3,2024-03-14 01:00:00,Приволжская,CSH,2024,70 days 11:59:00,101519.0,2165.0,0.19003115264797507
3,2024-03-14 18:55:00,Приволжская,CSH,2024,71 days 05:54:00,102594.0,1075.0,0.19314641744548286
3,2024-03-15 11:42:00,Приволжская,CSH,2024,71 days 22:41:00,103601.0,1007.0,0.19626168224299065
3,2024-03-15 15:14:00,Приволжская,CSH,2024,72 days 02:13:00,103813.0,212.0,0.19937694704049844
3,2024-03-15 20:16:00,Приволжская,CSH,2024,72 days 07:15:00,104115.0,302.0,0.20249221183800623
