ROAD,SEASON,EVENT_COUNT
Восточно-Сибирская,winter,311
Восточно-Сибирская,spring,304
Восточно-Сибирская,summer,454
Восточно-Сибирская,autumn,286
Горьковская,winter,181
Горьковская,spring,211
Горьковская,summer,162
Горьковская,autumn,138
Дальневосточная,winter,202
Дальневосточная,spring,206
Дальневосточная,summer,302
Дальневосточная,autumn,198
Забайкальская,winter,194
Забайкальская,spring,170
Забайкальская,summer,210
Забайкальская,autumn,195
Западно-Сибирская,winter,291
Западно-Сибирская,spring,230
Западно-Сибирская,summer,316
Западно-Сибирская,autumn,242
Калининградская,winter,9
Калининградская,spring,16
Калининградская,summer,15
Калининградская,autumn,8
Красноярская,winter,165
Красноярская,spring,170
Красноярская,summer,220
Красноярская,autumn,189
Куйбышевская,winter,36
Куйбышевская,spring,23
Куйбышевская,summer,32
Куйбышевская,autumn,24
Московская,winter,218
Московская,spring,193
Московская,summer,255
Московская,autumn,183
Октябрьская,winter,509
Октябрьская,spring,397
Октябрьская,summer,684
Октябрьская,autumn,416
Приволжская,winter,104
Приволжская,spring,130
Приволжская,summer,112
Приволжская,autumn,121
Свердловская,winter,236
Свердловская,spring,201
Свердловская,summer,213
Свердловская,autumn,201
Северная,winter,104
Северная,spring,102
Северная,summer,124
Северная,autumn,109
Северо-Кавказская,winter,180
Северо-Кавказская,spring,157
Северо-Кавказская,summer,222
Северо-Кавказская,autumn,178
Юго-Восточная,winter,45
Юго-Восточная,spring,37
Юго-Восточная,summer,50
Юго-Восточная,autumn,36
Южно-Уральская,winter,82
Южно-Уральская,spring,91
Южно-Уральская,summer,100
Южно-Уральская,autumn,121
