DEPARTMENT,YEAR,ROAD,COUNT
CSH,2024,Октябрьская,1550
CSH,2023,Октябрьская,1124
CSH,2024,Восточно-Сибирская,999
CSH,2023,Восточно-Сибирская,863
CSH,2023,Западно-Сибирская,808
CSH,2024,Дальневосточная,805
CSH,2024,Западно-Сибирская,791
CSH,2024,Московская,727
CSH,2024,Северо-Кавказская,718
CSH,2023,Дальневосточная,716
CSH,2023,Московская,700
CSH,2023,Горьковская,685
CSH,2024,Горьковская,684
CSH,2024,Свердловская,684
CSH,2023,Свердловская,639
CSH,2023,Северо-Кавказская,598
CSH,2024,Красноярская,535
CSH,2024,Забайкальская,506
CSH,2024,Приволжская,467
CSH,2023,Красноярская,462
CV,2023,Восточно-Сибирская,417
CSH,2023,Забайкальская,397
CSH,2024,Северная,378
CT,2024,Октябрьская,366
CSH,2023,Приволжская,357
CV,2024,Восточно-Сибирская,311
CSH,2023,Северная,304
CV,2023,Забайкальская,260
CV,2024,Забайкальская,245
CSH,2024,Южно-Уральская,238
CSH,2023,Южно-Уральская,230
CT,2023,Октябрьская,195
CV,2023,Западно-Сибирская,195
CV,2024,Западно-Сибирская,191
CV,2024,Красноярская,178
CSH,2024,Юго-Восточная,146
CV,2024,Южно-Уральская,136
CV,2023,Южно-Уральская,130
CV,2023,Дальневосточная,126
CSH,2023,Юго-Восточная,122
CV,2023,Красноярская,120
CT,2024,Московская,108
CV,2023,Свердловская,104
CV,2024,Свердловская,100
CT,2023,Московская,99
CT,2024,Западно-Сибирская,97
CV,2024,Дальневосточная,95
CV,2024,Октябрьская,90
CV,2023,Октябрьская,86
CT,2023,Западно-Сибирская,78
CSH,2024,Куйбышевская,77
CT,2024,Свердловская,67
CSH,2023,Куйбышевская,65
CV,2023,Северная,65
CV,2024,Северная,55
CSH,2024,Калининградская,47
CT,2023,Восточно-Сибирская,47
CT,2024,Восточно-Сибирская,45
CV,2023,Куйбышевская,43
CSH,2023,Калининградская,34
CT,2023,Красноярская,33
CT,2024,Красноярская,31
CT,2023,Северо-Кавказская,29
CV,2024,Куйбышевская,28
CT,2023,Свердловская,25
CT,2023,Забайкальская,22
CT,2024,Южно-Уральская,20
CT,2024,Забайкальская,18
CV,2023,Московская,18
CT,2024,Северо-Кавказская,16
CV,2023,Юго-Восточная,15
CV,2024,Московская,14
CV,2024,Юго-Восточная,12
CT,2024,Куйбышевская,10
CT,2024,Юго-Восточная,10
CV,2023,Горьковская,10
CV,2023,Северо-Кавказская,10
CT,2023,Юго-Восточная,9
CT,2023,Южно-Уральская,8
CT,2024,Дальневосточная,8
CT,2023,Горьковская,6
CT,2024,Северная,6
CT,2023,Куйбышевская,5
CT,2023,Дальневосточная,4
CT,2023,Северная,4
CT,2024,Горьковская,4
CV,2023,Приволжская,4
CV,2024,Горьковская,4
CV,2024,Северо-Кавказская,3
CT,2023,Калининградская,1
CT,2023,Приволжская,1
CT,2024,Калининградская,1
