DEPARTMENT,YEAR,ROAD,CATEGORY,COUNT
CSH,2024,Октябрьская,3,962
CSH,2024,Восточно-Сибирская,3,757
CSH,2023,Восточно-Сибирская,3,668
CSH,2023,Октябрьская,3,632
CSH,2024,Северо-Кавказская,3,557
CSH,2024,Октябрьская,2,530
CSH,2023,Западно-Сибирская,3,512
CSH,2023,Октябрьская,2,476
CSH,2024,Западно-Сибирская,3,473
CSH,2023,Северо-Кавказская,3,472
CSH,2024,Дальневосточная,3,463
CSH,2024,Московская,2,434
CSH,2023,Московская,2,415
CSH,2023,Дальневосточная,3,400
CSH,2023,Горьковская,3,398
CSH,2023,Свердловская,3,366
CSH,2024,Горьковская,3,349
CSH,2024,Свердловская,3,347
CSH,2024,Приволжская,3,321
CSH,2024,Горьковская,2,318
CSH,2024,Красноярская,3,295
CSH,2024,Дальневосточная,2,282
CSH,2024,Забайкальская,2,281
CSH,2024,Свердловская,2,275
CSH,2023,Горьковская,2,265
CSH,2023,Дальневосточная,2,256
CSH,2023,Западно-Сибирская,2,254
CSH,2023,Красноярская,3,254
CSH,2024,Западно-Сибирская,2,253
CSH,2024,Московская,3,250
CT,2024,Октябрьская,3,243
CSH,2023,Свердловская,2,242
CSH,2023,Московская,3,239
CSH,2023,Приволжская,3,231
CV,2023,Восточно-Сибирская,2,219
CSH,2023,Забайкальская,2,218
CSH,2024,Красноярская,2,216
CSH,2024,Восточно-Сибирская,2,203
CV,2024,Восточно-Сибирская,2,198
CSH,2023,Красноярская,2,189
CV,2023,Восточно-Сибирская,3,189
CSH,2024,Северная,3,187
CSH,2024,Северная,2,161
CSH,2024,Северо-Кавказская,2,161
CSH,2023,Восточно-Сибирская,2,154
CSH,2023,Южно-Уральская,3,152
CSH,2023,Северная,3,149
CSH,2024,Южно-Уральская,3,147
CSH,2024,Приволжская,2,138
CV,2023,Забайкальская,2,138
CV,2023,Западно-Сибирская,3,137
CSH,2023,Северная,2,131
CV,2024,Западно-Сибирская,3,131
CT,2023,Октябрьская,3,129
