iter	Passed	Remaining
0	2	8576
1	5	7760
2	7	7434
3	9	7298
4	12	7243
5	14	7231
6	16	7215
7	19	7218
8	21	7224
9	24	7216
10	26	7202
11	28	7184
12	31	7169
13	33	7187
14	36	7230
15	38	7212
16	41	7200
17	43	7176
18	45	7149
19	45	6850
20	48	6870
21	50	6878
22	53	6882
23	54	6787
24	57	6795
25	59	6808
26	61	6823
27	64	6860
28	66	6859
29	69	6870
30	71	6858
31	74	6870
32	76	6873
33	78	6878
34	81	6878
35	83	6883
36	86	6937
37	89	7004
38	93	7121
39	96	7117
40	97	7017
41	99	7009
42	101	7005
43	104	7009
44	106	7012
45	109	7018
46	111	7015
47	114	7041
48	116	7044
49	119	7051
50	122	7054
51	124	7060
52	126	7057
53	129	7077
54	130	6981
55	133	6999
56	133	6916
57	136	6921
58	137	6859
59	139	6859
60	142	6862
61	144	6865
62	147	6875
63	149	6876
64	152	6878
65	154	6850
66	156	6852
67	158	6849
68	161	6849
69	163	6849
70	166	6850
71	168	6852
72	170	6855
73	172	6825
74	175	6832
75	177	6832
76	180	6840
77	182	6842
78	184	6839
79	187	6840
80	189	6842
81	192	6844
82	194	6846
83	197	6849
84	199	6852
85	202	6852
86	204	6850
87	206	6822
88	208	6827
89	211	6843
90	214	6852
91	216	6854
92	219	6852
93	221	6850
94	224	6850
95	226	6848
96	228	6848
97	231	6854
98	233	6856
99	236	6851
100	237	6815
101	239	6815
102	241	6778
103	242	6754
104	244	6753
105	246	6716
106	248	6716
107	250	6697
108	251	6676
109	254	6687
110	257	6701
111	258	6669
112	261	6672
113	263	6675
114	266	6680
115	267	6661
116	269	6641
117	272	6646
118	274	6650
119	277	6653
120	279	6658
121	282	6660
122	285	6666
123	287	6669
124	290	6671
125	292	6673
126	295	6675
127	297	6678
128	300	6684
129	300	6642
130	303	6647
131	304	6619
132	307	6621
133	309	6626
134	312	6631
135	314	6631
136	315	6599
137	318	6601
138	320	6603
139	323	6608
140	326	6611
141	328	6616
142	331	6619
143	333	6623
144	336	6624
145	339	6630
146	341	6633
147	344	6637
148	346	6638
149	349	6640
150	352	6645
151	354	6646
152	357	6648
153	358	6627
154	359	6604
155	362	6606
156	364	6607
157	367	6609
158	369	6610
159	372	6610
160	374	6611
161	377	6612
162	380	6616
163	382	6618
164	385	6621
165	387	6623
166	390	6625
167	393	6627
168	395	6631
169	398	6634
170	400	6633
171	403	6635
172	404	6608
173	406	6594
174	408	6595
175	411	6596
176	413	6597
177	416	6599
178	418	6601
179	421	6603
180	423	6591
181	425	6591
182	426	6570
183	429	6571
184	431	6572
185	434	6572
186	437	6574
187	439	6576
188	442	6576
189	443	6564
190	446	6564
191	448	6566
192	450	6553
193	451	6536
194	454	6537
195	457	6539
196	459	6541
197	462	6539
198	464	6539
199	467	6541
200	469	6542
201	472	6542
202	473	6523
203	475	6523
204	478	6525
205	481	6528
206	483	6529
207	486	6532
208	488	6521
209	490	6522
210	493	6523
211	496	6524
212	497	6507
213	499	6506
214	501	6489
215	503	6490
216	506	6492
217	508	6494
218	511	6496
219	514	6497
220	515	6477
221	517	6479
222	519	6467
223	522	6470
224	524	6472
225	527	6473
226	530	6474
227	532	6476
228	535	6476
229	537	6477
230	540	6477
231	543	6479
232	545	6481
233	548	6484
234	551	6484
235	553	6477
236	554	6460
237	555	6449
238	558	6455
239	562	6470
240	563	6455
241	566	6455
242	568	6455
243	571	6454
244	574	6454
245	576	6454
246	578	6444
247	580	6443
248	583	6447
249	586	6446
250	588	6447
251	591	6448
252	593	6448
253	596	6451
254	599	6452
255	602	6455
256	604	6454
257	607	6455
258	609	6454
259	612	6452
260	614	6451
261	617	6450
262	619	6451
263	622	6454
264	624	6444
265	626	6443
266	629	6444
267	632	6443
268	633	6434
269	636	6432
270	638	6432
271	641	6435
