indicator,road,model_type,MAPE_test_%,SMAPE_test_%,AIC,resid_std,features_n
train_km,Окт,CatBoost,6.108407523604561,6.04274266697809,375.22625550418365,981310.6125106052,22
train_km,Клнг,CatBoost,11.651556819856319,12.6229617516096,356.62426176443324,289515.3244964686,22
train_km,Заб,CatBoost,10.444165784413242,10.681054194121554,383.16192579695786,1343465.82006628,22
train_km,Двост,CatBoost,14.110220055770526,14.300229999177274,386.6173921420081,1457408.123089014,22
loss_12,Окт,CatBoost,577.3298125826229,60.60355434395765,196.9074464321421,522.935571434429,22
loss_12,Клнг,CatBoost,1686840995286.085,98.30475857204624,160.92623535431156,120.09866112192267,22
loss_12,Заб,CatBoost,38789175654586.49,128.21381498146113,223.12268158432295,1707.954758746645,22
loss_12,Двост,CatBoost,33909391223851.484,107.85596061296332,220.0911121303483,1528.574355894052,22
loss_3,Окт,CatBoost,5104131905907.024,116.27912771590572,172.3770389846007,209.3226537974712,22
loss_3,Клнг,CatBoost,1002090634630.0547,130.78201568036744,154.69296723487486,89.92761402096143,22
loss_3,Заб,CatBoost,14561526524877.172,153.4393893958832,192.5574720294715,475.6302175550711,22
loss_3,Двост,CatBoost,8310128130509.6,113.63825344792895,181.5497601455202,308.3476819568278,22
loss_tech,Окт,CatBoost,13354221505846.773,103.38628297604262,206.29207108494035,748.3333558501334,22
loss_tech,Клнг,CatBoost,2078659619275.0354,106.57910541241485,171.30766931547748,199.1328805159189,22
loss_tech,Заб,CatBoost,44353591952319.6,102.78887773295705,228.43366844281056,2170.3169749685867,22
loss_tech,Двост,CatBoost,25150251758563.19,102.72098676030745,221.31661684263275,1471.9637398828363,22
loss_total,Окт,CatBoost,1773.570464562851,56.50642538701961,211.69381717852272,982.8174970723499,22
loss_total,Клнг,CatBoost,1133399897551.6711,76.26472782843251,176.5036792740221,246.17041441745047,22
loss_total,Заб,CatBoost,24052331089321.41,72.48703185469142,235.61996684787144,2932.541339394978,22
loss_total,Двост,CatBoost,222.62135541422654,69.25273556478912,228.5125784677221,2140.838869858284,22
specific,Окт,CatBoost,823.5850785745919,46.25861503127345,146.78107561326297,56.35150278596036,24
specific,Клнг,CatBoost,400859875904.3526,58.12939369510086,151.59283384443788,70.71440330496011,24
specific,Заб,CatBoost,1748301344339.2815,54.38030855531923,174.32198890716992,189.16990456955241,24
specific,Двост,CatBoost,130.31938187875448,58.94198676853214,171.73485382654735,171.62425704033208,24
