indicator,road,SMAPE_ETS,SMAPE_CatBoost,Improvement_%
loss_12,В-Сиб,84.4836,81.6782,3.32
loss_12,Горьк,70.3245,71.0954,-1.1
loss_12,Двост,115.2326,107.856,6.4
loss_12,Двост,115.2326,107.856,6.4
loss_12,Двост,115.2326,107.856,6.4
loss_12,Двост,115.2326,107.856,6.4
loss_12,Двост,115.2326,107.856,6.4
loss_12,Двост,115.2326,107.856,6.4
loss_12,Двост,115.2326,107.856,6.4
loss_12,Двост,115.2326,107.856,6.4
loss_12,З-Сиб,100.3759,105.9911,-5.59
loss_12,Заб,136.0687,128.2138,5.77
loss_12,Заб,136.0687,128.2138,5.77
loss_12,Заб,136.0687,128.2138,5.77
loss_12,Заб,136.0687,128.2138,5.77
loss_12,Заб,136.0687,128.2138,5.77
loss_12,Заб,136.0687,128.2138,5.77
loss_12,Заб,136.0687,128.2138,5.77
loss_12,Заб,136.0687,128.2138,5.77
loss_12,Кбш,49.3274,60.2556,-22.15
loss_12,Клнг,88.0651,98.3048,-11.63
loss_12,Клнг,88.0651,98.3048,-11.63
loss_12,Клнг,88.0651,98.3048,-11.63
loss_12,Клнг,88.0651,98.3048,-11.63
loss_12,Клнг,88.0651,98.3048,-11.63
loss_12,Клнг,88.0651,98.3048,-11.63
loss_12,Клнг,88.0651,98.3048,-11.63
loss_12,Клнг,88.0651,98.3048,-11.63
loss_12,Крас,100.6215,105.2491,-4.6
loss_12,Моск,53.1845,64.4303,-21.14
loss_12,Окт,68.2348,60.6036,11.18
loss_12,Окт,68.2348,60.6036,11.18
loss_12,Окт,68.2348,60.6036,11.18
loss_12,Окт,68.2348,60.6036,11.18
loss_12,Окт,68.2348,60.6036,11.18
loss_12,Окт,68.2348,60.6036,11.18
loss_12,Окт,68.2348,60.6036,11.18
loss_12,Окт,68.2348,60.6036,11.18
loss_12,Прив,43.4809,51.9451,-19.47
loss_12,С-Кав,89.975,105.6046,-17.37
loss_12,Сверд,104.6338,113.7767,-8.74
loss_12,Сев,71.9594,70.6374,1.84
loss_12,Ю-Вост,52.1623,58.5211,-12.19
loss_12,Ю-Ур,92.4888,71.8328,22.33
loss_3,В-Сиб,106.5255,111.3121,-4.49
loss_3,Горьк,80.2969,104.8898,-30.63
loss_3,Двост,117.4466,113.6383,3.24
loss_3,Двост,117.4466,113.6383,3.24
loss_3,Двост,117.4466,113.6383,3.24
loss_3,Двост,117.4466,113.6383,3.24
loss_3,Двост,117.4466,113.6383,3.24
loss_3,Двост,117.4466,113.6383,3.24
loss_3,Двост,117.4466,113.6383,3.24
loss_3,Двост,117.4466,113.6383,3.24
loss_3,З-Сиб,115.3995,116.324,-0.8
loss_3,Заб,136.3849,153.4394,-12.5
