road,date,forecast,lower_95,upper_95
Окт,2026-01-01,175.296570205731,140.58621940264845,210.00692100881355
Окт,2026-02-01,158.73103833408157,124.02068753099903,193.44138913716412
Окт,2026-03-01,164.06112727018768,129.35077646710513,198.77147807327023
Окт,2026-04-01,190.7997519847668,156.08940118168425,225.51010278784935
Окт,2026-05-01,176.19739812733675,141.4870473242542,210.9077489304193
Окт,2026-06-01,165.33258121979932,130.62223041671677,200.04293202288187
Окт,2026-07-01,172.75299166396013,138.04264086087758,207.46334246704268
Окт,2026-08-01,172.46593046173385,137.7555796586513,207.1762812648164
Окт,2026-09-01,161.74635627440585,127.0360054713233,196.4567070774884
Окт,2026-10-01,155.53326467108468,120.82291386800213,190.24361547416723
Окт,2026-11-01,163.9596356937391,129.24928489065655,198.66998649682165
Окт,2026-12-01,157.47183302997783,122.76148222689528,192.18218383306038
Клнг,2026-01-01,21.15901486855124,16.27869046538428,26.039339271718198
Клнг,2026-02-01,22.374932236495713,17.494607833328757,27.25525663966267
Клнг,2026-03-01,24.252181588695223,19.371857185528263,29.132505991862182
Клнг,2026-04-01,29.47531339942146,24.5949889962545,34.35563780258842
Клнг,2026-05-01,24.19429858385089,19.313974180683935,29.074622987017847
Клнг,2026-06-01,23.38177739411034,18.501452990943385,28.262101797277296
Клнг,2026-07-01,20.376764870865756,15.496440467698799,25.257089274032715
Клнг,2026-08-01,17.29871299098778,12.418388587820823,22.17903739415474
Клнг,2026-09-01,17.500085183567666,12.619760780400709,22.380409586734622
Клнг,2026-10-01,15.684196923852102,10.803872520685145,20.564521327019058
Клнг,2026-11-01,16.937201192813447,12.05687678964649,21.817525595980406
Клнг,2026-12-01,18.388624502307653,13.508300099140696,23.26894890547461
Моск,2026-01-01,144.51495383375305,97.91325985117837,191.11664781632774
Моск,2026-02-01,168.19888490719723,121.59719092462254,214.8005788897719
Моск,2026-03-01,166.22891306383258,119.62721908125789,212.83060704640727
Моск,2026-04-01,211.7060619774999,165.1043679949252,258.3077559600746
Моск,2026-05-01,193.81843237363393,147.21673839105924,240.4201263562086
Моск,2026-06-01,181.6328825449596,135.03118856238493,228.2345765275343
Моск,2026-07-01,157.01784861455386,110.41615463197917,203.61954259712854
Моск,2026-08-01,151.9584839065529,105.35678992397823,198.5601778891276
Моск,2026-09-01,136.32357439553644,89.72188041296175,182.92526837811113
Моск,2026-10-01,186.03293690758576,139.43124292501108,232.63463089016045
Моск,2026-11-01,125.90351286510567,79.30181888253097,172.50520684768037
Моск,2026-12-01,118.45391461862795,71.85222063605326,165.05560860120264
Горьк,2026-01-01,129.8800819700532,107.16186378025553,152.59830015985088
Горьк,2026-02-01,117.80988966180585,95.09167147200819,140.52810785160352
Горьк,2026-03-01,135.37012872749904,112.65191053770137,158.08834691729672
Горьк,2026-04-01,124.0145522561725,101.29633406637483,146.73277044597017
Горьк,2026-05-01,118.25373937622797,95.5355211864303,140.97195756602565
Горьк,2026-06-01,125.84891597103066,103.130697781233,148.56713416082835
Горьк,2026-07-01,118.68596506603306,95.9677468762354,141.40418325583073
Горьк,2026-08-01,121.09252848998793,98.37431030019026,143.8107466797856
Горьк,2026-09-01,131.3250043249542,108.60678613515653,154.04322251475187
Горьк,2026-10-01,107.8845809181378,85.16636272834013,130.60279910793548
Горьк,2026-11-01,110.83958045697887,88.1213622671812,133.55779864677655
Горьк,2026-12-01,120.48929193042412,97.77107374062645,143.2075101202218
