indicator,road,date,forecast,lower_95,upper_95
loss_3,Окт,2026-01-01,217.02357463161556,-172.24919324927973,606.2963425125108
loss_3,Окт,2026-02-01,311.1894121040418,-78.08335577685347,700.4621799849372
loss_3,Окт,2026-03-01,347.4580235952983,-41.81474428559699,736.7307914761936
loss_3,Окт,2026-04-01,604.6584369232363,215.38566904234102,993.9312048041315
loss_3,Окт,2026-05-01,536.1815786425922,146.90881076169688,925.4543465234874
loss_3,Окт,2026-06-01,428.43629546858347,39.16352758768818,817.7090633494788
loss_3,Окт,2026-07-01,286.76182224678206,-102.51094563411323,676.0345901276773
loss_3,Окт,2026-08-01,54.158913094939294,-335.113854785956,443.4316809758346
loss_3,Окт,2026-09-01,49.94617486176213,-339.32659301913316,439.2189427426574
loss_3,Окт,2026-10-01,33.49485681167474,-355.7779110692205,422.76762469257005
loss_3,Окт,2026-11-01,31.24466120529658,-358.0281066755987,420.5174290861919
loss_3,Окт,2026-12-01,63.41731670239878,-325.85545117849654,452.69008458329404
loss_3,Клнг,2026-01-01,49.59159948915512,-108.62056200685544,207.8037609851657
loss_3,Клнг,2026-02-01,120.5037114950022,-37.70845000100837,278.71587299101276
loss_3,Клнг,2026-03-01,145.48881597544957,-12.723345520560997,303.70097747146013
loss_3,Клнг,2026-04-01,117.6898287398578,-40.522332756152764,275.90199023586837
loss_3,Клнг,2026-05-01,129.38097632935438,-28.831185166656184,287.5931378253649
loss_3,Клнг,2026-06-01,42.8813126844459,-115.33084881156466,201.09347418045647
loss_3,Клнг,2026-07-01,50.585618453761654,-107.62654304224891,208.79777994977223
loss_3,Клнг,2026-08-01,28.919364207348636,-129.29279728866192,187.13152570335922
loss_3,Клнг,2026-09-01,16.26644922591604,-141.94571227009453,174.4786107219266
loss_3,Клнг,2026-10-01,17.50211445561139,-140.71004704039916,175.71427595162197
loss_3,Клнг,2026-11-01,24.366995647371112,-133.84516584863945,182.57915714338168
loss_3,Клнг,2026-12-01,42.36062424054113,-115.85153725546944,200.57278573655168
loss_3,Заб,2026-01-01,420.0422427009175,-268.0567604022546,1108.1412458040895
loss_3,Заб,2026-02-01,360.4595276508502,-327.6394754523219,1048.5585307540223
loss_3,Заб,2026-03-01,747.09051119934,58.99150809616788,1435.1895143025122
loss_3,Заб,2026-04-01,948.3963675496482,260.2973644464761,1636.4953706528204
loss_3,Заб,2026-05-01,1075.0954826779453,386.99647957477316,1763.1944857811172
loss_3,Заб,2026-06-01,475.68423458779307,-212.41476851537902,1163.783237690965
loss_3,Заб,2026-07-01,199.07905669028108,-489.01994641289104,887.1780597934531
loss_3,Заб,2026-08-01,-0.3808071228502854,-688.4798102260224,687.7181959803218
loss_3,Заб,2026-09-01,-0.8337036495551615,-688.9327067527272,687.265299453617
loss_3,Заб,2026-10-01,6.0764971746712035,-682.0225059285009,694.1755002778433
loss_3,Заб,2026-11-01,-37.76690996066503,-725.8659130638371,650.3320931425071
loss_3,Заб,2026-12-01,67.38159195577725,-620.7174111473948,755.4805950589493
loss_3,Двост,2026-01-01,182.69738788045458,-463.63990159438924,829.0346773552984
loss_3,Двост,2026-02-01,595.8766959213476,-50.46059355349621,1242.2139853961914
loss_3,Двост,2026-03-01,503.41271178767454,-142.9245776871693,1149.7500012625183
loss_3,Двост,2026-04-01,940.4875616260148,294.15027215117095,1586.8248511008587
loss_3,Двост,2026-05-01,518.4030045936167,-127.93428488122709,1164.7402940684606
loss_3,Двост,2026-06-01,537.5794004675884,-108.75788900725547,1183.9166899424322
loss_3,Двост,2026-07-01,401.688614121495,-244.64867535334884,1048.0259035963388
loss_3,Двост,2026-08-01,66.9582816596187,-579.3790078152251,713.2955711344625
loss_3,Двост,2026-09-01,121.50039389983172,-524.8368955750121,767.8376833746755
loss_3,Двост,2026-10-01,50.37059628090731,-595.9666931939365,696.7078857557511
loss_3,Двост,2026-11-01,104.29505144352387,-542.0422380313199,750.6323409183677
loss_3,Двост,2026-12-01,134.49240305184222,-511.84488642300164,780.829692526686
