indicator,road,model_type,MAPE_test_%,SMAPE_test_%,AIC,resid_std
loss_tech,Окт,AAA,9149754034145.7,93.00531143737877,1191.1230184754793,837.3786084023268
loss_tech,Клнг,AAA,897513249392.4429,108.5066932471279,895.5581819596256,194.41057359939086
loss_tech,Моск,AAA,16753840836637.424,135.67848280536225,1187.0642040943583,1941.8095966136364
loss_tech,Горьк,AAA,332763916008.05133,89.75268092238368,1059.8326531877788,695.4872698182378
loss_tech,Сев,AAA,7158419506994.38,100.61418888861542,1150.816623965333,653.0984176853362
loss_tech,С-Кав,AAA,1818132479522.096,79.65916412436448,1186.323272596354,621.1252587033019
loss_tech,Ю-Вост,AAA,3393052422315.601,114.98178301154185,1018.7556750111751,391.48654686591414
loss_tech,Прив,AAA,21718248925363.574,96.01618503169674,1245.7109564199086,1580.6523475041279
loss_tech,Кбш,AAA,20287018002526.348,78.51682964358636,1156.7984416555114,679.9386688087336
loss_tech,Сверд,AAA,12017824948128.762,124.85225320300853,1182.0914791131302,1510.466899736281
loss_tech,Ю-Ур,AAA,1362452836847.2747,88.53031428470342,1121.0295910051711,616.909883829653
loss_tech,З-Сиб,AAA,6030394581269.162,79.19768158580564,1118.549996903078,790.6853117422291
loss_tech,Крас,AAA,12256448324011.346,82.531759525452,1067.2427008348657,448.54761930492276
loss_tech,В-Сиб,AAA,18942022773743.09,79.85658508505759,1143.7266641467309,608.3695948432082
loss_tech,Заб,AAA,50619502260476.63,98.08517566393475,1269.0553857653003,2318.5542490744433
loss_tech,Двост,AAA,22943622712556.47,80.34346327665799,1260.1609445509641,1168.0409985329898
