indicator,road,model_type,MAPE_test_%,SMAPE_test_%,AIC,resid_std
specific,Окт,AAA,875.2475615855831,50.164461730614754,769.8428165466134,68.67020012766051
specific,Клнг,AAA,455168098623.5728,73.5849224458883,776.6559962540952,65.03468653739144
specific,Моск,AAA,44.26487730026289,53.27769288350839,821.6392497196691,135.68313403583613
specific,Горьк,AAA,133.63879580348384,59.00218833159025,753.6086159942336,123.3752067670701
specific,Сев,AAA,1540.055132443364,54.635622756807614,837.7437282626028,104.07796031729569
specific,С-Кав,AAA,2434986678206.7993,75.27252538289588,921.6863645523435,207.6397857715042
specific,Ю-Вост,AAA,290315950047.8066,59.54697855934595,785.7635730814272,103.37845784965087
specific,Прив,AAA,80.33093700265125,42.60435143575076,758.1712779680977,69.42636663357497
specific,Кбш,AAA,1469921795091.7366,52.714118039094416,826.9332895736565,108.42653147239945
specific,Сверд,AAA,763420188353.0967,84.32469943126408,847.1194942842044,158.05701432502335
specific,Ю-Ур,AAA,38.576425967723,50.80431266069861,828.3387439726338,213.03379907816188
specific,З-Сиб,AAA,1520800759764.3455,47.13817415613015,804.384179174566,125.32564154128428
specific,Крас,AAA,4225276325702.519,81.132654505131,798.8281955798954,120.64256747752118
specific,В-Сиб,AAA,1187917023344.497,51.12478147225136,834.3710635947178,111.68587228009537
specific,Заб,AAA,1550069822920.6404,60.118945296523165,941.3920400021273,194.53936344978314
specific,Двост,AAA,157.47093125968777,68.34711891678852,943.2580898943418,266.84405302047134
