indicator,road,date,forecast,lower_95,upper_95
specific,Окт,2026-01-01,216.9807880268436,82.38719577662903,351.5743802770582
specific,Окт,2026-02-01,263.9322613756396,129.338669125425,398.5258536258542
specific,Окт,2026-03-01,319.79510239316426,185.20151014294967,454.3886946433788
specific,Окт,2026-04-01,444.05003369355575,309.4564414433412,578.6436259437703
specific,Окт,2026-05-01,391.8235225528138,257.2299303025992,526.4171148030284
specific,Окт,2026-06-01,251.76806344381112,117.17447119359653,386.36165569402567
specific,Окт,2026-07-01,215.7555906790964,81.16199842888182,350.349182929311
specific,Окт,2026-08-01,101.72706330079328,-32.86652894942131,236.32065555100786
specific,Окт,2026-09-01,65.45573661266152,-69.13785563755306,200.0493288628761
specific,Окт,2026-10-01,49.04583625352967,-85.54775599668491,183.63942850374426
specific,Окт,2026-11-01,97.08466942066342,-37.50892282955117,231.678261670878
specific,Окт,2026-12-01,93.93105255082736,-40.662539699387224,228.52464480104194
specific,Клнг,2026-01-01,169.72469084686455,42.256705233577335,297.19267646015174
specific,Клнг,2026-02-01,294.01100181359874,166.5430162003115,421.47898742688596
specific,Клнг,2026-03-01,363.0743499052859,235.60636429199866,490.5423355185731
specific,Клнг,2026-04-01,434.6499709990004,307.1819853857132,562.1179566122876
specific,Клнг,2026-05-01,262.87984825466134,135.4118626413741,390.34783386794857
specific,Клнг,2026-06-01,242.21595635828112,114.7479707449939,369.68394197156834
specific,Клнг,2026-07-01,118.70718697860912,-8.760798634678096,246.17517259189634
specific,Клнг,2026-08-01,14.642706052971079,-112.82527956031613,142.11069166625828
specific,Клнг,2026-09-01,37.72884141542073,-89.73914419786648,165.19682702870796
specific,Клнг,2026-10-01,35.8201676826107,-91.64781793067651,163.28815329589793
specific,Клнг,2026-11-01,28.168755836476606,-99.2992297768106,155.6367414497638
specific,Клнг,2026-12-01,55.75525617429159,-71.71272943899562,183.2232417875788
specific,Заб,2026-01-01,375.24594807534,-6.051204286234963,756.543100436915
specific,Заб,2026-02-01,559.0002009051076,177.70304854353265,940.2973532666825
specific,Заб,2026-03-01,812.2739306935143,430.9767783319394,1193.5710830550893
specific,Заб,2026-04-01,686.5199816112372,305.22282924966225,1067.8171339728121
specific,Заб,2026-05-01,746.2321508693128,364.9349985077379,1127.5293032308878
specific,Заб,2026-06-01,650.9772457368805,269.68009337530555,1032.2743980984555
specific,Заб,2026-07-01,497.02962139768414,115.7324690361092,878.3267737592591
specific,Заб,2026-08-01,136.65303683555504,-244.6441155260199,517.9501891971299
specific,Заб,2026-09-01,172.78523780063955,-208.5119145609354,554.0823901622146
specific,Заб,2026-10-01,100.13294231231907,-281.16421004925587,481.430094673894
specific,Заб,2026-11-01,35.265428664118474,-346.03172369745647,416.5625810256934
specific,Заб,2026-12-01,240.85098062640907,-140.44617173516588,622.148132987984
specific,Двост,2026-01-01,573.6713686134494,50.65702469332564,1096.6857125335732
specific,Двост,2026-02-01,751.3539609443251,228.3396170242013,1274.3683048644489
specific,Двост,2026-03-01,730.7519101139824,207.73756619385858,1253.7662540341062
specific,Двост,2026-04-01,901.7683630924116,378.7540191722878,1424.7827070125354
specific,Двост,2026-05-01,748.6463280043565,225.63198408423273,1271.6606719244803
specific,Двост,2026-06-01,753.6713106995503,230.6569667794265,1276.685654619674
specific,Двост,2026-07-01,420.5068551098008,-102.50748881032297,943.5211990299247
specific,Двост,2026-08-01,428.8334081049758,-94.18093581514802,951.8477520250996
specific,Двост,2026-09-01,167.89419163725705,-355.12015228286674,690.9085355573809
specific,Двост,2026-10-01,72.6463598467808,-450.367984073343,595.6607037669046
specific,Двост,2026-11-01,139.55519252380122,-383.45915139632257,662.569536443925
specific,Двост,2026-12-01,175.0396586378261,-347.9746852822977,698.0540025579498
