UNIQUE WEEK,SUMM
2023-01-02,1939
2023-01-09,704
2023-01-16,824
2023-01-23,1008
2023-01-30,940
2023-02-06,359
2023-02-13,1709
2023-02-20,558
2023-02-27,233
2023-03-06,571
2023-03-13,156
2023-03-20,474
2023-03-27,364
2023-04-03,187
2023-04-10,762
2023-04-17,991
2023-04-24,161
2023-05-01,441
2023-05-08,159
2023-05-15,1212
2023-05-22,632
2023-05-29,526
2023-06-05,157
2023-06-12,298
2023-06-19,177
2023-06-26,865
2023-07-03,855
2023-07-10,681
2023-07-17,345
2023-07-24,870
2023-07-31,870
2023-08-07,631
2023-08-14,766
2023-08-21,1373
2023-08-28,195
2023-09-04,1115
2023-09-11,1491
2023-09-18,702
2023-09-25,2168
2023-10-02,1006
2023-10-09,2583
2023-10-16,1426
2023-10-23,940
