UNIQUE WEEK,SUMM
02-01-2023,2055
09-01-2023,1464
16-01-2023,2073
23-01-2023,2340
30-01-2023,920
06-02-2023,1367
13-02-2023,1318
20-02-2023,1232
27-02-2023,1359
06-03-2023,758
13-03-2023,1162
20-03-2023,1550
27-03-2023,865
03-04-2023,1577
10-04-2023,1237
17-04-2023,949
24-04-2023,901
01-05-2023,920
08-05-2023,670
15-05-2023,648
22-05-2023,968
29-05-2023,861
05-06-2023,1104
12-06-2023,979
19-06-2023,832
26-06-2023,820
03-07-2023,936
10-07-2023,1016
17-07-2023,590
24-07-2023,434
31-07-2023,656
07-08-2023,778
14-08-2023,1270
21-08-2023,714
28-08-2023,1100
04-09-2023,817
11-09-2023,950
18-09-2023,491
25-09-2023,749
02-10-2023,769
09-10-2023,779
16-10-2023,260
23-10-2023,769
