,START_TIME,CATEGORY,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
0,2023-01-01 01:29:00,2,0 days 00:00:00,0.0,,0.0
1,2023-01-01 05:04:00,2,0 days 03:35:00,215.0,215.0,0.00012339585389930897
2,2023-01-01 05:59:00,3,0 days 04:30:00,270.0,55.0,0.00024679170779861795
3,2023-01-01 07:11:00,3,0 days 05:42:00,342.0,72.0,0.0003701875616979269
4,2023-01-01 08:07:00,3,0 days 06:38:00,398.0,56.0,0.0004935834155972359
5,2023-01-01 09:18:00,3,0 days 07:49:00,469.0,71.0,0.0006169792694965449
6,2023-01-01 09:40:00,3,0 days 08:11:00,491.0,22.0,0.0007403751233958538
7,2023-01-01 11:27:00,3,0 days 09:58:00,598.0,107.0,0.0008637709772951628
8,2023-01-01 11:55:00,3,0 days 10:26:00,626.0,28.0,0.0009871668311944718
9,2023-01-01 12:22:00,2,0 days 10:53:00,653.0,27.0,0.0011105626850937808
10,2023-01-01 14:18:00,3,0 days 12:49:00,769.0,116.0,0.0012339585389930898
11,2023-01-01 14:25:00,3,0 days 12:56:00,776.0,7.0,0.0013573543928923988
12,2023-01-01 15:20:00,3,0 days 13:51:00,831.0,55.0,0.0014807502467917076
13,2023-01-01 17:36:00,2,0 days 16:07:00,967.0,136.0,0.0016041461006910166
14,2023-01-01 18:05:00,2,0 days 16:36:00,996.0,29.0,0.0017275419545903256
15,2023-01-01 19:38:00,1,0 days 18:09:00,1089.0,93.0,0.0018509378084896346
16,2023-01-01 20:08:00,2,0 days 18:39:00,1119.0,30.0,0.0019743336623889436
17,2023-01-01 20:56:00,3,0 days 19:27:00,1167.0,48.0,0.0020977295162882526
18,2023-01-01 23:15:00,2,0 days 21:46:00,1306.0,139.0,0.0022211253701875616
19,2023-01-02 01:30:00,3,1 days 00:01:00,1441.0,135.0,0.0023445212240868706
20,2023-01-02 02:00:00,3,1 days 00:31:00,1471.0,30.0,0.0024679170779861796
21,2023-01-02 03:21:00,2,1 days 01:52:00,1552.0,81.0,0.0025913129318854886
22,2023-01-02 05:26:00,2,1 days 03:57:00,1677.0,125.0,0.0027147087857847976
23,2023-01-02 06:03:00,2,1 days 04:34:00,1714.0,37.0,0.0028381046396841066
24,2023-01-02 06:15:00,2,1 days 04:46:00,1726.0,12.0,0.002961500493583415
25,2023-01-02 06:59:00,3,1 days 05:30:00,1770.0,44.0,0.003084896347482724
26,2023-01-02 07:18:00,3,1 days 05:49:00,1789.0,19.0,0.003208292201382033
27,2023-01-02 10:56:00,1,1 days 09:27:00,2007.0,218.0,0.003331688055281342
28,2023-01-02 12:16:00,2,1 days 10:47:00,2087.0,80.0,0.003455083909180651
29,2023-01-02 12:21:00,3,1 days 10:52:00,2092.0,5.0,0.00357847976307996
30,2023-01-02 12:44:00,1,1 days 11:15:00,2115.0,23.0,0.003701875616979269
31,2023-01-02 15:30:00,2,1 days 14:01:00,2281.0,166.0,0.003825271470878578
