,START_TIME,CATEGORY,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
0,2023-01-01 07:15:00,3,0 days 00:00:00,0.0,0.0,0.0
1,2023-01-02 11:05:00,1,1 days 03:50:00,1670.0,1670.0,0.0017667844522968198
2,2023-01-03 00:11:00,2,1 days 16:56:00,2456.0,786.0,0.0035335689045936395
3,2023-01-03 01:00:00,3,1 days 17:45:00,2505.0,49.0,0.005300353356890459
4,2023-01-03 03:08:00,3,1 days 19:53:00,2633.0,128.0,0.007067137809187279
5,2023-01-04 02:18:00,3,2 days 19:03:00,4023.0,1390.0,0.0088339222614841
6,2023-01-04 02:36:00,3,2 days 19:21:00,4041.0,18.0,0.010600706713780918
7,2023-01-04 10:52:00,3,3 days 03:37:00,4537.0,496.0,0.012367491166077738
8,2023-01-04 21:35:00,3,3 days 14:20:00,5180.0,643.0,0.014134275618374558
9,2023-01-05 14:56:00,2,4 days 07:41:00,6221.0,1041.0,0.015901060070671377
10,2023-01-05 20:09:00,3,4 days 12:54:00,6534.0,313.0,0.0176678445229682
11,2023-01-06 00:20:00,1,4 days 17:05:00,6785.0,251.0,0.019434628975265017
12,2023-01-06 01:25:00,2,4 days 18:10:00,6850.0,65.0,0.021201413427561835
13,2023-01-06 12:50:00,3,5 days 05:35:00,7535.0,685.0,0.022968197879858657
14,2023-01-06 14:44:00,2,5 days 07:29:00,7649.0,114.0,0.024734982332155476
15,2023-01-06 15:58:00,3,5 days 08:43:00,7723.0,74.0,0.026501766784452298
16,2023-01-07 11:18:00,3,6 days 04:03:00,8883.0,1160.0,0.028268551236749116
17,2023-01-07 21:35:00,1,6 days 14:20:00,9500.0,617.0,0.030035335689045935
18,2023-01-08 16:42:00,1,7 days 09:27:00,10647.0,1147.0,0.03180212014134275
19,2023-01-08 20:03:00,1,7 days 12:48:00,10848.0,201.0,0.03356890459363958
20,2023-01-08 23:23:00,3,7 days 16:08:00,11048.0,200.0,0.0353356890459364
21,2023-01-09 05:40:00,1,7 days 22:25:00,11425.0,377.0,0.037102473498233215
22,2023-01-09 09:02:00,1,8 days 01:47:00,11627.0,202.0,0.038869257950530034
23,2023-01-09 23:50:00,3,8 days 16:35:00,12515.0,888.0,0.04063604240282685
24,2023-01-10 03:43:00,2,8 days 20:28:00,12748.0,233.0,0.04240282685512367
25,2023-01-10 04:32:00,3,8 days 21:17:00,12797.0,49.0,0.044169611307420496
