,START_TIME,CATEGORY,DELTA_TIME,DELTA_SECONDS,TIME_DIFF,INDEX
0,2024-01-01 03:45:00,3,0 days 00:00:00,0.0,,0.0
1,2024-01-01 06:11:00,1,0 days 02:26:00,146.0,146.0,0.0012391573729863693
2,2024-01-01 13:59:00,2,0 days 10:14:00,614.0,468.0,0.0024783147459727386
3,2024-01-02 04:00:00,3,1 days 00:15:00,1455.0,841.0,0.0037174721189591076
4,2024-01-02 13:57:00,3,1 days 10:12:00,2052.0,597.0,0.004956629491945477
5,2024-01-02 14:36:00,2,1 days 10:51:00,2091.0,39.0,0.006195786864931847
6,2024-01-02 18:47:00,3,1 days 15:02:00,2342.0,251.0,0.007434944237918215
7,2024-01-03 03:37:00,2,1 days 23:52:00,2872.0,530.0,0.008674101610904586
8,2024-01-03 06:48:00,3,2 days 03:03:00,3063.0,191.0,0.009913258983890954
9,2024-01-03 07:05:00,1,2 days 03:20:00,3080.0,17.0,0.011152416356877323
10,2024-01-03 09:15:00,2,2 days 05:30:00,3210.0,130.0,0.012391573729863693
11,2024-01-03 10:59:00,3,2 days 07:14:00,3314.0,104.0,0.013630731102850062
12,2024-01-03 18:43:00,1,2 days 14:58:00,3778.0,464.0,0.01486988847583643
13,2024-01-03 22:00:00,1,2 days 18:15:00,3975.0,197.0,0.0161090458488228
14,2024-01-03 22:35:00,3,2 days 18:50:00,4010.0,35.0,0.01734820322180917
15,2024-01-03 23:19:00,2,2 days 19:34:00,4054.0,44.0,0.01858736059479554
16,2024-01-04 01:36:00,3,2 days 21:51:00,4191.0,137.0,0.01982651796778191
17,2024-01-04 04:20:00,2,3 days 00:35:00,4355.0,164.0,0.021065675340768277
18,2024-01-04 19:10:00,1,3 days 15:25:00,5245.0,890.0,0.022304832713754646
19,2024-01-04 21:33:00,3,3 days 17:48:00,5388.0,143.0,0.023543990086741018
20,2024-01-05 20:19:00,3,4 days 16:34:00,6754.0,1366.0,0.024783147459727387
21,2024-01-05 22:00:00,3,4 days 18:15:00,6855.0,101.0,0.026022304832713755
22,2024-01-06 08:11:00,2,5 days 04:26:00,7466.0,611.0,0.027261462205700124
23,2024-01-06 21:45:00,2,5 days 18:00:00,8280.0,814.0,0.028500619578686492
24,2024-01-07 00:30:00,3,5 days 20:45:00,8445.0,165.0,0.02973977695167286
25,2024-01-07 01:30:00,3,5 days 21:45:00,8505.0,60.0,0.030978934324659233
26,2024-01-07 09:17:00,3,6 days 05:32:00,8972.0,467.0,0.0322180916976456
