,START_TIME,CATEGORY,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
0,2023-01-01 03:30:00,3,0 days 00:00:00,0.0,0.0,0.0
1,2023-01-01 06:41:00,2,0 days 03:11:00,191.0,191.0,0.0006238303181534623
2,2023-01-01 07:40:00,2,0 days 04:10:00,250.0,59.0,0.0012476606363069245
3,2023-01-01 08:46:00,3,0 days 05:16:00,316.0,66.0,0.0018714909544603868
4,2023-01-01 13:10:00,2,0 days 09:40:00,580.0,264.0,0.002495321272613849
5,2023-01-01 13:21:00,3,0 days 09:51:00,591.0,11.0,0.0031191515907673115
6,2023-01-01 13:33:00,1,0 days 10:03:00,603.0,12.0,0.0037429819089207735
7,2023-01-01 13:45:00,3,0 days 10:15:00,615.0,12.0,0.004366812227074236
8,2023-01-01 16:42:00,2,0 days 13:12:00,792.0,177.0,0.004990642545227698
9,2023-01-01 17:05:00,3,0 days 13:35:00,815.0,23.0,0.0056144728633811605
10,2023-01-01 17:22:00,1,0 days 13:52:00,832.0,17.0,0.006238303181534623
11,2023-01-01 19:55:00,2,0 days 16:25:00,985.0,153.0,0.006862133499688085
12,2023-01-01 21:03:00,1,0 days 17:33:00,1053.0,68.0,0.007485963817841547
13,2023-01-01 21:34:00,3,0 days 18:04:00,1084.0,31.0,0.008109794135995009
14,2023-01-01 21:40:00,1,0 days 18:10:00,1090.0,6.0,0.008733624454148471
15,2023-01-01 22:55:00,2,0 days 19:25:00,1165.0,75.0,0.009357454772301934
16,2023-01-02 02:25:00,3,0 days 22:55:00,1375.0,210.0,0.009981285090455396
17,2023-01-02 11:22:00,3,1 days 07:52:00,1912.0,537.0,0.010605115408608859
18,2023-01-02 11:47:00,3,1 days 08:17:00,1937.0,25.0,0.011228945726762321
19,2023-01-02 13:49:00,3,1 days 10:19:00,2059.0,122.0,0.011852776044915784
20,2023-01-02 14:41:00,2,1 days 11:11:00,2111.0,52.0,0.012476606363069246
21,2023-01-02 19:42:00,2,1 days 16:12:00,2412.0,301.0,0.013100436681222707
22,2023-01-03 06:10:00,3,2 days 02:40:00,3040.0,628.0,0.01372426699937617
23,2023-01-03 06:20:00,3,2 days 02:50:00,3050.0,10.0,0.014348097317529632
24,2023-01-03 12:26:00,1,2 days 08:56:00,3416.0,366.0,0.014971927635683094
25,2023-01-04 01:51:00,2,2 days 22:21:00,4221.0,805.0,0.015595757953836557
26,2023-01-04 03:24:00,1,2 days 23:54:00,4314.0,93.0,0.016219588271990017
27,2023-01-04 04:11:00,3,3 days 00:41:00,4361.0,47.0,0.01684341859014348
28,2023-01-04 10:33:00,2,3 days 07:03:00,4743.0,382.0,0.017467248908296942
29,2023-01-04 15:40:00,2,3 days 12:10:00,5050.0,307.0,0.018091079226450407
30,2023-01-05 08:30:00,3,4 days 05:00:00,6060.0,1010.0,0.018714909544603867
31,2023-01-05 10:51:00,2,4 days 07:21:00,6201.0,141.0,0.01933873986275733
32,2023-01-05 11:07:00,1,4 days 07:37:00,6217.0,16.0,0.019962570180910792
33,2023-01-05 19:44:00,2,4 days 16:14:00,6734.0,517.0,0.020586400499064253
34,2023-01-05 22:10:00,2,4 days 18:40:00,6880.0,146.0,0.021210230817217717
35,2023-01-06 04:35:00,1,5 days 01:05:00,7265.0,385.0,0.021834061135371178
36,2023-01-06 08:46:00,1,5 days 05:16:00,7516.0,251.0,0.022457891453524642
37,2023-01-06 10:34:00,1,5 days 07:04:00,7624.0,108.0,0.023081721771678103
38,2023-01-06 11:27:00,2,5 days 07:57:00,7677.0,53.0,0.023705552089831567
39,2023-01-06 21:20:00,2,5 days 17:50:00,8270.0,593.0,0.024329382407985028
40,2023-01-07 01:53:00,2,5 days 22:23:00,8543.0,273.0,0.024953212726138492
41,2023-01-07 04:58:00,3,6 days 01:28:00,8728.0,185.0,0.025577043044291953
42,2023-01-07 09:53:00,2,6 days 06:23:00,9023.0,295.0,0.026200873362445413
43,2023-01-07 11:04:00,3,6 days 07:34:00,9094.0,71.0,0.026824703680598878
44,2023-01-07 14:45:00,1,6 days 11:15:00,9315.0,221.0,0.02744853399875234
45,2023-01-07 22:15:00,3,6 days 18:45:00,9765.0,450.0,0.028072364316905803
46,2023-01-08 02:31:00,3,6 days 23:01:00,10021.0,256.0,0.028696194635059263
47,2023-01-08 06:02:00,2,7 days 02:32:00,10232.0,211.0,0.029320024953212728
48,2023-01-08 14:10:00,3,7 days 10:40:00,10720.0,488.0,0.02994385527136619
49,2023-01-08 15:30:00,3,7 days 12:00:00,10800.0,80.0,0.03056768558951965
50,2023-01-08 18:26:00,3,7 days 14:56:00,10976.0,176.0,0.031191515907673113
51,2023-01-08 18:37:00,2,7 days 15:07:00,10987.0,11.0,0.031815346225826574
52,2023-01-09 03:22:00,1,7 days 23:52:00,11512.0,525.0,0.032439176543980035
53,2023-01-09 11:26:00,2,8 days 07:56:00,11996.0,484.0,0.0330630068621335
54,2023-01-09 19:22:00,1,8 days 15:52:00,12472.0,476.0,0.03368683718028696
55,2023-01-09 23:48:00,3,8 days 20:18:00,12738.0,266.0,0.034310667498440424
56,2023-01-10 01:47:00,2,8 days 22:17:00,12857.0,119.0,0.034934497816593885
57,2023-01-10 02:51:00,3,8 days 23:21:00,12921.0,64.0,0.035558328134747345
58,2023-01-10 21:50:00,2,9 days 18:20:00,14060.0,1139.0,0.03618215845290081
59,2023-01-10 23:15:00,2,9 days 19:45:00,14145.0,85.0,0.036805988771054274
60,2023-01-11 07:00:00,2,10 days 03:30:00,14610.0,465.0,0.037429819089207735
61,2023-01-11 08:00:00,3,10 days 04:30:00,14670.0,60.0,0.038053649407361195
62,2023-01-11 09:55:00,3,10 days 06:25:00,14785.0,115.0,0.03867747972551466
63,2023-01-11 12:44:00,3,10 days 09:14:00,14954.0,169.0,0.039301310043668124
64,2023-01-11 16:10:00,3,10 days 12:40:00,15160.0,206.0,0.039925140361821584
65,2023-01-11 17:40:00,3,10 days 14:10:00,15250.0,90.0,0.040548970679975045
66,2023-01-11 18:44:00,2,10 days 15:14:00,15314.0,64.0,0.041172800998128506
67,2023-01-11 19:05:00,3,10 days 15:35:00,15335.0,21.0,0.041796631316281974
68,2023-01-11 20:43:00,3,10 days 17:13:00,15433.0,98.0,0.042420461634435434
69,2023-01-11 21:25:00,3,10 days 17:55:00,15475.0,42.0,0.043044291952588895
70,2023-01-11 22:02:00,2,10 days 18:32:00,15512.0,37.0,0.043668122270742356
71,2023-01-11 23:16:00,3,10 days 19:46:00,15586.0,74.0,0.044291952588895823
72,2023-01-11 23:44:00,3,10 days 20:14:00,15614.0,28.0,0.044915782907049284
73,2023-01-12 06:23:00,3,11 days 02:53:00,16013.0,399.0,0.045539613225202745
74,2023-01-12 08:10:00,3,11 days 04:40:00,16120.0,107.0,0.046163443543356206
75,2023-01-12 10:00:00,3,11 days 06:30:00,16230.0,110.0,0.046787273861509666
76,2023-01-12 12:40:00,3,11 days 09:10:00,16390.0,160.0,0.047411104179663134
77,2023-01-12 17:57:00,2,11 days 14:27:00,16707.0,317.0,0.048034934497816595
78,2023-01-12 18:00:00,1,11 days 14:30:00,16710.0,3.0,0.048658764815970056
79,2023-01-12 23:30:00,3,11 days 20:00:00,17040.0,330.0,0.049282595134123516
80,2023-01-13 02:39:00,2,11 days 23:09:00,17229.0,189.0,0.049906425452276984
81,2023-01-13 04:05:00,2,12 days 00:35:00,17315.0,86.0,0.050530255770430445
82,2023-01-13 05:54:00,2,12 days 02:24:00,17424.0,109.0,0.051154086088583905
83,2023-01-13 08:19:00,2,12 days 04:49:00,17569.0,145.0,0.051777916406737366
84,2023-01-13 10:34:00,2,12 days 07:04:00,17704.0,135.0,0.05240174672489083
85,2023-01-13 21:10:00,2,12 days 17:40:00,18340.0,636.0,0.053025577043044295
86,2023-01-13 21:36:00,3,12 days 18:06:00,18366.0,26.0,0.053649407361197755
87,2023-01-14 01:06:00,3,12 days 21:36:00,18576.0,210.0,0.054273237679351216
88,2023-01-14 03:20:00,3,12 days 23:50:00,18710.0,134.0,0.05489706799750468
89,2023-01-14 07:11:00,2,13 days 03:41:00,18941.0,231.0,0.05552089831565814
90,2023-01-14 13:46:00,2,13 days 10:16:00,19336.0,395.0,0.056144728633811605
91,2023-01-14 15:12:00,3,13 days 11:42:00,19422.0,86.0,0.056768558951965066
92,2023-01-14 16:35:00,2,13 days 13:05:00,19505.0,83.0,0.05739238927011853
93,2023-01-15 02:04:00,3,13 days 22:34:00,20074.0,569.0,0.05801621958827199
94,2023-01-15 07:01:00,2,14 days 03:31:00,20371.0,297.0,0.058640049906425455
95,2023-01-15 09:10:00,3,14 days 05:40:00,20500.0,129.0,0.059263880224578916
96,2023-01-15 14:06:00,2,14 days 10:36:00,20796.0,296.0,0.05988771054273238
97,2023-01-15 15:49:00,2,14 days 12:19:00,20899.0,103.0,0.06051154086088584
98,2023-01-15 17:30:00,3,14 days 14:00:00,21000.0,101.0,0.0611353711790393
99,2023-01-16 02:22:00,2,14 days 22:52:00,21532.0,532.0,0.061759201497192766
100,2023-01-16 03:50:00,3,15 days 00:20:00,21620.0,88.0,0.06238303181534623
101,2023-01-16 05:55:00,2,15 days 02:25:00,21745.0,125.0,0.0630068621334997
102,2023-01-16 16:00:00,3,15 days 12:30:00,22350.0,605.0,0.06363069245165315
103,2023-01-16 17:00:00,3,15 days 13:30:00,22410.0,60.0,0.06425452276980662
104,2023-01-17 04:30:00,3,16 days 01:00:00,23100.0,690.0,0.06487835308796007
105,2023-01-17 06:20:00,3,16 days 02:50:00,23210.0,110.0,0.06550218340611354
106,2023-01-17 08:08:00,1,16 days 04:38:00,23318.0,108.0,0.066126013724267
107,2023-01-17 10:38:00,2,16 days 07:08:00,23468.0,150.0,0.06674984404242046
108,2023-01-17 10:53:00,3,16 days 07:23:00,23483.0,15.0,0.06737367436057393
109,2023-01-17 12:05:00,2,16 days 08:35:00,23555.0,72.0,0.06799750467872738
110,2023-01-17 14:35:00,1,16 days 11:05:00,23705.0,150.0,0.06862133499688085
111,2023-01-17 16:40:00,3,16 days 13:10:00,23830.0,125.0,0.06924516531503432
112,2023-01-17 16:50:00,3,16 days 13:20:00,23840.0,10.0,0.06986899563318777
113,2023-01-17 19:17:00,1,16 days 15:47:00,23987.0,147.0,0.07049282595134124
114,2023-01-17 20:40:00,3,16 days 17:10:00,24070.0,83.0,0.07111665626949469
115,2023-01-18 00:10:00,3,16 days 20:40:00,24280.0,210.0,0.07174048658764816
116,2023-01-18 00:31:00,2,16 days 21:01:00,24301.0,21.0,0.07236431690580163
117,2023-01-18 00:39:00,3,16 days 21:09:00,24309.0,8.0,0.07298814722395508
118,2023-01-18 02:30:00,3,16 days 23:00:00,24420.0,111.0,0.07361197754210855
119,2023-01-18 02:45:00,2,16 days 23:15:00,24435.0,15.0,0.07423580786026202
120,2023-01-18 02:45:00,3,16 days 23:15:00,24435.0,0.0,0.07485963817841547
121,2023-01-18 03:00:00,3,16 days 23:30:00,24450.0,15.0,0.07548346849656894
122,2023-01-18 04:25:00,2,17 days 00:55:00,24535.0,85.0,0.07610729881472239
123,2023-01-18 04:30:00,3,17 days 01:00:00,24540.0,5.0,0.07673112913287586
124,2023-01-18 04:45:00,3,17 days 01:15:00,24555.0,15.0,0.07735495945102933
