,START_TIME,CATEGORY,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
0,2024-01-01 09:35:00,2,0 days 00:00:00,0.0,0.0,0.0
1,2024-01-01 16:03:00,2,0 days 06:28:00,388.0,388.0,0.001869158878504673
2,2024-01-02 02:30:00,2,0 days 16:55:00,1015.0,627.0,0.003738317757009346
3,2024-01-04 01:40:00,2,2 days 16:05:00,3845.0,2830.0,0.005607476635514019
4,2024-01-04 02:26:00,2,2 days 16:51:00,3891.0,46.0,0.007476635514018692
5,2024-01-04 15:34:00,2,3 days 05:59:00,4679.0,788.0,0.009345794392523366
6,2024-01-06 17:14:00,2,5 days 07:39:00,7659.0,2980.0,0.011214953271028038
7,2024-01-07 00:50:00,2,5 days 15:15:00,8115.0,456.0,0.013084112149532711
8,2024-01-07 11:00:00,2,6 days 01:25:00,8725.0,610.0,0.014953271028037384
9,2024-01-10 17:07:00,2,9 days 07:32:00,13412.0,4687.0,0.016822429906542057
10,2024-01-11 09:33:00,2,9 days 23:58:00,14398.0,986.0,0.01869158878504673
11,2024-01-12 01:22:00,2,10 days 15:47:00,15347.0,949.0,0.020560747663551402
12,2024-01-13 04:07:00,2,11 days 18:32:00,16952.0,1605.0,0.022429906542056077
13,2024-01-13 13:34:00,2,12 days 03:59:00,17519.0,567.0,0.024299065420560748
14,2024-01-14 01:45:00,2,12 days 16:10:00,18250.0,731.0,0.026168224299065422
15,2024-01-15 16:10:00,2,14 days 06:35:00,20555.0,2305.0,0.028037383177570093
16,2024-01-16 09:04:00,2,14 days 23:29:00,21569.0,1014.0,0.029906542056074768
17,2024-01-17 15:08:00,2,16 days 05:33:00,23373.0,1804.0,0.03177570093457944
18,2024-01-17 19:00:00,2,16 days 09:25:00,23605.0,232.0,0.03364485981308411
19,2024-01-18 11:05:00,2,17 days 01:30:00,24570.0,965.0,0.03551401869158879
20,2024-01-19 12:33:00,2,18 days 02:58:00,26098.0,1528.0,0.03738317757009346
21,2024-01-20 12:11:00,2,19 days 02:36:00,27516.0,1418.0,0.03925233644859813
22,2024-01-20 16:10:00,2,19 days 06:35:00,27755.0,239.0,0.041121495327102804
23,2024-01-21 19:03:00,2,20 days 09:28:00,29368.0,1613.0,0.04299065420560748
24,2024-01-22 07:15:00,2,20 days 21:40:00,30100.0,732.0,0.04485981308411215
25,2024-01-22 08:25:00,2,20 days 22:50:00,30170.0,70.0,0.04672897196261683
26,2024-01-22 15:05:00,2,21 days 05:30:00,30570.0,400.0,0.048598130841121495
27,2024-01-23 09:30:00,2,21 days 23:55:00,31675.0,1105.0,0.05046728971962617
28,2024-01-23 10:35:00,2,22 days 01:00:00,31740.0,65.0,0.052336448598130844
29,2024-01-24 00:48:00,2,22 days 15:13:00,32593.0,853.0,0.05420560747663552
30,2024-01-25 02:32:00,2,23 days 16:57:00,34137.0,1544.0,0.056074766355140186
31,2024-01-25 17:02:00,2,24 days 07:27:00,35007.0,870.0,0.05794392523364486
32,2024-01-25 20:00:00,2,24 days 10:25:00,35185.0,178.0,0.059813084112149535
33,2024-01-26 09:48:00,2,25 days 00:13:00,36013.0,828.0,0.06168224299065421
34,2024-01-28 08:40:00,2,26 days 23:05:00,38825.0,2812.0,0.06355140186915888
35,2024-01-29 21:02:00,2,28 days 11:27:00,41007.0,2182.0,0.06542056074766356
36,2024-01-30 12:00:00,2,29 days 02:25:00,41905.0,898.0,0.06728971962616823
37,2024-01-31 06:50:00,2,29 days 21:15:00,43035.0,1130.0,0.0691588785046729
38,2024-01-31 17:44:00,2,30 days 08:09:00,43689.0,654.0,0.07102803738317758
39,2024-02-01 01:51:00,2,30 days 16:16:00,44176.0,487.0,0.07289719626168224
40,2024-02-01 05:10:00,2,30 days 19:35:00,44375.0,199.0,0.07476635514018692
41,2024-02-01 19:46:00,2,31 days 10:11:00,45251.0,876.0,0.07663551401869159
42,2024-02-04 00:32:00,2,33 days 14:57:00,48417.0,3166.0,0.07850467289719626
43,2024-02-04 21:14:00,2,34 days 11:39:00,49659.0,1242.0,0.08037383177570094
44,2024-02-05 03:58:00,2,34 days 18:23:00,50063.0,404.0,0.08224299065420561
45,2024-02-05 07:05:00,2,34 days 21:30:00,50250.0,187.0,0.08411214953271029
46,2024-02-05 23:14:00,2,35 days 13:39:00,51219.0,969.0,0.08598130841121496
47,2024-02-06 07:37:00,2,35 days 22:02:00,51722.0,503.0,0.08785046728971962
48,2024-02-07 05:40:00,2,36 days 20:05:00,53045.0,1323.0,0.0897196261682243
49,2024-02-09 10:49:00,2,39 days 01:14:00,56234.0,3189.0,0.09158878504672897
