,TIME_DIFF
0,0.0
1,59.0
2,330.0
3,212.0
4,193.0
5,180.0
6,946.0
7,301.0
8,1809.0
9,522.0
10,307.0
11,1151.0
12,533.0
13,146.0
14,797.0
15,593.0
16,273.0
17,480.0
18,1209.0
19,755.0
20,1009.0
21,861.0
22,1203.0
23,85.0
24,465.0
25,704.0
26,198.0
27,1195.0
28,522.0
29,86.0
30,109.0
31,145.0
32,135.0
33,636.0
34,601.0
35,395.0
36,169.0
37,866.0
38,425.0
39,103.0
40,633.0
41,213.0
42,1723.0
43,87.0
44,746.0
45,134.0
46,100.0
47,215.0
48,216.0
49,409.0
50,603.0
51,103.0
52,17.0
53,690.0
54,7.0
55,275.0
56,510.0
57,1775.0
58,75.0
59,463.0
60,1692.0
61,428.0
62,443.0
63,817.0
64,620.0
65,522.0
66,1180.0
67,255.0
68,550.0
69,634.0
70,52.0
71,144.0
72,212.0
73,153.0
74,1055.0
75,250.0
76,109.0
77,1369.0
78,801.0
79,326.0
80,972.0
81,292.0
82,1885.0
83,96.0
84,544.0
85,2741.0
86,983.0
87,3319.0
88,756.0
89,1322.0
90,161.0
91,3060.0
92,378.0
93,25.0
94,922.0
95,659.0
96,124.0
97,206.0
98,3.0
99,77.0
100,1672.0
101,270.0
102,583.0
103,1260.0
104,1513.0
105,432.0
106,74.0
107,93.0
108,2188.0
109,725.0
110,33.0
111,391.0
112,806.0
113,1706.0
114,877.0
115,1169.0
116,686.0
117,707.0
118,55.0
119,917.0
120,568.0
121,36.0
122,1154.0
123,185.0
124,778.0
125,118.0
126,582.0
127,1293.0
128,1879.0
129,449.0
130,108.0
131,506.0
132,1502.0
133,614.0
134,481.0
135,188.0
136,72.0
137,758.0
138,992.0
139,560.0
140,351.0
141,804.0
142,80.0
143,185.0
144,2977.0
145,3043.0
146,865.0
147,47.0
148,98.0
149,463.0
150,1098.0
151,359.0
152,908.0
153,1022.0
154,703.0
155,394.0
156,598.0
157,285.0
158,91.0
159,34.0
160,902.0
161,968.0
162,415.0
163,1002.0
164,265.0
165,123.0
166,795.0
167,92.0
168,133.0
169,433.0
170,368.0
171,435.0
172,2012.0
173,41.0
174,186.0
175,158.0
176,107.0
177,913.0
178,147.0
179,358.0
180,46.0
181,253.0
182,465.0
183,889.0
184,514.0
185,27.0
186,170.0
187,366.0
188,179.0
189,583.0
190,802.0
191,21.0
192,346.0
193,441.0
194,142.0
195,374.0
196,171.0
197,747.0
198,311.0
199,8.0
200,529.0
201,155.0
202,202.0
203,356.0
204,763.0
205,663.0
206,450.0
207,661.0
208,699.0
209,422.0
210,113.0
211,84.0
212,565.0
213,718.0
214,995.0
215,205.0
216,2368.0
217,158.0
218,905.0
219,703.0
220,626.0
221,65.0
222,426.0
223,53.0
224,7.0
225,210.0
226,671.0
227,75.0
228,841.0
229,464.0
230,892.0
231,50.0
232,180.0
233,498.0
234,413.0
235,547.0
236,70.0
237,445.0
238,960.0
239,1440.0
240,1740.0
241,193.0
242,122.0
243,265.0
244,668.0
245,382.0
246,657.0
247,43.0
248,755.0
249,740.0
250,855.0
251,1726.0
252,692.0
253,962.0
254,1098.0
255,396.0
256,606.0
257,11.0
258,1344.0
259,104.0
260,1245.0
261,2157.0
262,2384.0
263,2210.0
264,220.0
265,5479.0
266,1128.0
267,2858.0
268,3370.0
269,1209.0
270,2787.0
271,239.0
272,961.0
273,6.0
274,2823.0
275,7.0
276,1404.0
277,7.0
278,442.0
279,645.0
280,415.0
281,1562.0
282,1360.0
283,332.0
284,21.0
285,3070.0
286,651.0
287,899.0
288,891.0
289,184.0
290,773.0
291,454.0
292,473.0
293,500.0
294,1741.0
295,1191.0
296,182.0
297,1586.0
298,1250.0
299,829.0
300,881.0
301,1187.0
302,1388.0
303,253.0
304,1282.0
305,25.0
