,START_TIME,CATEGORY,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX
0,2023-01-01 03:30:00,3,0 days 00:00:00,0.0,,0.0
1,2023-01-01 08:46:00,3,0 days 05:16:00,316.0,316.0,0.0011792452830188679
2,2023-01-01 13:21:00,3,0 days 09:51:00,591.0,275.0,0.0023584905660377358
3,2023-01-01 13:45:00,3,0 days 10:15:00,615.0,24.0,0.003537735849056604
4,2023-01-01 17:05:00,3,0 days 13:35:00,815.0,200.0,0.0047169811320754715
5,2023-01-01 21:34:00,3,0 days 18:04:00,1084.0,269.0,0.005896226415094339
6,2023-01-02 02:25:00,3,0 days 22:55:00,1375.0,291.0,0.007075471698113208
7,2023-01-02 11:22:00,3,1 days 07:52:00,1912.0,537.0,0.008254716981132075
8,2023-01-02 11:47:00,3,1 days 08:17:00,1937.0,25.0,0.009433962264150943
9,2023-01-02 13:49:00,3,1 days 10:19:00,2059.0,122.0,0.01061320754716981
10,2023-01-03 06:10:00,3,2 days 02:40:00,3040.0,981.0,0.011792452830188678
11,2023-01-03 06:20:00,3,2 days 02:50:00,3050.0,10.0,0.012971698113207546
12,2023-01-04 04:11:00,3,3 days 00:41:00,4361.0,1311.0,0.014150943396226415
13,2023-01-05 08:30:00,3,4 days 05:00:00,6060.0,1699.0,0.015330188679245283
14,2023-01-07 04:58:00,3,6 days 01:28:00,8728.0,2668.0,0.01650943396226415
15,2023-01-07 11:04:00,3,6 days 07:34:00,9094.0,366.0,0.01768867924528302
16,2023-01-07 22:15:00,3,6 days 18:45:00,9765.0,671.0,0.018867924528301886
17,2023-01-08 02:31:00,3,6 days 23:01:00,10021.0,256.0,0.020047169811320754
18,2023-01-08 14:10:00,3,7 days 10:40:00,10720.0,699.0,0.02122641509433962
19,2023-01-08 15:30:00,3,7 days 12:00:00,10800.0,80.0,0.02240566037735849
20,2023-01-08 18:26:00,3,7 days 14:56:00,10976.0,176.0,0.023584905660377357
21,2023-01-09 23:48:00,3,8 days 20:18:00,12738.0,1762.0,0.024764150943396224
22,2023-01-10 02:51:00,3,8 days 23:21:00,12921.0,183.0,0.025943396226415092
23,2023-01-11 08:00:00,3,10 days 04:30:00,14670.0,1749.0,0.02712264150943396
24,2023-01-11 09:55:00,3,10 days 06:25:00,14785.0,115.0,0.02830188679245283
25,2023-01-11 12:44:00,3,10 days 09:14:00,14954.0,169.0,0.0294811320754717
26,2023-01-11 16:10:00,3,10 days 12:40:00,15160.0,206.0,0.030660377358490566
27,2023-01-11 17:40:00,3,10 days 14:10:00,15250.0,90.0,0.031839622641509434
28,2023-01-11 19:05:00,3,10 days 15:35:00,15335.0,85.0,0.0330188679245283
29,2023-01-11 20:43:00,3,10 days 17:13:00,15433.0,98.0,0.03419811320754717
30,2023-01-11 21:25:00,3,10 days 17:55:00,15475.0,42.0,0.03537735849056604
31,2023-01-11 23:16:00,3,10 days 19:46:00,15586.0,111.0,0.036556603773584904
32,2023-01-11 23:44:00,3,10 days 20:14:00,15614.0,28.0,0.03773584905660377
33,2023-01-12 06:23:00,3,11 days 02:53:00,16013.0,399.0,0.03891509433962264
34,2023-01-12 08:10:00,3,11 days 04:40:00,16120.0,107.0,0.04009433962264151
35,2023-01-12 10:00:00,3,11 days 06:30:00,16230.0,110.0,0.041273584905660375
36,2023-01-12 12:40:00,3,11 days 09:10:00,16390.0,160.0,0.04245283018867924
37,2023-01-12 23:30:00,3,11 days 20:00:00,17040.0,650.0,0.04363207547169811
38,2023-01-13 21:36:00,3,12 days 18:06:00,18366.0,1326.0,0.04481132075471698
39,2023-01-14 01:06:00,3,12 days 21:36:00,18576.0,210.0,0.045990566037735846
40,2023-01-14 03:20:00,3,12 days 23:50:00,18710.0,134.0,0.04716981132075471
41,2023-01-14 15:12:00,3,13 days 11:42:00,19422.0,712.0,0.04834905660377358
42,2023-01-15 02:04:00,3,13 days 22:34:00,20074.0,652.0,0.04952830188679245
43,2023-01-15 09:10:00,3,14 days 05:40:00,20500.0,426.0,0.050707547169811316
44,2023-01-15 17:30:00,3,14 days 14:00:00,21000.0,500.0,0.051886792452830184
45,2023-01-16 03:50:00,3,15 days 00:20:00,21620.0,620.0,0.05306603773584905
46,2023-01-16 16:00:00,3,15 days 12:30:00,22350.0,730.0,0.05424528301886792
47,2023-01-16 17:00:00,3,15 days 13:30:00,22410.0,60.0,0.05542452830188679
48,2023-01-17 04:30:00,3,16 days 01:00:00,23100.0,690.0,0.05660377358490566
49,2023-01-17 06:20:00,3,16 days 02:50:00,23210.0,110.0,0.05778301886792453
50,2023-01-17 10:53:00,3,16 days 07:23:00,23483.0,273.0,0.0589622641509434
51,2023-01-17 16:40:00,3,16 days 13:10:00,23830.0,347.0,0.060141509433962265
52,2023-01-17 16:50:00,3,16 days 13:20:00,23840.0,10.0,0.06132075471698113
53,2023-01-17 20:40:00,3,16 days 17:10:00,24070.0,230.0,0.0625
54,2023-01-18 00:10:00,3,16 days 20:40:00,24280.0,210.0,0.06367924528301887
55,2023-01-18 00:39:00,3,16 days 21:09:00,24309.0,29.0,0.06485849056603774
56,2023-01-18 02:30:00,3,16 days 23:00:00,24420.0,111.0,0.0660377358490566
57,2023-01-18 02:45:00,3,16 days 23:15:00,24435.0,15.0,0.06721698113207547
58,2023-01-18 03:00:00,3,16 days 23:30:00,24450.0,15.0,0.06839622641509434
59,2023-01-18 04:30:00,3,17 days 01:00:00,24540.0,90.0,0.0695754716981132
60,2023-01-18 04:45:00,3,17 days 01:15:00,24555.0,15.0,0.07075471698113207
61,2023-01-18 05:00:00,3,17 days 01:30:00,24570.0,15.0,0.07193396226415094
62,2023-01-18 06:07:00,3,17 days 02:37:00,24637.0,67.0,0.07311320754716981
63,2023-01-18 06:22:00,3,17 days 02:52:00,24652.0,15.0,0.07429245283018868
64,2023-01-18 06:37:00,3,17 days 03:07:00,24667.0,15.0,0.07547169811320754
65,2023-01-18 06:52:00,3,17 days 03:22:00,24682.0,15.0,0.07665094339622641
66,2023-01-18 09:16:00,3,17 days 05:46:00,24826.0,144.0,0.07783018867924528
67,2023-01-18 10:11:00,3,17 days 06:41:00,24881.0,55.0,0.07900943396226415
68,2023-01-18 19:15:00,3,17 days 15:45:00,25425.0,544.0,0.08018867924528301
69,2023-01-19 02:25:00,3,17 days 22:55:00,25855.0,430.0,0.08136792452830188
70,2023-01-19 09:20:00,3,18 days 05:50:00,26270.0,415.0,0.08254716981132075
71,2023-01-20 00:50:00,3,18 days 21:20:00,27200.0,930.0,0.08372641509433962
72,2023-01-20 02:06:00,3,18 days 22:36:00,27276.0,76.0,0.08490566037735849
73,2023-01-20 08:00:00,3,19 days 04:30:00,27630.0,354.0,0.08608490566037735
74,2023-01-20 11:10:00,3,19 days 07:40:00,27820.0,190.0,0.08726415094339622
75,2023-01-20 19:28:00,3,19 days 15:58:00,28318.0,498.0,0.08844339622641509
76,2023-01-21 03:32:00,3,20 days 00:02:00,28802.0,484.0,0.08962264150943396
77,2023-01-22 02:17:00,3,20 days 22:47:00,30167.0,1365.0,0.09080188679245282
78,2023-01-22 10:49:00,3,21 days 07:19:00,30679.0,512.0,0.09198113207547169
79,2023-01-22 11:39:00,3,21 days 08:09:00,30729.0,50.0,0.09316037735849056
80,2023-01-22 20:40:00,3,21 days 17:10:00,31270.0,541.0,0.09433962264150943
81,2023-01-22 21:00:00,3,21 days 17:30:00,31290.0,20.0,0.0955188679245283
82,2023-01-22 21:20:00,3,21 days 17:50:00,31310.0,20.0,0.09669811320754716
83,2023-01-23 07:23:00,3,22 days 03:53:00,31913.0,603.0,0.09787735849056603
84,2023-01-23 10:05:00,3,22 days 06:35:00,32075.0,162.0,0.0990566037735849
85,2023-01-23 15:16:00,3,22 days 11:46:00,32386.0,311.0,0.10023584905660377
86,2023-01-24 17:38:00,3,23 days 14:08:00,33968.0,1582.0,0.10141509433962263
87,2023-01-25 00:07:00,3,23 days 20:37:00,34357.0,389.0,0.1025943396226415
88,2023-01-25 01:30:00,3,23 days 22:00:00,34440.0,83.0,0.10377358490566037
89,2023-01-25 06:10:00,3,24 days 02:40:00,34720.0,280.0,0.10495283018867924
90,2023-01-25 08:26:00,3,24 days 04:56:00,34856.0,136.0,0.1061320754716981
91,2023-01-25 09:58:00,3,24 days 06:28:00,34948.0,92.0,0.10731132075471697
92,2023-01-25 10:00:00,3,24 days 06:30:00,34950.0,2.0,0.10849056603773584
93,2023-01-26 05:14:00,3,25 days 01:44:00,36104.0,1154.0,0.1096698113207547
94,2023-01-26 14:30:00,3,25 days 11:00:00,36660.0,556.0,0.11084905660377357
95,2023-01-26 17:00:00,3,25 days 13:30:00,36810.0,150.0,0.11202830188679244
96,2023-01-26 18:30:00,3,25 days 15:00:00,36900.0,90.0,0.11320754716981132
97,2023-01-27 07:55:00,3,26 days 04:25:00,37705.0,805.0,0.11438679245283019
98,2023-01-27 09:00:00,3,26 days 05:30:00,37770.0,65.0,0.11556603773584906
99,2023-01-27 22:20:00,3,26 days 18:50:00,38570.0,800.0,0.11674528301886793
100,2023-01-28 10:55:00,3,27 days 07:25:00,39325.0,755.0,0.1179245283018868
101,2023-01-28 13:05:00,3,27 days 09:35:00,39455.0,130.0,0.11910377358490566
102,2023-01-29 06:46:00,3,28 days 03:16:00,40516.0,1061.0,0.12028301886792453
103,2023-01-29 22:30:00,3,28 days 19:00:00,41460.0,944.0,0.1214622641509434
104,2023-01-30 13:10:00,3,29 days 09:40:00,42340.0,880.0,0.12264150943396226
105,2023-01-30 16:26:00,3,29 days 12:56:00,42536.0,196.0,0.12382075471698113
106,2023-01-31 04:31:00,3,30 days 01:01:00,43261.0,725.0,0.125
107,2023-01-31 14:43:00,3,30 days 11:13:00,43873.0,612.0,0.12617924528301885
108,2023-01-31 17:35:00,3,30 days 14:05:00,44045.0,172.0,0.12735849056603774
109,2023-01-31 21:28:00,3,30 days 17:58:00,44278.0,233.0,0.1285377358490566
110,2023-02-01 11:25:00,3,31 days 07:55:00,45115.0,837.0,0.12971698113207547
111,2023-02-02 04:58:00,3,32 days 01:28:00,46168.0,1053.0,0.13089622641509432
112,2023-02-02 12:12:00,3,32 days 08:42:00,46602.0,434.0,0.1320754716981132
113,2023-02-02 17:11:00,3,32 days 13:41:00,46901.0,299.0,0.13325471698113206
114,2023-02-03 05:51:00,3,33 days 02:21:00,47661.0,760.0,0.13443396226415094
115,2023-02-03 18:15:00,3,33 days 14:45:00,48405.0,744.0,0.1356132075471698
116,2023-02-04 02:23:00,3,33 days 22:53:00,48893.0,488.0,0.13679245283018868
117,2023-02-04 06:00:00,3,34 days 02:30:00,49110.0,217.0,0.13797169811320753
118,2023-02-05 09:40:00,3,35 days 06:10:00,50770.0,1660.0,0.1391509433962264
119,2023-02-05 10:50:00,3,35 days 07:20:00,50840.0,70.0,0.14033018867924527
120,2023-02-05 19:08:00,3,35 days 15:38:00,51338.0,498.0,0.14150943396226415
121,2023-02-07 04:04:00,3,37 days 00:34:00,53314.0,1976.0,0.142688679245283
122,2023-02-07 10:16:00,3,37 days 06:46:00,53686.0,372.0,0.14386792452830188
123,2023-02-07 17:20:00,3,37 days 13:50:00,54110.0,424.0,0.14504716981132074
124,2023-02-07 22:00:00,3,37 days 18:30:00,54390.0,280.0,0.14622641509433962
125,2023-02-08 13:11:00,3,38 days 09:41:00,55301.0,911.0,0.14740566037735847
126,2023-02-08 21:30:00,3,38 days 18:00:00,55800.0,499.0,0.14858490566037735
127,2023-02-08 22:50:00,3,38 days 19:20:00,55880.0,80.0,0.1497641509433962
128,2023-02-09 01:59:00,3,38 days 22:29:00,56069.0,189.0,0.1509433962264151
129,2023-02-09 02:00:00,3,38 days 22:30:00,56070.0,1.0,0.15212264150943397
130,2023-02-09 12:00:00,3,39 days 08:30:00,56670.0,600.0,0.15330188679245282
131,2023-02-10 09:00:00,3,40 days 05:30:00,57930.0,1260.0,0.1544811320754717
132,2023-02-10 15:00:00,3,40 days 11:30:00,58290.0,360.0,0.15566037735849056
